Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Sunset Sapphire,B,8,6,25.8,488,2025-06-24,MAND,NOV,28.52,27.66,27.47,6.08,12.25,Go Gettem Scooby,7888,15.0
"",B,5,5,25.9,488,2025-06-10,MAND,NOV,28.58,27.99,27.82,6.08,8.25,Sozin's Heart,6665,6.0
"",B,6,4,26.3,488,2025-06-03,MAND,NOV,28.42,27.45,27.45,5.99,13.75,Hollywood Miss,7666,14.0
"",B,5,1,26.1,488,2025-05-27,MAND,NOV,28.53,27.82,27.82,6.01,10.0,All In Knots,5555,2.8
"",B,5,1,26.0,400,2025-05-20,MAND,NOV,22.93,22.54,22.38,6.46,5.5,Pronto Rocco,445,9.5
2. Go Gettem Beryl,B,2,4,29.6,488,2025-06-24,MAND,NOV,28.0,27.66,27.47,5.73,4.75,Go Gettem Scooby,1222,8.0
"",B,2,2,29.4,488,2025-06-17,MAND,NOV,28.27,28.13,28.03,5.82,2.0,WALKING EASY,2222,11.0
"",B,2,1,29.8,488,2025-06-10,MAND,NOV,28.04,27.99,27.82,5.76,0.75,Sozin's Heart,1112,7.5
"",B,3,3,29.9,488,2025-06-03,MAND,NOV,28.04,27.45,27.45,5.79,8.25,Hollywood Miss,2223,34.0
"",B,5,2,30.0,400,2025-05-27,MAND,NOV,23.36,22.58,22.58,6.47,11.0,Noble George,555,26.0
3. Go Gettem Whoopi,B,5,1,29.8,400,2025-06-24,MAND,NOV,22.89,22.67,22.59,6.58,3.0,West On Ariel,655,11.0
"",B,2,7,29.3,400,2025-06-17,MAND,NOV,22.92,22.87,22.78,11.96,0.75,Divot,322,20.0
"",B,3,5,29.8,400,2025-06-10,MAND,NOV,22.96,22.84,22.65,6.46,1.75,Ginny Riggs,433,18.0
"",B,5,1,30.1,400,2025-06-03,MAND,NOV,23.15,22.64,22.41,6.5,7.25,Ginny Riggs,555,15.0
"",B,1,5,29.8,400,2025-05-27,MAND,M,22.88,22.88,22.58,6.49,2.0,Royal Waldorf,431,4.4
4. SELECT CASH,D,4,2,29.0,488,2025-06-24,MAND,NOV,28.3,27.66,27.47,6.09,9.25,Go Gettem Scooby,8764,2.5
"",D,3,4,28.9,488,2025-06-17,MAND,NOV,28.33,28.13,28.03,16.68,2.75,WALKING EASY,8433,6.5
"",D,3,7,29.1,435,2025-05-11,SAL,Restricted Win,24.787,24.333,24.166,,7.0,BLACK XENA,3,4.8
"",D,1,4,29.7,435,2025-05-07,SAL,Tier 3 - Grade 7,24.588,24.588,24.575,5.24,6.75,SKYWALKER ROSE,1,3.2
"",D,7,3,29.5,515,2025-05-01,SAN,Grade 7,30.307,29.457,29.208,5.3095,12.75,WITHOUT A TRACE,7,16.0
6. Full Gloss Kwang,D,6,5,29.3,488,2025-06-24,MAND,NOV,28.45,27.66,27.47,5.88,11.25,Go Gettem Scooby,3336,31.0
"",D,1,2,29.4,400,2025-06-17,MAND,M,23.24,23.24,22.78,6.59,1.5,Gigabyte,741,14.0
"",D,5,4,29.2,400,2025-06-10,MAND,M,23.35,22.65,22.65,6.57,10.0,Security Spot,445,51.0
"",D,3,2,29.5,400,2025-06-03,MAND,M,23.14,22.9,22.41,6.47,3.5,Lightning Byte,223,9.0
"",D,4,2,29.4,381,2025-05-28,CANN,M,22.26,21.92,21.74,6.72,4.75,Speedy Cruella,5444,4.8
7. TIME HAS COME,D,7,8,31.9,520,2025-06-25,CANN,NOV,31.47,30.2,29.88,5.59,18.0,Tic Tac Monelli,67777,11.0
"",D,7,3,32.0,520,2025-05-03,CANN,NOV,30.37,29.87,29.58,5.5,7.0,Jai Bubba,11137,6.0
"",D,6,2,31.4,488,2025-04-25,MAND,OPEN,28.19,27.29,27.09,5.8,12.75,Rippin' Moses,5566,14.0
"",D,4,2,31.6,520,2025-04-12,CANN,NOV,30.23,29.85,29.85,5.54,5.25,Boiler Maker,22224,3.5
"",D,2,1,31.7,520,2025-04-05,CANN,NOV,30.32,30.19,29.29,5.51,1.75,El Bandaleros,22222,1.7
8. OSPREY CHRONOS,D,7,7,32.5,488,2025-06-17,MAND,NOV,28.57,28.13,28.03,,6.25,WALKING EASY,3677,10.0
"",D,8,2,32.3,520,2025-05-21,CANN,NOV,30.94,30.01,29.91,5.9,13.25,Whisper Bark,88888,10.0
"",D,6,4,32.5,520,2025-05-14,CANN,NOV,30.79,30.03,30.03,5.7,10.75,Canya Romance,47776,34.0
"",D,5,2,32.1,520,2025-05-03,CANN,NOV,30.56,29.87,29.58,5.72,9.75,Boiler Maker,75445,26.0
"",D,2,3,32.0,525,2025-04-02,MEA,Grade 7,30.459,30.054,30.054,,6.25,TOMMY SPARKLE,2,5.5
