Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Nicko King,D,4,3,33.3,365,2025-07-21,NOWR,5,20.75,20.52,20.45,8.69,3.25,Fancy Bentley,64,15.0
"",D,1,5,32.9,365,2025-07-14,NOWR,5,20.78,20.78,20.54,8.64,1.0,Skedaddle Boss,21,4.8
"",D,5,1,32.6,365,2025-07-07,NOWR,NG1-4,21.09,20.72,20.52,8.68,5.25,Nicko Jack,55,19.0
"",D,8,8,32.6,520,2025-06-21,W/PK,5,30.69,29.41,29.41,5.7,18.25,Taormina,8888,61.0
"",D,6,8,32.4,520,2025-06-12,W/PK,5,30.5,29.81,29.53,5.62,9.75,Big Town Skye,2356,31.0
2. Zipping Trucker,D,2,8,34.2,630,2025-07-14,NOWR,5,36.77,36.7,36.37,10.29,1.0,Queen Linda,222,2.25
"",D,1,1,34.2,520,2025-07-07,NOWR,5,29.83,29.83,29.62,4.43,0.5,Dynamic Noah,621,2.9
"",D,1,3,33.6,520,2025-06-30,NOWR,5,30.03,30.03,29.72,4.38,1.5,Zipping Mckeon,321,2.3
"",D,1,1,33.9,630,2025-06-23,NOWR,5,36.75,36.75,36.75,10.14,9.0,Siska Lucy,111,1.2
"",D,1,10,33.9,520,2025-06-16,NOWR,5,29.79,29.79,29.79,4.41,0.125,Zipping Balboa,1,12.0
3. Go Jo Jo,D,3,8,31.9,520,2025-07-24,DAPT,5,30.42,29.93,29.93,5.7,7.0,Lure Detective,7733,17.0
"",D,4,8,32.0,520,2025-07-21,NOWR,5,30.63,30.32,29.92,4.59,4.25,Truffles Girl,854,16.0
"",D,6,7,31.9,600,2025-07-17,DAPT,MX,35.43,34.75,34.75,,9.75,Levchenko,8666,26.0
"",D,2,7,31.8,630,2025-07-14,NOWR,5,37.07,36.37,36.37,10.73,10.0,Skedaddle Indi,432,11.0
"",D,3,2,31.8,622,2025-07-11,RICH,5,36.4,36.26,36.26,10.01,2.0,Derry,5433,5.5
4. Ashby Chai,B,1,8,22.6,520,2025-07-14,NOWR,4/5,29.75,29.75,29.75,4.31,3.0,Zipping Zodiac,111,9.0
"",B,2,4,22.7,520,2025-07-07,NOWR,4/5,30.06,29.62,29.62,4.34,6.25,Skedaddle Arlo,222,11.0
"",B,3,3,23.1,520,2025-06-30,NOWR,5,29.98,29.81,29.72,4.32,2.25,Jungle Shadow,223,4.6
"",B,7,3,23.0,520,2025-04-10,W/PK,5,30.81,29.54,29.54,5.65,18.0,Summer Quinn,7777,13.0
"",B,1,1,23.3,520,2025-03-31,NOWR,5,29.87,29.87,29.54,4.34,2.25,Tiggerlong Ruby,111,3.0
6. Skedaddle Louise,B,3,2,28.8,365,2025-07-21,NOWR,5,20.88,20.74,20.45,8.68,2.0,Black Tiara,33,1.55
"",B,5,6,28.6,520,2025-07-07,NOWR,5,30.47,29.83,29.62,4.36,9.25,Zipping Trucker,475,4.6
"",B,2,1,28.2,520,2025-06-30,NOWR,5,29.94,29.81,29.72,4.26,1.75,Jungle Shadow,112,1.95
"",B,2,5,28.4,520,2025-06-09,NOWR,5,29.81,29.67,29.56,4.28,2.0,Zipping Ariel,132,3.7
"",B,6,2,28.9,520,2025-06-02,NOWR,5,30.23,29.81,29.7,4.27,6.0,Skedaddle Indi,126,6.5
7. Blue Linkin,D,8,2,30.9,520,2025-06-19,W/PK,5,31.03,30.18,29.62,5.53,12.25,Zipping Kirk,4388,3.7
"",D,3,1,30.9,520,2025-06-12,W/PK,5,29.96,29.68,29.53,5.44,4.0,Go Jimmy,2173,3.2
"",D,4,5,30.9,520,2025-05-29,DAPT,4/5,30.6,30.27,30.27,5.53,4.75,Saint Rico,4444,4.4
"",D,1,1,30.8,520,2025-05-15,DAPT,5,29.97,29.97,29.97,5.43,0.75,Enhance,1111,1.22
"",D,4,2,30.5,515,2025-05-06,GOSF,5,29.88,29.7,29.62,4.48,2.5,Hurry Tuncurry,234,1.5
8. Black Tiara,B,1,1,25.8,365,2025-07-21,NOWR,5,20.74,20.74,20.45,8.61,0.5,EIGHT OLD MATES,21,13.0
"",B,6,4,26.1,520,2025-07-18,RICH,5,30.49,29.74,29.74,4.57,10.5,Billy Ray's Girl,56556,81.0
"",B,7,4,26.5,515,2025-07-12,GRDN,5,30.94,29.91,29.78,5.26,14.5,Rhapsody Beast,7887,71.0
"",B,3,3,26.4,365,2025-07-07,NOWR,5,21.02,20.52,20.52,8.66,7.0,Glorified,23,15.0
"",B,5,2,26.2,520,2025-06-30,NOWR,5,30.55,30.02,29.72,4.35,7.5,Levchenko,265,23.0
