Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BOMBERS LUCKNOW,D,8,3,29.5,460,2025-06-19,WAR,Tier 3 - Restricted Win,26.838,26.211,26.09,,9.5,MIGHTY HEIGHTY,8,21.0
"",D,5,4,29.3,460,2025-06-12,WAR,Tier 3 - Restricted Win,26.774,26.27,26.1,6.89175,7.75,LILLY LOUD MOUTH,5,14.0
"",D,1,6,29.0,435,2025-06-08,SAL,Maiden,25.528,25.528,24.053,,11.75,PRETTY ESMAY,1,21.0
"",D,3,4,29.6,460,2025-05-29,WAR,Tier 3 - Maiden,26.618,25.932,25.932,6.637,10.25,TO PERU,3,21.0
"",D,2,8,29.6,435,2025-05-21,SAL,Tier 3 - Maiden,24.968,24.953,24.795,,0.25,GAME OF PHONES,2,15.0
2. CODICIL,D,7,3,31.7,350,2025-07-06,HEA,Mixed 6/7,19.897,19.404,19.051,6.7225,7.5,Despicable Andy,7,21.0
"",D,1,3,31.2,460,2025-06-17,WAR,Maiden,26.727,26.727,25.776,,4.75,NINJA CUDDLE,1,10.0
"",D,5,4,31.2,400,2025-06-12,WAR,Tier 3 - Maiden,23.36,22.91,22.617,,6.75,ASTON ELENI,5,8.0
"",D,7,6,31.2,435,2025-06-04,SAL,Tier 3 - Maiden,25.986,24.894,24.585,,16.5,DAINTREE BULLET,7,4.4
"",D,2,3,31.5,400,2025-05-29,WAR,Tier 3 - Maiden,23.676,23.269,22.955,,6.25,BOMBER'S ROCKIN',2,3.0
3. SOMERTON TEDDY,D,8,6,29.6,460,2025-07-03,WAR,Mixed 6/7,27.016,26.614,26.614,6.8535,6.0,DAINTREE BULLET,8,7.5
"",D,5,8,30.0,435,2025-06-27,SAL,Grade 6,25.244,24.701,24.249,,8.25,SALLY CAN WAIT,5,12.0
"",D,1,6,29.6,435,2025-06-15,SAL,Grade 7,24.866,24.866,23.982,,2.0,LIVING,1,6.5
"",D,2,7,29.8,435,2025-06-08,SAL,Grade 7,24.837,24.542,24.053,5.3845,4.5,JUMBUK SACHIN,2,12.0
"",D,6,6,30.5,400,2025-05-30,WAR,Restricted Win,23.815,22.854,22.494,,14.5,FURIOUS FALCON,6,8.0
4. LAKEVIEW APRIL,B,7,6,29.1,435,2025-06-11,SAL,Mixed 6/7,25.971,24.761,24.414,5.465,18.25,OMEGA PENNIE,7,15.0
"",B,6,7,29.0,510,2025-06-04,SAL,Tier 3 - Restricted Win,29.802,29.081,28.999,,11.0,LAKEVIEW KIM,6,8.0
"",B,3,3,28.7,435,2025-05-28,SAL,Grade 6,25.457,25.135,24.889,5.455,5.0,MARJORIE MAUDE,3,8.0
"",B,5,1,28.6,435,2025-05-21,SAL,Tier 3 - Grade 6,25.407,25.007,24.795,5.475,6.0,ULTIMATE LEXI,5,15.0
"",B,4,8,28.5,460,2025-05-15,WAR,Mixed 6/7,26.704,26.183,26.183,6.722,8.0,AFTERSHOCK,4,16.0
5. REEL RITZA,D,3,3,32.5,510,2025-07-06,SAL,Restricted Win,29.302,29.141,28.777,,2.5,HAFNIUM,3,10.0
"",D,4,2,32.7,435,2025-07-02,SAL,Tier 3 - Grade 7,25.229,24.796,24.796,5.37,6.5,CHECK IT OUT,4,3.6
"",D,2,1,32.7,400,2025-06-26,WAR,Tier 3 - Grade 7,23.11,22.842,22.805,,4.0,CAN'T IGNORE HER,2,3.6
"",D,6,3,32.5,300,2025-06-22,HEA,Mixed 6/7,17.438,16.799,16.519,,9.75,ZINGING HOT,6,12.0
"",D,1,5,33.3,435,2025-04-20,SAL,Maiden,24.91,24.91,24.398,5.31525,6.0,DAINTREE BULLET,1,4.0
6. DARNUM DUKE,D,3,7,31.1,460,2025-07-03,WAR,Mixed 6/7,26.732,26.614,26.614,7.011,2.0,DAINTREE BULLET,3,5.0
"",D,1,4,30.8,460,2025-06-26,WAR,Tier 3 - Maiden,26.347,26.347,26.286,,0.75,HARD ROW,1,2.8
"",D,3,4,30.5,595,2025-05-05,SAN,Restricted Win,35.191,34.97,34.044,9.5775,3.5,EDWARD NIGMA,3,2.8
"",D,2,9,30.6,460,2025-05-01,WAR,Tier 3 - Maiden,26.355,26.139,26.139,7.0525,3.25,UTTER MADNESS,2,4.0
"",D,4,7,30.9,595,2025-04-21,SAN,Restricted Win,35.211,34.941,34.822,9.6925,4.25,SCOTCH TIME,4,3.2
7. EARN A ZACK,D,4,6,33.1,510,2025-04-02,SAL,Tier 3 - Restricted Win,29.639,29.535,29.067,,1.75,PAW URSULA,4,3.6
"",D,6,5,33.7,510,2025-03-26,SAL,Tier 3 - Restricted Win,29.866,29.172,29.115,,10.5,NEW HEIGHTS,6,6.5
"",D,5,2,33.2,510,2025-03-12,SAL,Restricted Win,29.732,29.272,29.272,,7.0,JUMBUK BUBBLES,5,8.5
"",D,2,1,33.6,510,2025-03-05,SAL,Tier 3 - Restricted Win,29.161,29.106,29.106,,1.0,NEWHAVEN SEQUOIA,2,8.5
"",D,7,8,30.7,515,2024-11-25,SAN,Mixed 6/7,30.661,29.726,29.491,5.35375,14.0,FEAT OF STRENGTH,7,32.2
8. BIG PLAYER,D,1,3,38.1,450,2025-07-03,SHE,Tier 3 - Grade 7,25.595,25.595,25.269,6.915,6.25,SHE'S TROPIC,1,2.8
"",D,1,3,37.9,350,2025-06-25,HEA,Maiden,19.506,19.506,19.491,6.6,8.0,WHY NOT HAYDEN,1,2.4
"",D,5,7,38.5,460,2025-06-17,WAR,Maiden,27.864,26.727,25.776,,17.0,CODICIL,5,4.0
"",D,5,5,38.1,460,2025-06-06,GEE,Maiden Semi Final,26.517,25.741,25.555,,11.75,WEBLEC JOEL,5,12.0
"",D,2,1,37.7,460,2025-05-29,GEE,Maiden Heat,25.942,25.872,25.708,6.637,1.25,WEBLEC SNOOP,2,21.0
