Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BELAIR BRAE,B,7,8,27.9,390,2025-06-26,WAR,Grade 5,22.732,22.225,21.771,8.88175,7.75,KIANI STAR,7,8.0
"",B,2,3,27.7,390,2025-06-23,WAR,Grade 5,22.371,22.352,21.991,8.908,0.5,GO BACK,2,5.0
"",B,2,6,27.7,390,2025-06-16,WAR,Grade 5,22.6,22.443,22.192,,2.5,MAGIC MILEY,2,7.5
"",B,4,8,27.6,450,2025-06-09,WAR,Grade 5,25.988,25.379,25.379,,9.25,MORAINE SADIE,4,10.0
"",B,7,4,27.7,450,2025-06-02,WAR,Grade 5,26.462,25.55,25.55,6.8875,13.75,Bismuth,7,7.5
2. May Race Katie,B,5,1,30.1,390,2025-04-14,WAR,Grade 5,22.79,22.234,22.076,8.5075,8.5,Myola Thunder,5,8.0
"",B,7,3,30.2,390,2025-04-10,WAR,Grade 5,22.806,22.52,21.9,,4.5,Grumpy Sailor,7,8.0
"",B,4,1,30.3,390,2025-03-27,WAR,Grade 5,22.61,22.204,21.899,,6.25,ASTON ARETHA,4,12.0
"",B,8,6,30.2,390,2025-03-19,BAL,Grade 5,22.969,22.144,21.811,8.6775,12.5,ZESTY BOY,8,16.0
"",B,7,4,29.8,390,2025-03-13,WAR,Grade 5,23.477,22.214,22.043,,19.0,Major Mike,7,10.0
3. THAI MOGWAI,D,6,1,32.1,425,2025-06-21,BEN,Grade 5,25.135,24.556,24.051,,8.75,CLONCURRY GOLD,6,12.0
"",D,5,4,32.1,400,2025-06-17,GEE,Grade 5,23.226,22.818,22.526,8.80675,6.25,ON SONG ICE,5,12.0
"",D,2,3,32.5,400,2025-06-10,GEE,Grade 5,23.223,23.106,22.704,8.8725,1.75,SHIMA SUNSET,2,16.0
"",D,3,6,32.9,400,2025-06-03,GEE,Grade 5,23.206,23.088,22.676,8.885,2.0,Zipping Jetson,3,10.0
"",D,8,1,32.5,410,2025-05-27,HOR,Grade 5,24.234,23.461,23.247,,11.75,Myola Nick,8,16.0
4. PAW MUNICH,D,5,2,32.8,410,2025-06-24,HOR,Grade 5,23.921,23.418,23.283,,7.75,PAW ILLABO,5,6.5
"",D,3,5,32.9,390,2025-06-16,WAR,Grade 5,22.867,22.443,22.192,,6.5,MAGIC MILEY,3,6.0
"",D,6,2,33.0,410,2025-06-10,HOR,Grade 5,24.719,23.663,23.479,,16.0,MAKE THE CUT,6,4.0
"",D,4,6,32.4,390,2025-05-29,SHE,Grade 5,22.597,22.472,22.221,,2.0,JAZZY BELLE,4,3.6
"",D,7,4,32.0,450,2025-05-19,WAR,Grade 5,26.905,25.558,25.558,6.892,20.25,BOROUGH SALTS,7,2.8
6. RESIGN THE PLOW,B,4,4,25.2,390,2025-06-16,WAR,Grade 5,23.048,22.904,22.192,,2.25,BASEMENT,4,3.6
"",B,6,4,24.8,390,2025-06-04,WAR,Grade 5,22.672,21.86,21.749,,12.25,Spring Lassen,6,10.0
"",B,6,1,25.2,390,2025-05-28,WAR,Mixed 4/5,23.073,22.322,21.884,,11.25,ASTON AURELIA,6,3.6
"",B,2,5,24.9,390,2025-05-22,WAR,Grade 5,22.599,22.426,21.937,8.9475,2.75,NAUGHTY NORM,2,7.5
"",B,7,7,25.0,450,2025-05-15,WAR,Grade 5,26.029,25.36,25.298,,10.0,MORAINE ARIANA,7,5.0
7. PAW HULL,B,1,2,27.1,400,2025-06-26,WAR,Grade 5 T3,23.136,23.136,22.805,8.6685,0.25,Shank's Pony,1,8.0
"",B,3,4,27.0,450,2025-06-23,BAL,Grade 5 T3,26.498,26.211,25.826,,4.5,JUMBUK PUNKY,3,3.6
"",B,4,6,26.9,460,2025-06-19,WAR,Grade 5 T3,26.388,26.102,26.09,6.8785,4.5,Mighty Hercules,4,8.0
"",B,3,3,26.8,460,2025-06-13,WAR,Grade 5,26.352,26.014,25.695,,5.25,PAW QUANDA,3,6.0
"",B,3,6,26.8,450,2025-06-02,SHE,Grade 5 T3,25.745,25.402,25.373,6.86425,5.25,BAG OF SNAGS,3,9.0
8. INGA AMY,B,4,4,25.8,390,2025-06-23,WAR,Grade 5,22.695,22.352,21.991,8.873,5.25,GO BACK,4,8.0
"",B,7,7,25.8,390,2025-06-16,WAR,Grade 5,23.479,22.443,22.192,,15.5,MAGIC MILEY,7,8.0
"",B,6,6,25.9,390,2025-06-09,WAR,Mixed 4/5,22.844,22.475,22.309,8.8675,5.75,Aldren Bale,6,9.0
"",B,1,5,25.7,390,2025-06-02,WAR,Grade 5,22.447,22.447,22.237,,0.25,George's Best,1,4.0
"",B,3,7,25.8,390,2025-05-26,WAR,Grade 5,22.65,22.52,22.182,,2.0,DUKE CABOOM,3,10.0
