Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Cubit Monelli,D,1,4,33.1,395,2025-06-20,MBR,5,22.0,22.0,22.0,4.99,6.0,ASTON AURELIA,1111,1.55
"",D,1,6,33.1,400,2025-06-04,GAWL,3/4/5,23.14,23.14,22.71,8.97,1.0,Somnambulist,2111,1.8
"",D,4,5,33.3,400,2025-01-03,GAWL,5,23.25,22.93,22.46,8.97,4.5,Chicken Knight,4,1.8
"",D,8,6,33.1,400,2024-12-29,GAWL,5,23.76,22.83,22.57,9.23,13.25,Sand Dragon,8,1.95
"",D,1,7,33.2,400,2024-09-25,GAWL,5,22.48,22.48,22.48,8.49,2.75,Slim Rusty,1,1.35
2. Rhonda Wine,B,5,1,27.4,455,2025-06-20,MBR,5,26.5,25.69,25.67,8.34,11.5,ASTON ZINGARA,45555,61.0
"",B,7,4,27.1,530,2025-06-09,AP/K,I,31.77,30.79,30.69,5.56,14.0,Royal Nangar,7,17.0
"",B,3,6,26.9,530,2025-06-02,AP/K,I,31.33,31.14,30.83,5.35,2.5,Immense,33333,4.4
"",B,6,2,27.7,455,2025-05-23,MBR,5,26.6,25.78,25.66,8.61,11.75,Pin Up,56666,41.0
"",B,6,2,27.9,455,2025-05-16,MBR,5,26.34,25.71,25.66,8.42,9.0,Dakota Ava,66666,41.0
3. Terrific Baz,D,1,1,30.9,300,2025-06-17,MBS,6,16.86,16.86,16.53,4.47,5.75,Whiskey Roll,1,1.15
"",D,2,1,31.1,455,2025-05-23,MBR,5,25.83,25.78,25.66,8.12,0.75,Pin Up,11112,2.9
"",D,3,8,31.1,455,2025-05-16,MBR,5,26.02,25.71,25.66,8.08,4.25,Dakota Ava,22333,9.0
"",D,5,2,31.1,455,2025-05-11,MBR,5,26.21,25.55,25.55,8.16,9.25,My Silver Spoon,44555,5.0
"",D,1,1,30.8,342,2025-05-05,AP/K,5,19.78,19.78,19.43,4.61,0.75,Jan Hewett,2111,4.8
4. ISABELLA'S BLITZ,B,1,8,24.0,595,2025-06-19,AP/K,6,34.46,34.46,34.46,8.73,1.5,HOME TOWN,333211,6.0
"",B,2,8,23.8,595,2025-06-12,AP/K,6,34.75,34.44,34.44,8.83,4.25,Scary Eyes,2,1.5
"",B,3,3,24.3,530,2025-06-05,AP/K,TG1-6W,31.62,31.52,30.55,5.64,1.5,NATIONAL GRID,88853,2.0
"",B,1,1,23.9,530,2025-05-29,AP/K,TG1-6W,30.52,30.52,30.52,5.39,9.0,NATIONAL GRID,11111,2.4
"",B,1,6,24.1,455,2025-05-23,MBR,6,25.67,25.67,25.66,8.26,3.25,OREGON HUTAN,23211,2.6
5. Parrakie,B,2,10,25.0,530,2025-06-26,AP/K,5,30.87,30.44,30.01,5.37,6.0,URIEL BALE,66432,12.0
"",B,4,7,25.0,530,2025-06-19,AP/K,5,31.35,30.92,30.18,5.46,6.0,Dakota Shine,65544,4.8
"",B,3,2,25.0,530,2025-06-12,AP/K,5,31.17,30.38,30.21,5.4,11.25,KISAUNI,3,13.0
"",B,5,8,25.2,530,2025-06-05,AP/K,5,31.26,31.05,30.55,5.38,3.0,REV LEON,43355,7.5
"",B,4,7,25.3,530,2025-05-29,AP/K,5,31.0,30.76,30.52,5.32,3.5,Dashing Deb,22234,11.0
6. MISS GRAVITY,B,5,8,28.9,531,2025-06-22,GAWL,3/4/5,31.51,30.83,30.83,3.28,9.75,Zinfandel Trace,13555,41.0
"",B,5,8,29.0,342,2025-06-16,AP/K,3/4,19.82,19.27,19.27,4.72,7.75,SHORT AND STUMPY,5,23.0
"",B,3,1,29.2,400,2025-06-11,GAWL,TG5+W,23.23,22.87,22.87,8.91,5.25,Town Stranger,3,7.5
"",B,6,9,28.9,530,2025-06-05,AP/K,5,31.31,31.05,30.55,5.32,3.75,REV LEON,14466,34.0
"",B,3,8,28.8,400,2025-05-28,GAWL,3/4,23.1,22.88,22.78,8.95,3.0,Go Go Snow,6653,9.5
7. HOME TOWN,D,2,1,34.0,595,2025-06-19,AP/K,6,34.57,34.46,34.46,8.52,1.5,ISABELLA'S BLITZ,111122,1.45
"",D,1,4,33.8,595,2025-06-12,AP/K,6,34.47,34.47,34.44,8.55,3.75,WHITE OWL,1,1.8
"",D,1,1,33.6,530,2025-05-29,AP/K,5/6,30.86,30.86,30.52,5.43,0.75,Josie Dakota,33221,1.65
"",D,1,6,33.6,531,2025-05-25,GAWL,5/6,30.77,30.77,30.77,,5.5,Binnaway Warrior,1,4.6
"",D,1,3,33.4,530,2025-05-22,AP/K,6,30.99,30.99,30.2,5.34,2.0,My Hummingbird,22111,2.5
8. Fantastic Ada,B,2,1,28.0,300,2025-06-24,MBS,4/5,16.37,16.23,16.23,4.34,2.0,Aussie Audi,1222,4.0
"",B,5,2,28.1,455,2025-06-13,MBR,4/5,25.87,25.39,25.39,8.1,6.75,Afire,5,19.0
"",B,5,2,27.8,455,2025-06-08,MBR,4/5,26.22,25.44,25.44,8.26,11.0,Afire,5,7.0
"",B,4,7,27.5,455,2025-06-01,MBR,4/5,26.04,25.49,25.49,8.07,7.75,DAINTREE SHADY,43444,5.0
"",B,1,4,28.1,395,2025-05-23,MBR,OPEN,22.38,22.38,22.27,4.98,0.5,Victa Tara,1111,4.6
