Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. TUBMAN'S LEGACY,D,4,1,30.0,400,2025-08-15,GAWL,6,24.06,22.87,22.6,8.88,17.0,Allinga Mercury,4,9.5
"",D,1,8,30.8,342,2025-07-14,AP/K,6,19.71,19.71,19.25,4.53,0.75,Kaison's Curse,1,4.8
"",D,4,4,30.9,342,2025-07-07,AP/K,6,20.08,19.97,19.38,4.72,1.5,All The Sass,3234,3.9
"",D,3,5,30.5,342,2025-06-30,AP/K,6,19.99,19.89,19.66,4.62,1.5,He's No Diva,2233,9.0
"",D,3,4,30.9,300,2025-06-24,MBS,5,16.7,16.49,16.23,4.48,3.0,Bobcat Chevy,2443,61.0
2. Secret Super,D,5,8,31.7,342,2025-08-18,AP/K,5,20.07,19.56,19.38,4.62,7.25,Toora Gracie,5,1.95
"",D,1,7,31.7,342,2025-08-11,AP/K,6,19.76,19.76,19.45,4.63,0.0,,1,3.4
"",D,1,1,31.7,342,2025-08-05,AP/K,TG1-4W,19.57,19.57,19.57,4.52,1.75,Watch Me Design,1,1.55
"",D,7,4,32.3,342,2025-07-25,AP/K,TG1-4W,20.52,19.91,19.58,7.96,8.75,Carry On Casey,7,
"",D,2,7,32.4,342,2025-07-22,AP/K,TG1-4W,19.86,19.84,19.54,4.66,0.25,ARCHER EIGHT,2,1.85
4. Florrie Lincoln,B,6,4,24.7,342,2025-08-18,AP/K,5,20.1,19.56,19.38,4.64,7.75,Toora Gracie,6,15.0
"",B,5,4,24.7,342,2025-08-11,AP/K,5,20.04,19.61,19.45,4.65,6.0,Binnaway Pearl,5,23.0
"",B,3,7,24.8,342,2025-08-02,AP/K,TG1-4W,19.84,19.56,19.56,4.55,4.0,BUSTING,3,13.0
"",B,4,5,24.7,342,2025-07-28,AP/K,5,20.15,19.67,19.3,4.67,6.75,Long Gully Cait,4,61.0
"",B,3,5,24.7,342,2025-07-22,AP/K,TG1-4W,20.3,19.84,19.54,4.68,6.5,ARCHER EIGHT,3,14.0
5. Jimmy Dewalt,D,1,4,30.0,400,2025-08-13,GAWL,6,23.09,23.09,23.05,8.84,1.5,Let's Bail Out,1,6.5
"",D,4,2,30.1,350,2025-07-29,MBS,6,19.96,19.63,19.63,7.26,4.75,Brother Bilo,4,71.0
"",D,4,1,30.1,350,2025-07-22,MBS,6,19.53,19.27,19.27,7.21,3.75,SAILAWAY BUDDY,4,26.0
"",D,6,8,29.8,342,2025-07-18,AP/K,5,19.93,19.53,19.3,4.82,5.75,Toora Gracie,6,71.0
"",D,6,10,30.1,300,2025-07-06,MBR,4/5,17.38,16.8,16.8,4.62,8.25,Zipping Hagrid,4566,51.0
7. Ouzo And Coke,B,1,1,28.5,342,2025-08-18,AP/K,6,19.78,19.78,19.38,4.59,1.0,Gold Loki,1,3.8
"",B,4,7,28.8,400,2025-08-13,GAWL,6,23.59,23.06,23.05,8.86,7.5,Oh Sadie,4,8.5
"",B,2,6,28.8,342,2025-08-08,AP/K,6,19.79,19.77,19.42,4.6,0.25,Carry On Casey,2,6.5
"",B,5,8,28.6,342,2025-08-04,AP/K,6,20.25,19.76,19.42,4.69,7.0,Larrakyah London,5,16.0
"",B,3,2,28.9,342,2025-08-01,AP/K,6,19.84,19.72,19.5,4.62,1.75,CRUISING BILLY,3,5.0
8. DECIDER,D,4,1,33.0,400,2025-06-18,GAWL,SE,24.12,23.32,22.49,9.45,11.5,Bonnie Diva,4,1.4
"",D,2,7,33.0,400,2025-06-11,GAWL,TG1-4W,23.4,23.24,22.87,8.89,2.25,OUR IVIE ROSE,2,4.4
"",D,2,4,33.0,400,2025-06-06,GAWL,6,23.56,23.42,22.64,9.02,2.0,MINH BRONCO,2,13.0
"",D,1,2,33.0,342,2025-06-02,AP/K,6,20.04,20.04,19.65,4.58,0.031,Ouzo And Coke,2121,2.0
"",D,1,1,32.9,342,2025-05-27,AP/K,TG1-4W,19.61,19.61,19.61,4.58,5.0,Darling May,1111,3.4
