Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Fly Around,B,5,7,26.1,320,2025-06-27,RICH,5,18.75,18.46,18.25,2.17,4.25,SANDY BALE,1115,21.0
"",B,5,2,26.1,320,2025-06-08,RICH,5,18.97,18.42,18.17,2.12,7.75,Shy Sheena,2245,10.0
"",B,8,1,25.8,320,2025-06-04,RICH,5,19.18,18.3,17.86,2.15,12.5,Wick's Bullet,3388,8.5
"",B,5,6,25.7,320,2025-05-30,RICH,5,18.97,18.71,18.18,2.16,3.75,Harada Solo,3355,17.0
"",B,5,4,25.7,320,2025-05-18,RICH,5,18.91,18.56,18.16,2.14,5.0,Cochise Squaw,1135,17.0
2. Proud Choice,D,3,5,35.6,388,2025-07-01,GOSF,5,23.06,22.24,22.24,10.71,11.75,Exemplary,8663,23.0
"",D,4,2,35.3,401,2025-06-25,RICH,5,23.23,22.97,22.97,6.91,3.75,Brother Joe,6554,23.0
"",D,1,4,35.3,400,2025-06-21,GRDN,5,23.48,23.48,22.82,11.55,0.75,Beauty Unleashed,641,1.45
"",D,5,6,35.7,400,2025-06-13,GRDN,5,23.48,23.26,22.79,11.47,3.0,Lazy Pineapple,755,21.0
"",D,4,1,35.4,388,2025-06-10,GOSF,5,22.57,22.26,22.24,,4.25,Blazing Warrior,4,9.0
3. Marking Time,D,2,2,28.7,388,2025-07-01,GOSF,5,22.59,22.59,22.24,10.36,0.031,Fascinate Abby,2422,6.0
"",D,4,2,28.6,388,2025-06-17,GOSF,5,22.95,22.75,22.26,10.77,2.75,Miss Graham,4544,4.4
"",D,5,8,29.1,388,2025-06-07,GOSF,4,22.91,22.37,22.21,10.72,7.75,TRICKLE,5875,31.0
"",D,7,4,29.4,388,2025-05-20,GOSF,5,23.28,22.5,22.02,10.84,11.0,Screaming Time,8777,41.0
"",D,8,8,29.6,400,2025-05-10,GRDN,5,24.04,22.84,22.76,11.9,17.25,Beltone Boy,788,13.0
4. Fumbles,D,2,6,31.9,324,2025-06-26,RICS,5,17.66,17.63,17.63,7.09,0.5,Despicable Otto,5322,6.5
"",D,3,8,32.0,324,2025-06-19,RICS,5,17.87,17.65,17.57,7.16,3.0,Despicable Otto,8333,3.6
"",D,4,1,32.2,324,2025-06-05,RICS,5,17.8,17.63,17.63,7.11,2.25,Tarawi Pringle,7554,7.0
"",D,6,5,31.9,324,2025-05-29,RICS,4,18.26,17.79,17.57,7.29,6.5,Bobcat Chevy,7666,4.4
"",D,7,5,32.4,324,2025-05-15,RICS,3/4,18.1,17.74,17.65,7.25,5.25,Man Of Zeal,6777,9.5
5. Pinch Point,D,6,2,34.7,324,2025-06-26,RICS,5,17.93,17.63,17.63,7.13,4.25,Despicable Otto,2686,19.0
"",D,2,4,34.6,324,2025-06-19,RICS,5,18.07,17.84,17.57,7.11,3.25,Despicable Leo,1132,3.1
"",D,3,3,34.8,324,2025-06-12,RICS,5,17.76,17.6,17.54,7.09,2.25,Tarawi Tank,4433,14.0
"",D,3,5,35.1,324,2025-06-05,RICS,5,17.97,17.86,17.63,7.14,1.5,Despicable Nitro,4543,12.0
"",D,1,8,35.1,324,2025-05-29,RICS,5,17.95,17.95,17.57,7.09,0.75,Chevy Storm,4111,11.0
6. Straight Out,D,5,3,31.4,324,2025-06-26,RICS,4/5,18.02,17.66,17.63,7.05,5.25,Someone's Loss,3225,7.0
"",D,6,6,31.5,324,2025-06-19,RICS,5,18.17,17.57,17.57,7.09,8.5,Lochinvar Hummer,5336,4.4
"",D,2,6,31.5,324,2025-06-12,RICS,5,17.74,17.6,17.54,6.99,2.0,Tarawi Tank,3322,4.2
"",D,3,2,31.6,324,2025-06-05,RICS,5,17.77,17.63,17.63,6.99,2.0,Tarawi Pringle,3333,12.0
"",D,4,3,31.6,324,2025-05-29,RICS,4/5,18.06,17.79,17.57,7.11,3.75,Despicable Dash,2334,8.5
7. Cawbourne Leota,D,1,4,31.0,324,2025-06-26,RICS,5,17.69,17.69,17.63,7.07,2.0,Bang Bang Bullet,7111,1.55
"",D,1,3,31.2,324,2025-06-12,RICS,5,17.54,17.54,17.54,7.07,2.0,Audrey's Magic,4211,2.8
"",D,1,6,31.3,324,2025-06-05,RICS,5,17.89,17.89,17.63,7.27,0.75,Butter Bing,7421,1.3
"",D,2,4,31.3,324,2025-05-29,RICS,5,18.02,18.0,17.57,7.2,0.25,Despicable Nitro,7522,2.8
"",D,2,8,30.9,320,2025-02-14,WAGA,5,18.58,18.54,18.24,,0.75,Our Country Boy,2,2.0
8. Delanee Rose,B,8,1,25.7,388,2024-08-06,GOSF,5,23.24,22.47,21.96,10.64,11.0,Kingston Trick,68,16.0
"",B,8,2,25.7,388,2024-07-02,GOSF,5,23.3,22.32,22.28,10.58,14.0,Whiskey Dawn,7888,41.0
"",B,3,5,25.8,388,2024-06-25,GOSF,5,22.94,22.64,22.15,10.61,4.25,Lanmor Pick,63,12.0
"",B,2,1,26.1,388,2024-06-18,GOSF,5,23.01,23.0,22.3,10.43,0.125,Good Odds Turbo,1212,4.0
"",B,7,3,26.7,400,2024-04-13,GRDN,5,24.26,23.11,22.57,11.83,16.25,Stolen Jade,8777,11.0
