Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. West On Model,B,2,2,26.6,520,2025-08-16,CANN,M,30.44,30.3,29.84,5.55,2.0,Cool Runnings,22222,5.0
"",B,5,8,26.5,520,2025-08-06,CANN,M,31.17,30.46,30.0,5.53,10.0,Tamara Keeping,16665,8.5
2. Speedy Pongo,D,5,6,32.0,520,2025-08-16,CANN,M,30.68,30.3,29.84,5.83,5.25,Cool Runnings,67765,23.0
"",D,3,2,32.1,520,2025-08-09,CANN,M,30.79,30.46,30.18,5.7,4.75,Flop Shot,43333,41.0
"",D,5,1,32.3,520,2025-08-02,CANN,M,31.08,29.89,29.88,5.67,17.0,Rapido Kuna,56455,9.5
"",D,5,8,32.4,520,2025-07-26,CANN,M,31.03,30.44,29.82,5.72,8.25,Michelle's Dream,53665,20.0
"",D,4,3,32.7,520,2025-07-16,CANN,M,30.85,30.03,29.88,5.58,11.75,Career Highlight,22544,31.0
3. West On Billy,D,3,7,29.5,520,2025-08-16,CANN,M,30.75,30.36,29.84,5.6,5.5,Oosthuizen,34333,9.0
"",D,8,4,29.2,520,2025-08-06,CANN,M,31.43,30.46,30.0,5.88,13.75,Tamara Keeping,67778,5.0
4. Spend It,D,2,4,31.5,520,2025-08-16,CANN,M,30.55,30.36,29.84,5.63,2.5,Oosthuizen,66222,7.0
"",D,4,2,31.6,520,2025-08-06,CANN,M,31.16,30.46,30.0,5.62,10.0,Tamara Keeping,32224,9.0
"",D,7,6,31.6,520,2025-07-30,CANN,M,31.73,30.02,30.02,5.74,24.25,Career Highlight,86677,41.0
"",D,3,2,31.5,520,2025-07-16,CANN,M,30.77,29.88,29.88,5.61,12.75,Burnali,33333,10.0
5. Just A Princess,B,6,8,27.0,520,2025-08-16,CANN,M,30.77,30.3,29.84,5.79,6.5,Cool Runnings,56676,8.5
6. Sunset Diablo,D,3,3,33.2,520,2025-08-16,CANN,M,30.46,30.3,29.84,5.68,2.25,Cool Runnings,33333,2.75
"",D,2,6,32.8,520,2025-05-10,CANN,M,30.18,30.04,29.7,5.6,2.0,Stroll,22222,4.6
"",D,3,7,32.4,520,2025-05-03,CANN,M,30.39,29.97,29.58,5.65,6.0,Starlight Tory,43333,3.9
"",D,5,2,32.1,520,2025-04-26,CANN,M,30.55,30.05,29.41,5.72,7.0,Affiliated,54455,1.85
"",D,6,5,32.4,520,2025-04-16,CANN,M,30.86,29.74,29.74,5.69,16.0,Burnt Passion,45566,2.7
7. Flame On,D,5,8,32.0,520,2025-08-16,CANN,M,31.05,30.36,29.84,5.62,9.75,Oosthuizen,55565,3.8
"",D,2,6,31.9,520,2025-08-09,CANN,M,30.76,30.46,30.18,5.67,4.25,Flop Shot,32222,26.0
"",D,3,7,32.0,520,2025-08-02,CANN,M,30.97,29.89,29.88,5.73,15.5,Rapido Kuna,65643,15.0
"",D,4,1,32.1,520,2025-07-26,CANN,M,30.88,30.44,29.82,5.61,6.25,Michelle's Dream,35334,13.0
"",D,6,2,32.1,520,2025-07-16,CANN,M,30.85,30.16,29.88,5.65,9.75,Queen Of Kuna,34556,11.0
8. Beastly,D,4,7,35.3,520,2025-08-16,CANN,M,30.59,30.3,29.84,5.74,4.25,Cool Runnings,44444,51.0
"",D,8,7,35.5,400,2025-04-15,MAND,M,26.47,22.86,22.43,7.95,51.5,Butler's Cabin,888,5.0
"",D,3,7,35.7,400,2025-04-08,MAND,M,23.05,22.81,22.24,6.65,3.5,Afloat,643,34.0
"",D,4,2,35.3,400,2025-04-01,MAND,M,23.06,22.59,22.51,6.58,6.5,Starlight Twix,554,19.0
"",D,6,1,35.1,520,2025-03-12,CANN,M,30.72,29.94,29.94,5.8,11.0,Midgegooroo Road,77776,26.0
9. Knight Fright,D,4,6,30.5,520,2025-08-16,CANN,M,30.9,30.36,29.84,5.87,7.75,Oosthuizen,88754,26.0
"",D,4,7,30.8,520,2025-08-09,CANN,M,31.05,30.46,30.18,5.97,8.25,Flop Shot,88544,51.0
"",D,4,6,31.7,652,2025-07-25,MAND,4/5,38.1,37.32,37.32,14.97,11.0,Rapido Jedi,55554,61.0
"",D,7,6,30.7,520,2025-07-16,CANN,M,30.9,29.88,29.88,5.91,14.5,Burnali,88887,51.0
"",D,7,7,31.0,520,2025-07-09,CANN,M,30.9,30.45,30.09,5.96,6.25,Pam Keeping,77777,23.0
10. Miss Tennessee,B,7,5,25.8,520,2025-08-16,CANN,M,31.28,30.36,29.84,5.48,13.25,Oosthuizen,23447,6.0
"",B,4,3,26.0,520,2025-08-02,CANN,M,31.02,29.89,29.88,5.67,16.25,Rapido Kuna,42224,5.5
"",B,7,4,26.5,520,2025-07-26,CANN,M,31.28,30.44,29.82,5.61,12.0,Michelle's Dream,24557,6.5
"",B,8,7,26.5,520,2025-07-16,CANN,M,31.36,30.03,29.88,5.77,19.0,Career Highlight,77768,9.0
