Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
3. Around The Twist,B,2,7,26.4,366,2025-08-03,CAPA,M,20.42,20.4,20.03,,0.25,Hara's Squash,222,51.0
"",B,4,4,26.4,366,2025-07-27,CAPA,M,20.56,20.3,19.72,,3.75,Smoky Chipotle,224,15.0
"",B,8,3,26.3,366,2025-07-16,CAPA,M,20.64,20.32,19.66,,4.5,Miss Raven Rose,228,8.0
"",B,3,6,26.3,366,2025-07-13,CAPA,M,20.34,20.15,19.39,,2.5,Kachina Ripple,333,12.0
"",B,3,2,26.7,366,2025-07-06,CAPA,M,20.28,19.87,19.61,,5.75,Amanda Lilly,223,5.5
4. Flying Argos,D,3,8,29.0,366,2025-08-03,CAPA,M,21.08,20.74,20.03,,4.75,Zipping Snead,663,2.8
"",D,5,5,28.9,350,2025-07-31,QST,M,19.74,19.13,19.09,3.99,8.75,Aussie Zip,445,14.0
"",D,4,1,28.6,350,2025-07-25,QST,M,19.38,19.07,18.79,3.96,4.25,Aussie Zip,124,3.4
"",D,4,1,28.4,457,2025-07-08,QOT,M,26.49,25.88,25.2,4.41,8.75,She's Saintly,4544,4.8
5. Commissar Cain,D,7,1,33.1,366,2025-07-06,CAPA,M,21.17,20.44,19.61,,10.25,Zabdon Justice,447,31.0
"",D,7,8,33.4,366,2025-07-02,CAPA,M,24.3,21.01,20.22,,47.0,Malipano Beach,777,12.0
"",D,5,1,34.0,366,2025-06-29,CAPA,M,21.07,20.26,19.53,,11.5,Ruby Slipper,655,26.0
"",D,7,2,34.2,366,2025-06-04,CAPA,M,21.59,20.61,19.99,,14.0,Galvin,667,31.0
6. Classic Case,D,5,6,31.9,366,2025-07-30,CAPA,M,20.6,20.35,19.72,,3.5,Raging Rhino,225,41.0
"",D,8,7,31.9,366,2025-07-27,CAPA,M,21.01,20.3,19.72,,10.0,Smoky Chipotle,668,31.0
7. Miss Righteous,B,5,2,27.2,366,2025-07-20,CAPA,M,20.43,20.13,19.43,,4.25,Hara's Kramer,545,21.0
"",B,2,10,27.3,366,2025-07-13,CAPA,M,20.36,20.27,19.39,,1.25,Banora Beach,432,16.0
"",B,5,4,27.3,352,2025-07-02,QOT,M,20.73,20.24,19.88,4.14,7.0,Hot Momentum,555,12.0
8. Wurtulla Beach,D,4,5,36.1,366,2025-08-03,CAPA,M,20.46,20.4,20.03,,0.75,Hara's Squash,644,2.4
"",D,2,1,36.4,366,2025-07-27,CAPA,M,20.36,20.27,19.72,,1.25,Hara's Squash,642,5.5
9. In Stiches,B,4,4,26.3,366,2025-08-03,CAPA,M,21.18,20.74,20.03,,6.25,Zipping Snead,224,101.0
"",B,7,3,26.2,366,2025-06-11,CAPA,PM,21.63,20.74,19.92,,12.75,Fame Beckons,887,51.0
"",B,7,6,27.0,288,2025-03-13,IPTH,M,18.16,17.4,16.86,6.45,10.75,Brother Ronny,77,23.0
"",B,5,6,27.2,288,2025-02-27,IPTH,M,18.03,17.46,16.98,6.4,8.25,Tuta Longevity,65,14.0
"",B,7,2,27.2,350,2024-12-15,GRAF,M,21.3,20.03,19.73,4.31,18.0,Bago Promise,7667,34.0
10. Meg's Maid,B,6,5,24.2,300,2025-07-20,QST,M,17.44,16.6,16.6,4.52,12.0,Colonel's Ranger,6,9.0
"",B,5,5,24.3,300,2025-07-03,QST,M,17.67,17.31,16.91,,5.25,Big Nate,5,12.0
"",B,8,3,24.6,352,2025-06-01,QOT,M,20.91,20.37,19.56,4.17,7.75,Black Feature,7888,7.0
"",B,6,8,24.7,331,2025-03-16,APSU,M,20.05,19.17,18.74,,12.5,Risk It,76,31.0
"",B,5,6,24.9,331,2025-03-02,APSU,M,20.17,19.54,18.82,7.4,9.0,Flaming Aussie,45,51.0
