Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Most Determined,D,5,4,32.3,350,2025-08-17,GRAF,M,20.49,19.8,19.8,4.24,9.75,Unruly Boy,5655,7.0
"",D,7,9,32.1,450,2025-08-10,GRAF,MX,26.24,25.28,25.28,9.44,13.75,Mr. Field,1777,10.0
2. Ando's Believer,B,8,7,29.8,350,2025-07-29,GRAF,M,21.21,20.13,20.13,4.33,15.5,All On Al,8888,101.0
"",B,7,7,29.7,300,2025-07-15,CASO,M,17.91,17.4,17.01,2.53,7.25,Hurricane Freya,377,34.0
"",B,5,4,30.4,350,2025-02-25,GRAF,M,21.02,20.46,19.81,4.34,8.0,Len Tank,5,16.0
"",B,7,9,30.0,350,2025-01-28,GRAF,M,20.88,20.2,19.79,4.25,9.75,My Warrior,7,61.0
"",B,5,6,30.0,350,2025-01-21,GRAF,M,20.79,20.05,19.9,4.23,10.5,Mckeon,2475,101.0
3. Cinnamon Swirl,B,5,7,26.8,350,2025-08-10,GRAF,M,20.78,20.33,19.79,4.31,6.25,In The Rhythm,7655,3.9
"",B,2,2,27.0,350,2025-08-05,GRAF,M,20.41,19.79,19.75,4.25,8.75,Speed Holes,7522,14.0
"",B,5,6,27.4,350,2025-07-29,GRAF,M,20.8,20.34,20.13,4.28,6.5,Maxine,7755,14.0
"",B,4,8,27.1,300,2025-07-22,CASO,M,17.82,17.63,17.0,2.62,2.5,Last Rupee,5444,6.0
"",B,5,6,27.3,300,2025-07-15,CASO,M,17.73,17.4,17.01,2.56,4.75,Hurricane Freya,455,4.4
4. Cyclone Skylah,B,5,6,24.6,300,2025-08-12,CASO,M,17.64,17.54,16.71,2.52,1.5,Wilgunya Knight,5455,12.0
"",B,7,4,24.8,350,2025-07-29,GRAF,M,20.94,20.34,20.13,4.21,8.5,Maxine,6577,8.5
5. Matilda's Waltz,B,6,2,26.4,350,2025-08-17,GRAF,M,20.77,19.8,19.8,4.24,13.75,Unruly Boy,3466,71.0
"",B,4,8,26.9,350,2025-08-03,GRAF,M,21.0,20.57,20.05,4.15,6.0,Magic Deuce,4,81.0
"",B,6,4,26.8,350,2025-07-29,GRAF,M,21.04,20.13,20.13,4.23,13.0,All On Al,5676,101.0
"",B,7,6,26.3,450,2025-07-06,GRAF,M,27.01,25.55,25.06,9.63,20.75,Good Boy Koby,5677,81.0
"",B,6,7,25.7,411,2025-06-26,CASO,M,24.83,23.7,23.27,9.13,16.25,Nitro Ned,54666,31.0
6. Velocity Elenor,B,5,7,27.8,320,2025-04-05,PPK,M,19.16,18.7,18.32,,6.5,Rosie's Retreat,5,3.0
"",B,6,8,28.4,288,2025-01-01,IPWE,M,18.89,18.0,16.86,6.3,12.75,Optimise,56,4.2
7. Boscacci,D,8,6,34.9,350,2025-04-06,GRAF,M,21.26,20.17,19.91,4.23,15.5,Striped Mac,5578,8.0
"",D,8,8,34.3,300,2025-01-15,TARE,M,18.63,17.89,17.27,6.79,10.5,Radio Flyer,888,8.5
8. Charlie Dutton,D,2,2,32.7,300,2025-08-12,CASO,M,17.58,17.54,16.71,2.55,0.75,Wilgunya Knight,7522,1.6
"",D,2,6,32.5,300,2025-07-31,CASO,M,17.04,16.86,16.86,2.54,2.5,Noir Ripple,5222,4.2
