Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Bordeaux Fury,B,6,8,24.4,305,2025-08-14,MT/G,M,18.76,18.17,17.55,,8.25,DURAN RACHEL,6,81.0
"",B,2,8,24.3,400,2025-07-31,MT/G,M,25.41,24.96,23.19,12.06,6.25,Tauwitchere Girl,2,13.0
"",B,6,1,24.7,400,2025-07-24,MT/G,M,24.81,24.1,22.96,11.57,10.0,Quincy Bones,6,12.0
"",B,6,5,24.0,342,2025-07-22,AP/K,M,20.91,20.18,19.54,4.85,10.25,Introduced,6,61.0
"",B,5,1,24.4,400,2025-07-17,MT/G,M,24.7,24.17,22.91,11.38,7.5,Moonlight Zarli,5,14.0
2. Little Stefania,B,3,6,23.1,342,2025-08-18,AP/K,M,20.4,19.88,19.38,4.72,7.5,Nod Feeny,3,11.0
"",B,5,4,23.1,305,2025-08-14,MT/G,M,18.49,18.17,17.55,5.86,4.5,DURAN RACHEL,5,23.0
"",B,5,2,23.4,305,2025-08-10,MT/G,M,18.91,17.92,17.92,,14.0,Gus Limes,5,21.0
4. Puddin' Cake,B,2,7,28.6,305,2025-08-07,MT/G,M,18.5,18.48,18.19,5.81,0.25,Zirconia Fury,2,6.0
"",B,3,8,29.4,305,2025-02-20,MT/G,M,18.51,17.93,17.93,6.0,8.25,Okay Corral,5223,9.5
5. Misty Autumn,B,4,7,26.9,305,2025-08-14,MT/G,M,18.41,18.17,17.55,5.1,3.5,DURAN RACHEL,4,13.0
"",B,4,1,27.2,305,2025-08-07,MT/G,M,18.65,18.48,18.19,5.99,2.25,Zirconia Fury,4,8.0
"",B,3,1,27.2,305,2025-07-24,MT/G,M,18.62,18.16,17.88,6.14,6.5,Aston Salmon,3,7.0
"",B,4,1,27.3,305,2025-06-26,MT/G,M,18.48,18.12,17.88,6.07,5.25,What A Wrought,4444,21.0
"",B,8,8,26.6,425,2025-06-11,BEN,Tier 3 - Maiden,25.288,24.398,24.174,,13.5,CHILL OUT PLATE,8,7.5
7. Mock Orange,B,2,2,29.2,305,2025-08-14,MT/G,M,18.4,18.17,17.55,5.85,3.25,DURAN RACHEL,2,14.0
"",B,3,5,29.3,305,2025-08-07,MT/G,M,18.56,18.48,18.19,6.06,1.0,Zirconia Fury,3,31.0
"",B,5,8,28.7,305,2025-05-29,MT/G,M,18.72,18.45,17.87,5.8,3.75,Maggie May,1145,10.0
"",B,4,8,29.1,305,2025-05-22,MT/G,M,18.85,18.42,17.9,5.92,6.0,Berringa Paddy,1144,18.0
"",B,3,4,29.5,305,2025-05-15,MT/G,M,18.76,18.27,17.7,6.04,7.0,Compton Bowie,3333,26.0
8. MAISEY'S IMAGE,B,3,9,28.2,400,2025-08-17,MT/G,M,23.86,23.31,23.03,11.28,7.75,FOZZY'S BOY,3,11.0
"",B,3,5,28.0,305,2025-08-14,MT/G,M,18.4,18.17,17.55,5.87,3.25,DURAN RACHEL,3,3.3
"",B,4,9,28.1,400,2025-08-10,MT/G,M,23.82,23.55,23.04,,3.75,BOMB ROCKY,4,18.0
"",B,5,8,27.8,305,2025-08-03,MT/G,M,18.49,17.9,17.42,,8.25,Carpark Babe,5,30.0
"",B,6,8,28.2,390,2025-07-31,SHE,Maiden,23.178,22.682,22.177,8.7195,7.5,ORIENTAL LUNA,6,15.0
