Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Fly High Henry,D,4,8,30.7,440,2025-06-27,GOUL,M,25.82,24.76,24.76,,15.0,Take A Little,46544,10.0
"",D,3,8,30.5,440,2025-06-20,GOUL,M,25.59,25.18,24.79,,5.75,Spring Ribbon,5443,10.0
"",D,7,4,30.5,457,2025-06-04,TEMA,MX,27.04,26.25,25.71,,11.25,Black Granite,7,23.0
"",D,7,7,30.7,330,2025-05-28,TEMA,M,19.65,19.04,18.79,,8.75,Spiralling,7,51.0
3. He's A Tiger,D,3,5,31.3,520,2025-06-26,DAPT,M,30.79,30.65,29.97,5.7,2.0,Highway Princess,6533,51.0
"",D,3,4,31.4,520,2025-06-23,NOWR,M,30.71,30.31,29.95,4.46,5.75,Almost Stunning,353,17.0
"",D,5,6,31.2,365,2025-06-16,NOWR,M,21.42,20.72,20.5,9.04,10.0,Gramercy Garry,45,61.0
"",D,5,8,31.2,520,2025-06-12,DAPT,M,30.91,29.83,29.83,5.72,15.5,She's Fearless,4555,81.0
"",D,4,6,31.5,365,2025-06-09,NOWR,M,21.23,20.81,20.5,8.94,6.0,Zipping Garner,84,31.0
4. Magnificent,B,3,3,24.2,365,2025-06-16,NOWR,M,21.62,20.68,20.5,9.17,13.25,Gramercy Beat,73,9.5
"",B,3,1,24.5,330,2025-06-11,TEMA,M,19.19,18.94,18.79,,3.5,Blue Swallow,3,4.0
5. Miss Malarky,B,6,5,28.0,365,2025-06-23,NOWR,M,21.46,21.0,20.47,8.9,6.5,Tommy Tangles,66,81.0
"",B,2,8,28.0,365,2025-06-16,NOWR,M,21.32,20.68,20.5,8.82,9.25,Gramercy Beat,22,34.0
"",B,8,8,28.0,365,2025-06-02,NOWR,M,21.68,20.54,20.54,8.85,16.25,Kooringa Express,38,51.0
"",B,5,5,27.5,365,2025-04-07,NOWR,M,21.48,20.84,20.49,8.89,9.25,Just Flick 'Em,55,15.0
"",B,5,7,27.7,365,2025-03-31,NOWR,M,21.83,20.79,20.42,9.25,14.75,Where's Reef,55,15.0
6. Kung Fu Bay,D,3,7,33.5,365,2025-06-23,NOWR,M,21.24,21.0,20.47,8.72,3.5,Tommy Tangles,23,10.0
"",D,7,2,33.6,365,2025-06-16,NOWR,M,21.92,20.68,20.5,8.91,17.75,Gramercy Beat,37,5.5
"",D,5,8,33.6,365,2025-06-09,NOWR,M,21.11,20.5,20.5,8.61,8.75,Gramercy Garry,35,8.5
"",D,4,6,34.0,365,2025-05-26,NOWR,M,21.43,20.84,20.3,8.74,8.25,Desi's Dream,44,3.8
"",D,3,4,33.3,365,2025-03-24,NOWR,M,21.16,21.05,20.37,8.63,1.5,Fancy Bentley,23,9.0
7. Premium Gold,D,5,3,28.8,350,2025-06-27,GOUL,M,21.31,20.17,19.65,,16.25,Lumeah Thunder,4755,61.0
"",D,7,6,28.4,400,2025-06-24,BUL,M,23.95,23.04,22.5,6.76,13.0,Never Ever Late,4357,71.0
"",D,8,1,28.5,350,2025-06-20,GOUL,M,21.28,20.09,19.74,,17.0,Spring Graf,4468,21.0
"",D,3,4,28.3,340,2025-06-17,BUL,M,20.23,19.57,19.12,3.51,9.25,Ashes To Ashes,5543,8.5
"",D,4,7,28.4,350,2025-06-13,GOUL,M,20.68,20.04,19.63,,9.25,Foxy Fawn,3444,31.0
8. Inn Express,B,5,2,24.8,365,2025-06-23,NOWR,M,21.36,21.0,20.47,8.78,5.25,Tommy Tangles,45,13.0
