Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ASCEND GERANIUM,D,4,6,31.8,525,2025-08-14,MEA,Grade 7,30.507,29.995,29.675,5.42,7.75,Flat Out Freddy,4,15.0
"",D,1,1,32.0,510,2025-08-03,SAL,Maiden,28.932,28.932,28.605,9.17,1.0,DR. LEVIATE,1,2.2
"",D,3,8,31.5,525,2025-07-16,MEA,Maiden,30.743,30.558,29.974,,3.0,WEBLEC STELLA,3,4.0
"",D,2,6,32.4,460,2025-07-08,GEE,Maiden,26.076,25.974,25.968,,1.75,ASCEND IGLOO,2,3.2
"",D,3,8,31.8,450,2025-07-02,BAL,Maiden,25.817,25.711,25.213,,1.75,PHOENIX SILVER,3,6.0
2. RALPH WIGGUM,D,1,7,32.2,425,2025-08-06,BEN,Maiden,24.548,24.548,24.279,,0.5,RECKLESS CRIME,1,4.0
"",D,7,7,32.1,425,2025-08-01,BEN,Maiden,25.352,24.089,23.53,,19.0,Ashman,7,10.0
"",D,5,4,31.7,450,2025-07-28,SHE,Maiden,26.032,25.436,25.168,7.2225,9.0,WEAPONRY,5,4.4
"",D,3,4,31.8,425,2025-07-23,BEN,Maiden,24.846,24.564,24.158,,4.25,ATOMIC DIVA,3,4.0
3. PARTY OUT BACK,D,4,5,31.6,400,2025-06-06,GEE,Maiden Semi Final,22.954,22.453,22.453,8.50675,7.5,BLAZIN' FRIES,4,4.6
"",D,1,3,31.7,400,2025-05-29,GEE,Maiden Heat,22.818,22.818,22.589,8.585,0.25,PARTY STARTED,1,10.0
4. MIGHTY SCAR,D,1,2,33.4,515,2025-08-11,SAN,Maiden,29.876,29.876,29.348,,5.5,NINJA CUDDLE,1,2.2
"",D,4,4,33.4,435,2025-07-27,SAL,Maiden,24.775,24.509,24.282,,4.0,CARRY ON OLIVE,4,5.0
5. DR. ODIN,D,2,4,32.1,435,2025-08-17,SAL,Mixed 6/7,24.818,24.739,24.487,5.32875,1.25,DR. CALVIN,2,3.6
"",D,4,3,32.2,400,2025-08-12,WAR,Restricted Win Final,22.777,22.616,22.179,,2.5,RAM RAID,4,26.0
"",D,4,9,31.9,400,2025-08-05,WAR,Restricted Win Heat,22.815,22.488,22.488,8.63,5.0,FLYING INTENTION,4,11.0
"",D,3,6,32.2,400,2025-08-01,WAR,Grade 7,22.982,22.969,22.288,8.678,0.25,PAW WINKWORTH,3,3.6
"",D,8,8,31.8,515,2025-07-07,SAN,Mixed 6/7,31.301,29.6,29.335,5.2795,25.5,Zipping Una,8,7.5
6. DR. PATRICK,D,1,3,33.0,435,2025-08-17,SAL,Maiden,24.686,24.686,24.487,5.36925,6.0,ROSLYN HOOK,1,16.0
"",D,5,4,32.3,435,2025-08-10,SAL,Maiden,25.255,25.027,24.119,5.36875,3.5,MISS INDI BEAR,5,16.0
7. OBLIVIATE,B,1,4,31.2,460,2025-08-09,GEE,Maiden,25.954,25.954,25.852,6.58,2.0,ALTOCUMULUS,1,2.8
"",B,5,3,31.0,525,2025-07-23,MEA,Maiden Heat,31.21,30.785,30.05,,6.5,REPRIEVAL,5,6.0
8. SCOTCH MARRA,D,5,5,36.1,515,2025-08-16,SAN,Mixed 6/7,30.154,29.432,29.176,5.189,11.0,FLUFFY MASON,5,10.0
"",D,7,5,36.0,515,2025-08-07,SAN,Mixed 6/7,30.413,29.222,28.933,,18.0,MEASUREMENT,7,21.0
"",D,2,6,35.7,515,2025-07-31,SAN,Grade 7,30.195,30.11,29.132,5.26,1.5,PAW XANTHIE,2,4.0
"",D,2,6,35.9,515,2025-07-24,SAN,Grade 7,30.423,30.16,29.088,,4.0,DR. AZURE,2,4.2
"",D,1,8,35.7,525,2025-06-04,MEA,Maiden,30.343,30.343,29.847,5.3,0.25,ZIPPING SINGH,1,6.0
