Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Nippy Zesta,B,6,9,30.5,595,2025-08-11,AP/K,5/6,35.1,34.67,34.67,8.6,6.0,Bang Bang Jack,6,41.0
"",B,4,2,30.3,595,2025-08-04,AP/K,5/6,35.11,34.53,34.53,8.78,8.25,Bang Bang Jack,4,16.0
"",B,5,8,30.4,595,2025-07-28,AP/K,SE,35.52,34.69,34.69,8.73,11.75,MIKAELA'S JOY,5,5.5
"",B,3,1,30.3,595,2025-07-17,AP/K,5/6,34.87,34.34,34.13,8.56,7.5,Zinfandel Trace,3,41.0
"",B,3,5,30.0,595,2025-07-10,AP/K,6,35.19,34.9,34.36,8.97,4.25,Anna Valentina,3,5.0
2. Bedrock Cam,D,1,1,30.2,530,2025-08-14,AP/K,M,31.11,31.11,30.06,5.45,0.75,DISCOURAGED,1,2.4
"",D,5,4,30.7,530,2025-08-07,AP/K,M,31.81,31.39,30.28,5.96,6.0,Black Noir,5,9.0
"",D,2,4,30.3,530,2025-07-31,AP/K,M,31.35,31.13,30.4,5.55,3.0,ACCESSIBLE,2,2.4
3. MEMORIES OF ROSE,B,5,8,26.2,595,2025-08-11,AP/K,5/6,35.03,34.67,34.67,8.69,5.25,Bang Bang Jack,5,6.0
"",B,2,5,25.9,595,2025-08-04,AP/K,5/6,34.9,34.89,34.53,8.72,0.125,Puppeteer,2,3.6
"",B,1,4,26.0,595,2025-07-31,AP/K,SE,34.72,34.72,34.19,8.72,0.75,JALAPENO GEM,1,10.0
"",B,1,8,26.3,530,2025-07-17,AP/K,6,31.09,31.09,30.05,5.38,0.25,VISTA CADMIUM,1,5.5
"",B,3,7,25.7,530,2025-07-10,AP/K,6,31.29,31.16,30.04,5.36,1.75,Motor City Sam,3,4.0
4. NEWHAVEN SEQUOIA,B,5,4,28.8,530,2025-08-10,MBR,6,31.17,30.73,30.73,,6.25,VISTA ARGON,5,2.8
"",B,1,1,28.6,530,2025-08-07,AP/K,6,30.86,30.86,30.28,5.36,1.0,Optimistic Reign,1,21.0
"",B,4,6,29.1,730,2025-07-21,AP/K,4/5/6,44.32,43.49,43.49,16.7,11.75,Zipping Mowgli,4,13.0
"",B,3,8,28.9,530,2025-07-17,AP/K,TG1-6W,31.3,30.97,30.05,5.43,4.75,Zinfandel Lisa,3,31.0
"",B,4,4,29.8,595,2025-05-05,SAN,Restricted Win,35.789,34.738,34.044,,15.75,FROM THE GHETTO,4,10.0
5. Buffy's No Angel,B,7,1,28.2,530,2025-08-14,AP/K,6,31.91,30.73,30.06,5.45,16.75,Capybara,7,19.0
"",B,3,3,28.4,530,2025-08-07,AP/K,6,31.21,31.13,30.28,5.43,1.0,Jan Hewett,3,14.0
"",B,2,1,28.6,530,2025-08-01,AP/K,6,30.93,30.72,30.69,5.4,3.0,Dakota Mila,2,19.0
"",B,5,4,28.3,342,2025-07-24,AP/K,6,20.22,19.29,19.29,4.72,13.25,Merindah City,5,34.0
"",B,6,4,28.2,342,2025-06-09,AP/K,6,20.09,19.67,19.65,4.79,6.0,MEMORIES OF ROSE,6,11.0
6. Disco Homer,D,1,8,40.4,300,2025-07-08,MBS,TG1-4W,16.83,16.83,16.44,4.63,3.25,Bonmati,1,1.28
"",D,4,4,40.3,350,2025-07-01,MBS,6,19.69,19.35,19.35,7.18,4.75,Quality Sigh,4444,81.0
"",D,6,8,40.2,350,2025-06-24,MBS,6,19.66,19.11,18.97,7.23,7.75,My Boy Bingo,4456,23.0
"",D,6,8,39.2,350,2024-11-12,MBS,6,20.02,19.66,19.62,7.3,5.25,CHILLI SAL,6,21.0
"",D,7,6,38.6,350,2024-10-29,MBS,6,19.97,19.64,19.39,7.31,4.75,Aussie Wish,7,31.0
7. Our Little Force,D,3,3,28.0,395,2025-08-17,MBR,6,22.9,22.71,22.45,5.17,2.5,One Margarita,3,2.8
"",D,3,8,28.1,300,2025-08-12,MBS,6,17.02,16.91,16.88,4.57,1.5,Hayden's Milk,3,2.9
"",D,4,5,27.6,530,2025-08-07,AP/K,6,31.18,30.86,30.28,5.34,4.5,NEWHAVEN SEQUOIA,4,9.5
"",D,8,2,27.6,530,2025-07-31,AP/K,TG1-6W,31.84,30.87,30.4,5.68,13.75,Droidsmith,8,4.8
"",D,2,8,27.4,530,2025-07-24,AP/K,6,31.03,30.45,30.3,5.32,8.25,Zipping Kramer,2,41.0
8. REALITY IS,D,3,4,32.7,730,2025-08-14,AP/K,SE,43.47,43.25,43.17,16.27,3.0,JAMARRA,3,2.3
"",D,2,7,33.0,730,2025-08-07,AP/K,5/6,43.58,43.53,42.94,16.29,0.75,JAMARRA,2,3.6
"",D,1,8,32.7,730,2025-08-01,AP/K,5/6,43.33,43.33,43.33,16.41,8.25,Better Devil's,1,1.2
"",D,4,8,32.6,730,2025-07-24,AP/K,OPEN,43.73,43.32,43.32,16.48,5.75,Springvale Bray,4,21.0
"",D,5,8,32.8,730,2025-07-17,AP/K,FFA,43.91,43.41,43.41,16.55,7.0,Apilla,5,18.0
