Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Unique Jasmine,B,2,7,30.3,381,2025-07-16,CANN,6,22.5,22.3,22.15,6.86,2.75,West On Halo,4222,9.5
"",B,2,1,30.2,275,2025-07-09,CANN,6,16.29,16.24,16.19,5.73,0.75,RAPIDO MYSTIQUE,222,3.4
"",B,8,6,30.0,275,2025-07-02,CANN,6,16.88,16.47,15.67,5.79,5.75,NEGRONI,688,7.0
"",B,6,8,29.3,297,2025-06-23,NOR,5,17.95,17.47,17.21,,6.75,Marcus Fire,866,9.0
"",B,4,6,29.2,297,2025-06-16,NOR,5,17.83,17.36,16.96,,6.5,Sassy Deluxe,344,15.0
2. Sophie Keeping,B,7,7,26.0,381,2025-07-02,CANN,5/6,22.49,21.79,21.67,6.87,10.0,Killer Kelly,7777,9.5
"",B,7,3,25.9,381,2025-06-25,CANN,5/6,22.97,22.23,21.63,7.22,10.5,Reggae Melody,8887,5.0
"",B,6,5,25.6,400,2025-06-19,MAND,5,23.18,22.54,22.54,6.51,9.25,Sassy Lad,656,4.4
"",B,7,1,25.3,520,2025-06-04,CANN,5,30.63,30.17,29.9,5.7,6.5,Linguine Monelli,66677,9.0
"",B,8,5,25.4,520,2025-05-31,CANN,5,30.98,29.67,29.6,5.6,18.5,West On Sidney,57778,26.0
3. Like A Ferrari,D,4,4,29.8,381,2025-07-16,CANN,6,22.75,22.3,22.15,7.02,6.25,West On Halo,7654,18.0
"",D,5,4,30.1,275,2025-07-09,CANN,6,16.68,16.46,16.19,5.92,3.0,Poppy Tahleia,665,11.0
"",D,5,1,30.3,275,2025-07-02,CANN,6,16.69,16.47,15.67,,3.0,NEGRONI,875,5.5
"",D,6,5,30.5,275,2025-06-25,CANN,6,16.86,16.26,15.76,5.86,8.5,Cheddar Monelli,566,12.0
"",D,3,6,30.5,275,2025-06-18,CANN,6,16.36,16.08,16.02,5.7,4.0,Canya Gulfstream,433,20.0
4. Canya Tilly,B,3,8,26.2,381,2025-07-16,CANN,6,22.63,22.3,22.15,6.87,4.75,West On Halo,5433,1.28
"",B,2,7,26.2,400,2025-07-10,MAND,6,22.88,22.8,22.8,6.43,1.0,Kaadadjan,112,3.9
