Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. VOLTS,D,3,3,33.8,400,2025-08-15,GEE,Mixed 6/7,22.866,22.633,22.404,8.665,3.5,OUR PATCH,3,12.0
"",D,2,2,33.7,400,2025-08-12,GEE,Mixed 6/7,23.013,22.785,22.613,,3.5,DAD'S SURPRISE,2,3.2
"",D,5,4,33.5,400,2025-08-08,GEE,Mixed 6/7,23.208,22.802,22.304,,6.25,OUR PATCH,5,16.0
"",D,2,6,33.6,400,2025-07-29,GEE,Mixed 6/7,22.721,22.304,22.304,8.495,6.25,WOK STAR,2,4.2
"",D,4,8,33.4,400,2025-07-25,GEE,Mixed 6/7,22.976,22.781,22.317,8.5295,3.0,VASTUS,4,16.0
2. ESPECIAL KAI,D,7,3,31.3,400,2025-08-15,WAR,Mixed 6/7,23.23,22.845,22.308,,5.75,CARRY ON OLIVE,7,2.8
"",D,2,2,31.2,400,2025-08-08,WAR,Grade 6,22.594,22.328,22.328,,4.0,ASTON RENMINBI,2,3.6
"",D,3,6,31.1,400,2025-08-01,WAR,Mixed 6/7,22.9,22.416,22.288,8.492,7.25,ASTON RENMINBI,3,4.6
"",D,1,1,30.4,400,2025-07-25,WAR,Grade 7,22.676,22.676,22.575,,3.5,TORNADO TESSA,1,3.4
"",D,1,4,30.3,400,2025-07-18,WAR,Maiden,22.731,22.731,22.31,8.4025,0.5,DEVIL'S SYMPATHY,1,4.6
3. MISSY WHO,B,6,4,26.5,400,2025-08-15,GEE,Mixed 6/7,23.087,22.633,22.404,8.8225,7.0,OUR PATCH,6,21.0
"",B,1,1,26.2,400,2025-08-09,GEE,Maiden,22.953,22.953,22.742,8.52,3.0,SPINNER BAIT,1,2.2
"",B,2,8,25.8,400,2025-07-25,WAR,Maiden,23.018,22.608,22.575,8.57,6.25,ASTON RENMINBI,2,4.8
"",B,4,3,25.8,400,2025-07-18,WAR,Maiden,23.147,22.731,22.31,8.5425,6.25,ESPECIAL KAI,4,7.5
4. MAGIC FLUX,D,8,1,27.5,425,2025-08-16,BEN,Grade 6,25.913,24.394,24.017,6.76275,22.75,CHILL OUT PLATE,8,2.8
"",D,6,3,27.1,390,2025-08-13,BAL,Mixed 6/7,23.234,22.459,21.872,,11.75,LILLY ZOOM,6,10.0
"",D,4,8,27.8,390,2025-07-30,BAL,Restricted Win,22.647,22.348,22.111,,4.5,PAW VANCOUVER,4,10.0
"",D,8,2,27.7,400,2025-07-25,GEE,Mixed 6/7,23.429,22.781,22.317,8.8095,9.75,VASTUS,8,12.0
"",D,2,5,27.7,425,2025-07-19,BEN,Grade 7,24.46,24.182,24.132,,4.25,CHILL OUT PLATE,2,2.6
