Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. LORD APOLLON,D,6,3,33.1,407,2025-08-03,ROCK,R/W,25.02,24.03,23.7,9.88,14.0,Velocity Smolder,6,101.0
"",D,4,8,33.3,407,2025-07-27,ROCK,5,24.45,24.04,23.65,9.44,5.75,Rosa's Robbie,4,17.0
"",D,5,5,33.2,510,2025-07-23,ROCK,5,30.8,29.84,29.84,5.16,13.75,Arnie Ferrari,5,101.0
"",D,5,7,33.5,510,2025-07-13,ROCK,R/W,31.01,30.35,30.35,5.15,9.25,Veracious Val,5,34.0
"",D,8,8,33.6,510,2025-07-09,ROCK,5/6,31.14,30.33,30.07,5.33,11.5,Toss The Coin,8,61.0
2. Validated,D,6,1,34.4,407,2025-08-03,ROCK,R/W,24.64,23.91,23.7,9.47,10.25,Velocity Radiate,6,31.0
"",D,1,8,34.5,407,2025-07-27,ROCK,6,24.22,24.22,23.65,9.19,1.5,Powered By Prado,1,9.5
"",D,6,1,34.2,407,2025-06-15,ROCK,6,24.7,24.39,23.46,9.5,4.25,Rupee Ranger,6,7.0
"",D,4,8,34.6,407,2025-04-27,ROCK,6,24.57,24.04,23.74,9.61,7.5,Dropping Gears,4,26.0
"",D,8,7,34.7,407,2025-04-20,ROCK,6,25.13,24.36,23.68,9.83,11.0,Kerri Beach,8,21.0
3. Hara's Fonzie,D,5,5,30.9,300,2025-08-04,QST,5,17.19,16.8,16.57,6.76,5.5,Willow's Witch,555,6.5
"",D,4,5,31.3,300,2025-07-20,QST,5,17.08,16.82,16.6,6.72,3.75,I'M Fully Aware,64,3.7
"",D,3,1,31.9,300,2025-07-17,QST,5,16.83,16.64,16.56,6.72,2.5,Ricky Bobby,63,5.0
"",D,4,8,31.6,350,2025-07-12,QST,5,19.74,19.15,18.83,4.05,8.25,Shanghai Spy,554,7.5
"",D,5,3,31.5,300,2025-07-03,QST,5,17.16,17.01,16.91,6.72,2.0,Goldstar Blondie,65,6.0
4. Unstable Mable,B,6,6,26.7,407,2025-07-30,ROCK,5,24.12,24.0,23.62,9.21,1.75,Midnight Ranger,6,7.5
