Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Golden Bell,B,6,4,27.7,457,2025-06-24,QOT,5,26.06,25.46,25.37,4.2,8.5,Non Stop Tommy,1446,81.0
"",B,1,2,27.4,395,2025-06-18,APWE,P5,23.07,23.07,22.82,10.77,0.5,Cosmic Camper,21,2.9
"",B,5,9,27.3,331,2025-06-15,APSU,5,19.73,19.02,18.69,7.43,10.0,Splendacious,75,10.0
"",B,7,5,27.4,390,2025-05-23,QOT,5,22.48,21.74,21.74,6.22,10.5,Federal Blue Boy,467,71.0
"",B,7,6,27.4,352,2025-05-15,QOT,5,21.37,19.95,19.42,3.99,20.25,Spike Millington,387,23.0
2. Miss Amari,B,1,5,29.0,457,2025-06-21,QOT,5,25.68,25.68,25.4,4.19,2.5,Snow Sea,3111,3.8
"",B,5,3,29.0,457,2025-06-10,QOT,5,26.05,25.55,25.43,4.51,7.0,Blocker Tiger,6545,8.0
"",B,6,8,28.9,457,2025-05-29,QOT,5,26.18,25.8,25.43,4.46,5.25,Chasing Snow,5336,6.0
"",B,6,1,29.2,350,2025-05-18,GRAF,5,20.4,20.07,19.95,4.19,4.75,Excellent,5566,2.5
"",B,1,8,29.4,350,2025-05-11,GRAF,5,20.13,20.13,19.93,4.16,2.5,She Lies Easy,5311,3.2
3. Zipping Dalila,B,7,4,29.8,520,2025-06-26,QTT,OPEN,30.19,29.53,29.22,5.21,9.25,Blue Blend,6677,41.0
"",B,6,7,29.7,600,2025-06-19,QTT,OPEN,35.69,34.7,34.7,9.65,14.0,GOLD SCOTCH,5666,19.0
"",B,1,1,29.9,550,2025-06-14,QOT,5/6,30.69,30.69,30.69,9.05,4.0,Mossy Boots,1111,4.4
"",B,5,3,29.9,550,2025-06-05,QOT,5,31.3,30.58,30.5,9.09,10.25,GOLD SCOTCH,4445,6.0
"",B,6,4,30.0,520,2025-05-31,QTT,OPEN,30.99,29.98,29.97,5.25,14.25,COLAC KID,7676,16.0
4. Sirius Zoe,B,8,3,30.5,550,2025-06-14,QOT,5/6,31.62,30.69,30.69,9.25,13.25,Zipping Dalila,5358,101.0
"",B,6,7,30.6,600,2025-05-12,QTT,5,35.11,34.45,34.06,9.56,9.25,Kingsbrae Pumbaa,5556,21.0
"",B,6,6,31.0,600,2025-05-08,QTT,5,35.34,34.55,34.55,9.79,11.25,Stowaway,7666,61.0
"",B,7,7,31.2,520,2025-05-01,APTH,M5,30.79,30.45,30.05,5.78,4.75,Venice Bale,587,15.0
"",B,4,5,31.2,600,2025-04-21,APMO,5,35.61,35.24,35.13,10.06,5.25,Journey,324,34.0
5. Scenic Sundari,B,3,1,26.5,457,2025-06-21,QOT,5,25.64,25.6,25.4,4.29,0.75,Art Of Deception,1113,2.5
"",B,1,1,26.5,457,2025-06-17,QOT,5,25.97,25.97,25.51,4.29,0.75,Hara's Kitana,2111,2.15
"",B,7,1,26.5,390,2025-05-17,QOT,OPEN,22.49,21.72,21.72,5.97,11.0,Speedy Scrub,577,2.2
"",B,1,5,26.4,390,2025-05-09,QOT,OPEN,21.71,21.71,21.6,5.97,3.0,Katy Talks,211,2.25
"",B,1,8,26.3,390,2025-05-02,QOT,5,21.76,21.76,21.63,5.95,2.75,Mac Deuce,111,2.4
6. Blue Serenade,B,2,6,25.3,395,2025-06-18,APWE,5,22.93,22.89,22.82,10.54,0.75,Destini Krystal,22,8.0
"",B,6,2,25.3,331,2025-06-15,APSU,5,19.7,19.37,18.69,7.43,4.75,Haytown's Trio,66,2.2
"",B,1,7,25.4,395,2025-06-11,APWE,5,23.1,23.1,22.54,10.63,0.5,Brewery Town,11,3.0
"",B,1,7,25.4,395,2025-06-04,APWE,6,23.03,23.03,22.45,10.57,3.75,Me Myself And,1,2.0
"",B,4,4,24.5,395,2025-05-28,APWE,6,23.47,22.99,22.65,11.08,6.75,Silva Hayze,44,2.7
7. Goldstar Mila,B,4,1,28.5,457,2025-06-24,QOT,5,25.9,25.46,25.37,4.31,6.25,Non Stop Tommy,5334,9.0
"",B,5,6,28.5,520,2025-06-19,QTT,4/5,30.61,30.35,29.21,5.23,3.75,Whistle Away,7655,51.0
