Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DR. YANNICK,D,5,4,30.0,435,2025-08-10,SAL,Free For All,24.572,24.119,24.119,5.2895,7.0,DR. ASHER,5,10.0
"",D,3,8,30.3,400,2025-08-01,WAR,Free For All,22.917,22.288,22.288,8.375,9.5,MILE A MINUTE,3,10.0
"",D,7,8,29.6,435,2025-07-27,SAL,Free For All,25.111,24.45,24.282,5.297,10.0,Nangar Jim,7,4.2
"",D,4,2,28.8,435,2025-07-20,SAL,Free For All,24.723,24.283,24.283,5.207,6.75,MY NAME'S EDEN,4,3.6
"",D,7,4,28.4,515,2025-07-03,SAN,Mixed 4/5,30.699,29.539,29.334,5.148,17.5,White Crest,7,10.0
2. DR. DYLAN,D,2,6,32.4,400,2025-08-15,WAR,Mixed 4/5,22.776,22.769,22.308,,0.25,DEAR CARLA LOU,2,8.0
"",D,2,2,32.1,400,2025-08-01,WAR,Grade 5,22.633,22.436,22.288,,3.0,JULY SHE LIED,2,4.0
"",D,2,3,32.0,435,2025-07-27,SAL,Free For All,24.563,24.45,24.282,5.402,1.75,Nangar Jim,2,9.0
"",D,1,1,32.2,460,2025-07-18,WAR,Mixed 4/5,25.914,25.914,25.745,6.647,7.25,SWEET NUGGET,1,4.6
"",D,3,1,32.2,435,2025-07-13,SAL,Free For All,24.706,24.609,24.253,,1.5,DR. REESE,3,3.6
4. Nangar Jim,D,1,1,31.3,435,2025-07-27,SAL,Free For All,24.45,24.45,24.282,5.22,1.75,DR. DYLAN,1,2.6
"",D,3,6,31.6,515,2025-06-19,SAN,Free For All,29.667,29.269,29.269,5.087,6.0,EXPLICIT,3,10.0
"",D,5,3,31.1,515,2025-06-12,SAN,Mixed 3/4,30.049,29.564,29.432,,7.25,Field Day,5,8.0
"",D,1,8,31.1,515,2025-06-05,SAN,Mixed 4/5,29.664,29.664,29.344,5.06,2.75,SHARNI'S SECRET,1,4.2
"",D,5,8,31.4,515,2025-05-29,SAN,Grade 5,29.823,29.339,29.339,5.0675,7.25,PEAKY JOE,5,8.0
5. Begonia Bell,B,2,1,28.7,460,2025-08-15,WAR,Grade 5 No Penalty,26.236,26.155,25.905,,1.25,SOMETHING CLEVER,2,7.5
"",B,3,3,28.5,460,2025-08-07,WAR,Grade 5,26.451,26.2239,26.2239,7.07675,3.5,WHISKY BALLERINA,3,10.0
"",B,3,1,28.5,460,2025-07-31,WAR,Grade 5 T3,26.402,26.351,26.158,,1.0,AUDACIOUS PADDY,3,3.6
"",B,6,4,29.2,460,2025-07-11,WAR,Grade 5,27.005,26.672,25.851,6.90075,5.0,SOMERTON KAREN,6,4.0
"",B,8,2,28.6,425,2025-06-29,BEN,Grade 5,24.419,23.798,23.624,,9.5,Dad's Last Run,8,12.0
7. DAINTREE VISION,D,1,7,30.4,435,2025-08-17,SAL,Grade 5,24.586,24.586,24.487,5.28875,1.25,BUNDY PARADISE,1,12.0
"",D,4,3,30.6,435,2025-08-10,SAL,Grade 5,24.819,24.66,24.119,5.2945,2.5,SPLASHED,4,8.0
"",D,2,1,30.6,435,2025-08-03,SAL,Grade 5,24.717,24.311,24.128,5.315,6.25,FURIOUS FALCON,2,10.0
"",D,2,3,30.4,435,2025-07-27,SAL,Grade 5,24.868,24.847,24.282,5.3875,0.5,PEAKY COLLINDA,2,6.5
"",D,2,3,30.7,435,2025-07-20,SAL,Grade 5,24.746,24.645,24.283,,1.75,DR. KAI,2,7.5
8. LAKEVIEW JUDE,B,6,6,29.4,515,2025-08-21,SAN,Mixed 4/5,29.802,29.493,29.263,,4.75,DR. ASHER,6,7.5
"",B,2,5,29.2,435,2025-08-10,SAL,Free For All,24.268,24.119,24.119,5.2125,2.25,DR. ASHER,2,6.0
"",B,7,6,28.7,525,2025-08-02,MEA,Mixed 4/5,30.884,30.048,30.046,5.24175,12.5,KURNAI BOLT,7,18.0
"",B,5,3,29.1,525,2025-07-26,MEA,Grade 5,30.346,29.941,29.702,5.22325,6.25,PAW YANELLE,5,14.0
"",B,8,6,29.0,525,2025-07-19,MEA,S/E Heat,30.814,30.367,29.842,5.202,6.75,PAW QUINBY,8,15.0
