Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Snowy Alford,D,4,7,28.8,400,2025-08-07,WAR,Grade 5,23.618,23.491,22.657,8.652,2.0,DAINTREE GRANITE,4,14.0
"",D,7,5,28.9,435,2025-07-30,SAL,Grade 5,25.658,25.067,24.539,5.507,9.0,ROMAN EMPIRE,7,18.0
"",D,8,5,29.0,400,2025-07-17,WAR,Grade 5,23.867,23.016,23.016,8.8675,12.75,BEST DRESSED,8,16.0
"",D,8,5,28.7,400,2025-05-08,WAR,Grade 5,24.16,23.0,22.99,9.0625,17.5,AMBANI,8,21.0
"",D,8,3,28.8,435,2025-04-30,SAL,Grade 5,25.889,24.784,24.566,5.4505,16.5,GOT IMMUNITY,8,21.0
2. I'M A TREASURE,B,2,5,28.3,400,2025-08-14,WAR,Grade 5 T3,23.315,23.29,22.762,,0.5,TILES AND WINE,2,12.0
"",B,6,3,28.1,400,2025-08-08,WAR,Grade 5 T3,23.475,23.007,22.328,8.77125,7.0,JUMBUK PUNKY,6,16.0
"",B,6,1,28.1,400,2025-07-24,WAR,Grade 5 T3,23.887,23.463,22.937,,6.5,JUST ANGELIC,6,4.6
"",B,7,4,27.9,350,2025-07-09,HEA,Grade 5,19.917,19.646,19.646,6.7755,4.25,BULLSEYE BOB,7,10.0
"",B,8,7,28.3,400,2025-07-03,WAR,Grade 5 Heat,23.898,23.187,23.036,8.8325,10.75,JAMS NIMBLE,8,10.0
3. Little Whip,B,3,8,22.9,350,2025-08-15,HEA,Grade 5 T3,19.722,19.554,19.499,6.657,2.75,SUPER SEALANT,3,10.0
"",B,7,3,23.2,390,2025-08-07,SHE,Grade 5 T3,23.525,23.108,22.632,,6.25,BIG BOY CABANG,7,5.5
"",B,8,5,22.6,400,2025-07-29,GEE,Grade 5,23.888,22.9,22.304,8.9875,14.75,Raven Force,8,4.2
"",B,3,6,22.9,400,2025-07-24,WAR,Grade 5 T3,23.432,23.182,22.937,8.665,3.75,IRON BLOOD,3,7.5
"",B,6,4,22.9,400,2025-07-03,WAR,Grade 5 Heat,23.724,23.067,23.036,8.925,10.0,ATHENIAN GODDESS,6,12.0
4. FANCY A COCO,B,5,3,27.6,400,2025-08-14,WAR,Grade 5 T3,23.589,23.131,22.762,8.87675,7.0,VALENCIA TILLY,5,7.5
"",B,7,3,27.5,400,2025-07-17,WAR,Grade 5,24.226,23.548,23.016,,10.25,INTEX BALE,7,3.2
"",B,3,2,27.8,435,2025-07-09,SAL,Grade 5,24.869,24.76,24.702,,1.75,DR. ERICA,3,15.0
"",B,3,5,27.1,515,2025-06-30,SAN,Grade 5 No Penalty,30.3215,30.024,29.444,,4.5,GUSTO,3,7.0
"",B,4,2,27.1,435,2025-06-18,SAL,Grade 5 Heat,25.277,24.723,24.481,,8.5,KILMANY WARRIOR,4,5.5
5. OUR MATE BEAR,B,8,1,26.2,400,2025-08-08,WAR,Grade 5 T3,23.746,23.007,22.328,8.70125,11.25,JUMBUK PUNKY,8,10.0
"",B,8,7,25.9,350,2025-07-25,HEA,Grade 5 T3,20.16,19.528,19.385,6.74175,9.5,JAMES'S ENTITY,8,6.5
"",B,8,3,26.1,350,2025-06-27,HEA,Grade 5 T3,19.93,19.485,19.485,6.7365,6.75,FIRING CHIEF,8,5.5
"",B,5,3,26.5,350,2025-06-15,HEA,Grade 5,19.708,19.399,19.165,6.739,4.75,ZINZAN CHARLIE,5,16.0
"",B,6,2,27.2,300,2025-06-08,HEA,Grade 5,17.41,17.057,16.788,,5.5,ZINZAN SAMMY,6,12.0
6. DASHER BALE,D,3,8,33.4,425,2025-08-16,BEN,Grade 5,24.874,24.553,24.017,,5.0,Mills For Three,3,4.0
"",D,5,8,33.4,450,2025-08-04,BAL,Grade 5 T3,26.746,25.971,25.787,7.14175,11.75,BERN'S BANJO,5,16.0
