Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Mighty Seven,D,8,7,32.9,400,2025-07-08,BUL,M2/M3,23.4,22.48,22.38,6.83,13.25,Catastrophize,8688,12.0
"",D,3,5,32.8,340,2025-06-24,BUL,M2/M3,19.65,19.38,19.33,3.54,3.75,Fiery Ruby,7743,6.5
"",D,3,1,32.4,340,2025-06-17,BUL,5,19.49,19.36,19.12,3.44,1.75,Flamenco Ethics,6663,4.8
"",D,4,8,32.2,340,2025-06-10,BUL,M2/M3,19.8,19.54,19.18,3.56,3.75,Fiery Ruby,6664,9.0
"",D,2,3,32.5,340,2025-06-03,BUL,4/5,19.54,19.49,18.96,3.47,0.75,Mighty Savannah,7732,2.5
2. Kensa Lass,B,4,4,29.2,297,2025-07-17,DAPT,M2/M3,18.04,17.24,17.02,,11.5,Nordic Shiraz,644,81.0
"",B,6,8,30.7,297,2025-06-05,DAPT,M2/M3,18.31,17.32,16.96,5.6,14.0,Lobster Roll,466,5.0
"",B,1,5,31.1,320,2025-05-31,PPK,M3,18.78,18.78,18.4,,1.25,Vitnell Bale,2121,8.0
"",B,8,6,30.8,401,2025-05-21,RICH,5,24.08,23.12,22.99,7.18,13.75,Bigbad Franky,7788,61.0
"",B,6,3,31.1,297,2025-05-15,DAPT,5,18.26,17.09,16.89,5.55,16.75,Just Julia,566,17.0
3. Black Jaffa,B,4,2,27.2,350,2025-07-25,GOUL,5,20.61,20.37,19.55,,3.5,Slip Road,2544,41.0
"",B,8,7,27.7,330,2025-07-16,TEMA,4/5,19.66,19.13,18.68,,7.5,Miss Macie Lyn,8,81.0
"",B,3,1,27.5,330,2025-07-09,TEMA,5,19.4,19.19,18.69,,3.0,Westside Babe,3,9.0
"",B,4,5,27.4,350,2025-07-04,GOUL,5,20.56,20.4,19.67,,2.25,Calla Muffin,2444,101.0
"",B,8,8,27.1,350,2025-06-27,GOUL,5,20.89,19.89,19.65,,14.25,UNACCEPTABLE PEN,4888,101.0
4. Mighty Legend,D,8,2,32.7,324,2025-07-10,RICS,M3,18.54,17.81,17.38,7.33,10.25,Raider Donkey,8888,8.0
"",D,7,6,32.6,400,2025-07-08,BUL,M2/M3,23.22,22.48,22.38,6.84,10.5,Catastrophize,6867,23.0
"",D,5,7,33.0,324,2025-06-26,RICS,M3,18.19,18.02,17.63,7.38,2.25,Rockstar Apollo,5875,11.0
"",D,2,8,32.3,400,2025-06-17,BUL,5,22.93,22.9,22.45,6.68,0.5,Fancy Lena,3322,8.0
"",D,7,1,32.9,324,2025-06-12,RICS,5,17.98,17.6,17.54,7.2,5.25,Tarawi Tank,5567,34.0
5. Sorinder Bale,D,2,1,32.6,340,2025-07-22,BUL,5,20.12,19.7,18.96,3.48,6.0,Slip Road,3322,26.0
"",D,6,6,32.8,297,2025-07-17,DAPT,5,17.99,17.37,17.02,,8.75,Queen Charlm,766,18.0
"",D,5,9,33.1,340,2025-07-08,BUL,5,20.01,19.62,19.2,3.5,5.5,Calla Muffin,5555,26.0
"",D,7,9,32.7,320,2025-07-04,RICH,5,19.33,18.41,18.23,2.26,13.25,Devotional,5567,81.0
"",D,6,8,32.9,320,2025-06-27,RICH,5,19.04,18.46,18.25,2.26,8.25,SANDY BALE,6666,101.0
6. Mighty Ranger,D,8,5,31.4,340,2025-07-15,BUL,5,20.01,19.35,19.14,3.57,9.25,Reggae Ethics,8888,61.0
"",D,6,8,31.6,400,2025-07-08,BUL,M2/M3,23.16,22.48,22.38,6.66,9.75,Catastrophize,4336,34.0
"",D,4,7,31.4,340,2025-06-24,BUL,M2/M3,19.82,19.38,19.33,3.49,6.25,Fiery Ruby,5534,14.0
"",D,7,1,30.6,340,2025-06-17,BUL,5,19.93,19.29,19.12,3.47,9.25,That's Our Girl,6677,26.0
"",D,3,3,31.1,340,2025-06-10,BUL,M2/M3,19.71,19.54,19.18,3.5,2.25,Fiery Ruby,4443,41.0
7. Bear Instincts,D,2,8,32.1,400,2025-07-22,BUL,M2/M3,22.56,22.55,22.24,6.55,0.125,Catastrophize,2112,16.0
"",D,8,5,32.2,324,2025-07-17,RICS,M2/M3,18.44,18.12,17.69,7.42,4.5,War Hawk,7888,41.0
"",D,6,5,32.1,324,2025-07-10,RICS,NG1-4,18.04,17.38,17.38,7.19,9.25,Logie Magic,6666,101.0
"",D,7,3,31.4,520,2025-06-26,W/PK,5,31.1,30.15,29.75,5.58,13.5,Messy And Untidy,1247,19.0
"",D,4,3,31.6,365,2025-06-23,NOWR,M1/M2/M3,21.32,20.63,20.47,8.98,9.75,Aria's Dream,44,7.5
8. Sublime Warrior,D,5,3,33.3,401,2025-07-18,RICH,M3,23.59,23.08,22.46,7.06,7.25,Shot Of Faith,3565,26.0
"",D,4,1,33.3,388,2025-07-15,GOSF,M3,22.78,22.45,22.26,10.4,4.75,Flying Whales,2344,19.0
"",D,3,3,33.4,320,2025-07-11,RICH,M2/M3,18.96,18.64,18.14,2.24,4.5,Flo Magic,5553,4.4
"",D,6,8,33.7,401,2025-07-04,RICH,M3,23.79,23.34,22.7,7.03,6.25,Mick's Pick,5556,6.5
"",D,4,8,34.1,320,2025-06-27,RICH,M3,18.91,18.77,18.25,2.28,2.0,Pumpkin Eater,3334,5.5
