Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Tractor Sam,D,2,6,32.6,431,2025-06-11,GUNN,5,25.41,25.1,24.95,11.56,4.25,Motor City Chief,4122,21.0
"",D,6,7,32.7,340,2025-06-04,GUNN,5,20.67,19.81,19.61,6.81,12.25,Secret Sumatra,4466,9.0
"",D,8,6,33.0,340,2025-04-30,GUNN,5,20.78,19.95,19.55,,11.75,Irish Miss,7888,21.0
"",D,1,6,33.0,340,2025-04-12,TAMW,M,20.23,20.23,20.22,,4.0,Kingsbrae Maggie,1,7.0
"",D,1,7,33.7,340,2025-04-05,TAMW,M,20.34,20.34,19.93,,4.75,Go Forward Blaze,1,5.0
2. Imperial Audrey,B,7,3,25.2,431,2025-07-02,GUNN,5,25.73,25.26,24.59,11.9,6.5,Reggie Rangoon,4877,9.5
"",B,5,4,25.3,431,2025-06-25,GUNN,5,25.74,24.91,24.58,12.23,11.75,Ava's Milo,4655,4.6
"",B,3,4,25.1,431,2025-06-18,GUNN,5,25.29,24.76,24.76,11.74,7.5,Danny Whizz Bang,4533,19.0
"",B,2,1,25.1,431,2025-06-11,GUNN,5,25.36,25.22,24.95,11.68,2.0,Motor City Hawk,6322,4.2
"",B,5,6,24.8,431,2025-06-08,GUNN,MX,25.45,24.64,24.64,11.81,11.5,Bandit Bugsy,8655,15.0
3. Soul Optic,D,4,1,31.4,525,2025-08-08,WAGA,5,31.21,30.7,30.7,5.35,7.25,Summer Faith,4,31.0
"",D,6,7,31.4,520,2025-08-04,NOWR,5,30.62,30.1,29.63,4.44,7.5,Truffles Girl,466,71.0
"",D,6,7,32.2,605,2025-07-26,DUBO,5,36.36,35.31,35.31,9.28,15.0,Swift Bonnie,424666,8.5
"",D,8,5,32.4,431,2025-07-23,GUNN,5,26.09,25.03,24.85,12.26,15.0,Snooping,7788,17.0
"",D,3,6,31.9,527,2025-07-16,GUNN,5,31.28,30.32,30.32,3.75,13.75,Stilton Evie,7343,16.0
4. Gold Miner,B,6,5,25.1,340,2025-08-13,GUNN,5,20.31,19.59,19.46,6.7,10.25,Audition Day,6566,8.0
"",B,3,7,25.6,340,2025-07-30,GUNN,5,20.2,20.07,19.55,6.71,1.75,Rhi's Girl,5333,9.5
"",B,1,1,25.8,340,2025-07-23,GUNN,M,19.98,19.98,19.64,6.64,2.0,Quirky Nacho,3111,2.4
5. Wild Dior,B,3,1,27.2,340,2025-08-11,GUNN,5,20.63,19.81,19.62,6.84,11.75,Sattler Lane,7633,7.0
"",B,6,6,27.7,340,2025-07-23,GUNN,5,21.27,19.71,19.64,6.97,22.25,Audition Day,5566,31.0
"",B,3,1,27.3,336,2025-07-19,MUSW,5,20.06,19.73,19.33,,4.75,Just Too Easy,3333,2.4
"",B,4,2,27.3,336,2025-07-12,MUSW,5,20.23,19.91,19.38,,4.5,Bel Tor Express,4644,2.4
"",B,6,7,27.1,340,2025-06-30,GUNN,5,20.98,20.0,19.75,6.91,14.0,Delicate Rose,5566,8.5
6. Sweet Zeal,B,6,3,24.4,431,2025-06-25,GUNN,5,26.2,24.91,24.58,12.04,18.25,Ava's Milo,3466,101.0
"",B,7,2,24.2,340,2025-06-18,GUNN,M1/M2/M3,20.24,19.61,19.51,6.85,9.0,Betty Bush,8877,101.0
"",B,5,7,24.4,431,2025-06-11,GUNN,5,25.71,25.1,24.95,11.93,8.75,Motor City Chief,5755,81.0
"",B,3,5,24.2,340,2025-06-01,GUNN,5,20.21,19.78,19.41,6.75,6.0,Chana Bomb,2333,34.0
"",B,7,9,24.6,402,2025-04-12,TAMW,5,24.15,23.53,23.09,,8.75,Mortar,7,6.0
7. Marvellous Mel,B,6,3,26.9,340,2025-08-11,GUNN,4,20.63,19.67,19.62,6.86,13.75,Bedazzled Buddy,6666,21.0
"",B,2,7,26.8,340,2025-07-21,GUNN,4,20.16,19.9,19.56,6.67,3.75,Valentino Beach,3122,12.0
"",B,6,5,26.8,340,2025-07-09,GUNN,5,20.37,19.44,19.4,6.71,13.25,His Fernando,4566,51.0
"",B,1,3,26.7,340,2025-06-30,GUNN,5,20.01,20.01,19.75,6.65,3.75,Sketchy Sister,3111,5.0
"",B,4,6,26.7,340,2025-06-11,GUNN,5,20.17,19.85,19.52,6.76,4.5,Jamaica Rum,4444,10.0
8. Split 'Em,B,4,8,25.5,340,2025-08-11,GUNN,5,20.42,20.0,19.62,6.91,6.0,Wreck It Rex,7744,19.0
"",B,5,3,25.6,340,2025-06-23,GUNN,5,20.86,20.05,19.66,6.94,11.5,Kiando Brooklyn,4655,5.5
"",B,7,1,25.5,340,2025-05-14,GUNN,5,20.45,19.71,19.57,6.93,10.5,Talk About Betty,2777,41.0
"",B,3,3,25.5,340,2025-05-07,GUNN,5,20.8,20.22,19.57,6.9,8.25,Spirit Chana,3633,11.0
"",B,5,7,25.8,340,2025-05-05,GUNN,5,20.44,19.91,19.58,6.84,7.5,Ballina,7555,4.4
9. Swift Sharon,B,6,5,25.6,340,2025-08-11,GUNN,5,20.76,19.81,19.62,6.82,13.5,Sattler Lane,5566,12.0
"",B,8,7,25.1,340,2025-07-21,GUNN,5,20.86,20.0,19.56,6.85,12.25,Whiskey Red,7688,31.0
"",B,7,8,25.1,340,2025-07-09,GUNN,5,20.44,19.44,19.4,6.82,14.25,His Fernando,8877,71.0
"",B,4,5,25.1,340,2025-06-30,GUNN,5,20.49,20.0,19.75,6.87,7.0,Delicate Rose,4444,31.0
"",B,4,7,25.6,340,2025-05-14,GUNN,M1/M2/M3,20.44,19.57,19.57,6.86,12.25,Levings,7744,41.0
10. Peyton's Wish,D,8,7,31.6,431,2025-08-13,GUNN,5,25.85,24.9,24.84,11.84,13.5,His Fernando,8788,101.0
"",D,5,5,31.7,340,2025-08-11,GUNN,M3,20.6,20.03,19.62,6.81,8.25,Patchy Rum,5455,17.0
"",D,7,8,31.6,400,2025-07-28,MAIT,5,23.55,22.87,22.38,5.54,9.75,Sherry Not Berry,4357,31.0
"",D,8,8,32.0,340,2025-07-23,GUNN,5,20.45,19.73,19.64,6.88,10.25,Hip Drop,8888,26.0
"",D,4,5,31.9,400,2025-07-19,GRDN,5,23.68,23.33,22.47,11.68,5.0,Manila Ghost,764,10.0
