Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MISTER SHOEMAN,D,7,2,29.7,390,2025-06-26,SHE,Grade 5,23.06,22.749,22.316,,4.75,KRUGER ICON,7,6.5
"",D,5,3,29.6,390,2025-06-12,SHE,Grade 5,23.065,22.594,22.393,,7.25,Gunai Jedi,5,5.5
"",D,5,5,29.6,390,2025-06-02,SHE,Grade 5 T3,22.861,22.449,21.941,8.63,6.25,Oriental Aurora,5,6.5
"",D,8,5,29.5,390,2025-05-29,SHE,Grade 5,23.07,22.472,22.221,,9.0,JAZZY BELLE,8,8.5
"",D,3,8,30.2,390,2025-05-15,SHE,Grade 5 T3,22.696,22.503,22.107,8.56,3.0,Shaye Jay,3,4.2
2. NICK'S MATE,D,4,3,29.9,390,2025-06-23,BAL,Grade 5 T3,22.958,22.53,22.401,,6.5,Crackerjack Bern,4,4.5
"",D,8,6,29.5,300,2025-06-06,HEA,Grade 5 T3,17.441,16.808,16.808,4.086,9.5,DUNSMORE FLYER,8,10.0
"",D,8,3,29.7,350,2025-05-16,HEA,Grade 5 T3,20.129,19.414,19.414,6.755,10.75,ANGRY FRANKY,8,58.3
"",D,1,8,30.0,300,2025-05-09,HEA,Tier 3 - Grade 6,17.313,17.313,16.845,4.05325,0.25,REDBACK EXPRESS,1,6.5
"",D,1,7,29.9,300,2025-05-06,HEA,Grade 7,17.113,17.113,16.721,4.12625,1.5,PAW TONELLI,1,12.0
3. GOLDEN LADY,B,4,2,27.2,425,2025-07-02,BEN,Grade 5,24.598,24.138,24.131,,7.0,MISS MELEE,4,7.5
"",B,7,1,26.7,425,2025-05-14,BEN,Grade 5,25.27,24.468,24.208,,12.0,Showgirl Kara,7,7.5
"",B,4,4,27.0,390,2025-05-08,SHE,Grade 5,22.84,22.541,22.541,,4.5,Tess Cabang,4,3.0
"",B,3,6,26.9,425,2025-04-30,BEN,Grade 5,24.752,24.457,23.952,,4.5,DEMONIC SPIRIT,3,3.6
"",B,2,6,26.9,390,2025-04-25,SHE,Grade 5 T3,22.627,22.577,22.187,,0.75,Whistling,2,8.0
4. BROADY BOB,D,6,2,31.0,390,2025-07-05,SHE,Grade 5,23.206,22.382,22.22,,12.5,Sonic Trooper,6,21.0
"",D,5,6,32.5,425,2025-03-12,BEN,Grade 5 T3,24.962,23.941,23.941,,15.25,MY OPIE,5,12.0
"",D,8,8,32.9,390,2025-02-24,SHE,Restricted Win Heat,23.589,22.117,22.117,9.01175,22.0,DELICIOUS,8,23.0
"",D,8,5,32.3,450,2024-12-02,SHE,Grade 5,26.283,25.033,25.033,6.667,18.75,REAPER,8,61.0
"",D,7,8,32.4,390,2024-11-25,SHE,Mixed 4/5,22.999,22.015,22.015,8.6425,14.75,SHA TIN KING,7,21.0
5. Shaye Jay,B,7,7,25.4,390,2025-06-02,SHE,Grade 5 T3,22.915,22.449,21.941,8.91,7.0,Oriental Aurora,7,12.0
"",B,1,5,25.3,390,2025-05-15,SHE,Grade 5 T3,22.503,22.503,22.107,8.42,2.25,HARBOUR LIGHTS,1,4.6
"",B,4,7,25.1,390,2025-05-08,SHE,Grade 5,22.735,22.577,22.541,,2.5,HOLLYWOOD FRANKY,4,4.2
"",B,5,5,25.4,300,2025-04-18,HEA,Grade 5 T3,17.235,17.018,16.694,4.0005,3.25,Semantic Queen,5,4.2
"",B,3,7,25.3,390,2025-04-10,SHE,Grade 5,22.832,22.626,22.412,8.66175,3.25,Semantic Queen,3,4.2
6. SCOTT LIL DIVA,B,7,5,25.6,425,2025-06-25,BEN,Grade 5 T3,24.808,24.274,24.085,,8.0,GOOSEBUMPS RICO,7,10.0
"",B,6,6,26.0,390,2025-06-16,SHE,Restricted Win Heat,23.185,22.312,21.963,8.955,13.25,Hunterview Lad,6,10.0
"",B,5,7,25.5,390,2025-05-26,SHE,Restricted Win Final,22.479,22.09,21.908,,6.0,MISCLASSIFIED,5,26.0
"",B,3,8,26.0,390,2025-05-19,SHE,Restricted Win Heat,22.719,22.157,21.765,,8.5,ANGRY ELLIE,3,6.5
"",B,7,2,25.9,390,2025-05-05,SHE,Grade 5,22.972,22.213,22.109,8.7,11.5,SPECIAL TEAMS,7,6.0
7. Latin Rhythm,B,8,3,26.6,425,2025-07-02,BEN,Grade 5,25.048,24.192,24.131,,13.0,ATLAS ALIEN,8,7.5
"",B,4,2,26.9,390,2025-06-23,BAL,Grade 5 T3,23.246,22.494,22.401,8.9025,11.25,SERENITY GIRL,4,6.5
"",B,4,6,26.9,425,2025-06-11,BEN,Grade 5 T3,25.03,24.64,24.174,,6.0,SMOKIN' GRACIE,4,12.0
"",B,2,3,26.8,425,2025-06-04,BEN,Grade 5,24.598,24.522,24.282,,1.25,Coconut Oakland,2,10.0
"",B,4,8,27.2,425,2025-05-28,BEN,Grade 5 T3,24.821,24.425,24.155,,6.0,Rostron,4,16.0
8. Argyle Emma,B,5,7,27.7,300,2025-07-04,HEA,Grade 5 T3,17.285,16.792,16.715,3.9795,7.5,Little Jack Finn,5,10.0
"",B,1,4,28.3,390,2025-06-30,BAL,Grade 5 T3,22.711,22.711,22.223,,0.5,ONE KNEE NONI,1,4.0
"",B,5,1,27.7,300,2025-06-20,HEA,Grade 5 T3,17.247,16.939,16.912,4.02,4.75,ZOOM BOOM,5,8.0
"",B,3,3,27.7,390,2025-06-16,WAR,Grade 5,22.995,22.904,22.192,,1.5,BASEMENT,3,4.0
"",B,7,8,27.5,300,2025-06-13,HEA,Grade 5 T3,17.577,17.266,16.99,4.07125,4.75,Sidewinder,7,6.0
9. KRUGER ICON,D,7,1,32.4,450,2025-07-03,SHE,Grade 5 T3,26.504,26.162,25.269,6.90425,5.25,Blue Tick Nelson,7,8.0
"",D,1,8,32.3,390,2025-06-26,SHE,Grade 5,22.749,22.749,22.316,,1.0,Redshift Romeo,1,4.4
"",D,7,1,32.2,390,2025-06-16,SHE,Restricted Win Heat,23.388,22.251,21.963,,17.0,GOT A HABIT,7,15.0
"",D,4,4,32.1,425,2025-06-11,BEN,Grade 5 T3,24.652,24.412,24.174,,3.75,BREE CABANG,4,9.0
"",D,4,6,32.2,450,2025-05-29,SHE,Grade 5,25.874,25.409,25.335,6.6935,7.0,SAVANNAH STAR,4,15.0
10. PRETTY PANAMA,B,7,10,27.5,460,2025-07-04,GEE,Grade 5,26.625,25.9,25.597,,11.0,WESTSIDE WIZARD,7,21.0
"",B,2,2,27.5,450,2025-06-30,BAL,Grade 5 T3,25.851,25.641,25.557,,3.25,INSANE,2,6.5
"",B,2,8,27.2,460,2025-06-24,GEE,Grade 5,26.304,26.051,25.6,6.705,4.0,SUMMER SPRITZ,2,3.6
"",B,2,7,27.3,450,2025-06-16,WAR,Grade 5,25.91,25.897,25.611,,0.25,Bob Deeds,2,2.6
