Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DIVINE RATIO,B,4,4,29.0,400,2025-08-14,WAR,Tier 3 - Maiden,23.4805,22.9876,22.762,8.657,7.5,ASTON CLEESE,4,3.6
"",B,2,4,29.0,300,2025-08-08,HEA,Tier 3 - Maiden,17.265,16.914,16.841,4.0375,5.25,GRETA'S GOLD,2,3.6
"",B,3,1,29.0,400,2025-08-05,WAR,Maiden,23.501,22.763,22.488,8.63,11.25,I'M TOO MESSY,3,7.0
"",B,2,1,28.7,460,2025-07-29,GEE,Maiden,26.62,26.506,25.993,6.66,1.75,AUSSIE FERNANDO,2,2.6
"",B,2,6,28.6,400,2025-07-22,GEE,Maiden,23.228,23.076,22.604,8.66175,2.5,CHARGE ON,2,4.2
2. DOWN TOWN MOLLY,B,2,6,27.0,350,2025-08-15,HEA,Tier 3 - Maiden,19.854,19.504,19.499,6.67,5.25,EVIL EYE,2,8.5
"",B,5,4,26.9,350,2025-08-03,HEA,Maiden Heat,20.113,19.279,18.947,6.6635,12.5,Canya Tornado,5,12.0
"",B,2,1,26.7,350,2025-07-25,HEA,Tier 3 - Maiden,20.319,20.315,19.385,,0.25,DUSTY DANAE,2,5.5
"",B,5,4,26.9,300,2025-07-18,HEA,Tier 3 - Maiden,17.459,17.277,16.84,4.0415,2.75,GLAMOROUS GAL,5,5.5
"",B,7,1,26.9,390,2025-06-16,BAL,Tier 3 - Maiden,24.14,22.732,22.501,8.8425,21.25,RED HOT PRETTY,7,8.0
3. BRODIE'S SHADOW,D,4,1,30.7,300,2025-08-15,HEA,Tier 3 - Maiden,17.583,17.128,16.839,4.1775,7.0,BRUREE PAT,4,3.6
"",D,7,6,29.7,425,2025-07-19,BEN,Restricted Win,26.168,24.401,24.132,,26.5,MISS MAISIE,7,2.8
"",D,6,3,29.6,400,2025-07-03,WAR,Maiden,24.49,23.402,23.036,8.91175,16.25,CORRYONG,6,2.8
"",D,3,1,29.8,390,2025-06-16,SHE,Maiden,22.735,22.391,21.963,,5.25,TRAJECTORY,3,2.8
"",D,2,1,30.1,390,2025-06-02,SHE,Tier 3 - Maiden,22.385,22.319,21.941,,1.0,LIVING,2,4.6
4. SPINNER BAIT,D,4,1,31.9,425,2025-08-16,BEN,Maiden,24.942,24.692,24.017,,3.75,ENERGISER DASH,4,8.0
"",D,2,7,31.7,400,2025-08-09,GEE,Maiden,23.141,22.953,22.742,8.555,3.0,MISSY WHO,2,15.0
"",D,5,8,31.7,460,2025-07-25,WAR,Maiden,27.237,25.888,25.843,,20.25,FLUFFY MASON,5,51.0
"",D,6,3,31.1,390,2025-06-30,BAL,Tier 3 - Maiden,22.979,22.581,22.223,8.825,6.0,PAW BASTOW,6,16.0
"",D,2,2,31.2,350,2025-06-20,HEA,Tier 3 - Maiden,20.317,20.304,19.295,6.78925,0.25,DISTORTED HUMOUR,2,8.0
5. NOKHBAH,B,7,5,27.6,350,2025-08-15,HEA,Tier 3 - Maiden,20.295,19.504,19.499,7.027,12.0,EVIL EYE,7,26.0
"",B,8,6,27.4,450,2025-08-07,SHE,Tier 3 - Maiden,27.214,26.379,26.109,,12.5,BIG BIG BEAR,8,26.0
"",B,4,4,27.4,450,2025-07-24,SHE,Tier 3 - Maiden,26.36,25.631,25.518,,11.0,TOMMY MARRA,4,26.0
"",B,7,5,27.3,425,2025-07-16,BEN,Tier 3 - Maiden,25.093,24.307,23.987,7.05375,11.75,ANGELANI,7,7.5
"",B,6,7,27.6,450,2025-07-07,SHE,Maiden Heat,26.296,25.811,25.078,6.947,7.25,BAILIESTON,6,10.0
6. LET IT LINGER,B,2,7,26.2,390,2025-08-11,BAL,Tier 3 - Maiden,22.742,22.697,22.267,,0.75,DOONGALLA GEM,2,6.0
"",B,3,6,25.8,390,2025-07-02,BAL,Maiden,23.05,22.978,22.076,,1.25,BEN SHIRAZ,3,8.0
"",B,4,8,26.5,400,2025-05-23,WAR,Maiden,24.026,23.256,22.613,,11.5,ELSWYK SID,4,4.0
"",B,7,7,26.5,400,2025-05-20,WAR,Maiden,23.577,22.78,22.314,8.7925,12.0,ASTON PASTIZZI,7,7.0
7. BULLET FORCE,B,3,3,26.5,350,2025-08-15,HEA,Tier 3 - Maiden,20.028,19.504,19.499,6.747,8.0,EVIL EYE,3,18.0
"",B,6,5,27.2,450,2025-07-31,SHE,Maiden,26.413,25.702,25.302,6.735,10.75,GO FISH,6,15.0
"",B,5,4,27.3,350,2025-07-25,HEA,Tier 3 - Maiden,20.435,20.315,19.385,,2.0,DUSTY DANAE,5,10.0
"",B,8,8,27.2,390,2025-07-10,SHE,Tier 3 - Maiden,24.396,22.819,22.323,8.8,23.75,RACEY STACEY,8,6.5
"",B,4,7,27.7,390,2025-06-23,BAL,Tier 3 - Maiden,23.742,23.424,22.401,8.96,4.75,DIAMANTINA PEARL,4,3.6
8. WALTZING CAESAR,D,6,6,32.2,460,2025-08-14,WAR,Tier 3 - Maiden,27.039,26.486,26.102,6.834,8.5,TRUST DEED,6,6.0
"",D,2,4,32.1,350,2025-08-08,HEA,Tier 3 - Maiden,20.066,20.056,19.445,6.7075,0.25,WALTZING AURORA,2,10.0
"",D,6,4,32.5,400,2025-07-31,WAR,Tier 3 - Maiden,23.882,23.601,22.609,,4.25,DELUSIONAL,6,16.0
"",D,4,7,32.7,400,2025-07-24,WAR,Maiden,23.872,23.092,22.937,8.7375,11.75,WEST ON BEATTIE,4,9.0
"",D,4,5,32.4,300,2025-07-18,HEA,Tier 3 - Maiden,17.432,17.277,16.84,4.0835,2.5,GLAMOROUS GAL,4,6.5
9. MEGA SAM,D,8,1,30.4,350,2025-08-15,HEA,Tier 3 - Maiden,20.338,19.504,19.499,6.922,12.5,EVIL EYE,8,21.0
"",D,7,5,30.4,350,2025-08-08,HEA,Tier 3 - Maiden,20.705,20.056,19.445,6.97,9.75,WALTZING AURORA,7,26.0
"",D,6,7,30.2,400,2025-07-17,WAR,Maiden,24.115,23.609,23.016,8.66,7.75,BIG BRUCE,6,12.0
"",D,8,8,29.9,435,2025-07-09,SAL,Maiden,26.086,24.941,24.702,,17.25,ASTON TIMPANA,8,51.0
"",D,8,2,29.9,400,2025-06-26,WAR,Tier 3 - Maiden,24.539,23.233,22.805,,19.5,ACRES BLUE BOY,8,16.0
10. MEGA INDY,B,6,8,26.8,350,2025-08-15,HEA,Tier 3 - Maiden,20.174,19.504,19.499,6.6875,10.0,EVIL EYE,6,51.0
"",B,8,3,26.4,350,2025-08-08,HEA,Tier 3 - Maiden,20.717,20.056,19.445,7.005,10.0,WALTZING AURORA,8,15.0
"",B,8,6,26.8,400,2025-07-17,WAR,Maiden,24.31,23.851,23.016,,7.0,BELFAST GREEN,8,16.0
"",B,7,1,26.8,435,2025-07-09,SAL,Maiden,26.038,24.822,24.702,,18.25,DR. EVA,7,6.5
"",B,8,4,26.6,400,2025-06-26,WAR,Tier 3 - Maiden,24.475,23.01,22.805,,22.0,REGGAE MISS,8,12.0
