Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Lasting Memories,B,2,1,25.7,340,2025-07-10,HOBT,R/W,19.66,19.65,19.3,,0.125,Ayla Zorro,2,5.5
"",B,3,1,25.7,340,2025-06-26,HOBT,5,19.7,19.64,19.25,5.22,0.75,Aston Donna,3,16.0
"",B,5,6,26.0,340,2025-06-05,HOBT,5,20.74,19.6,19.51,5.26,16.25,Wellington Salix,5,26.0
"",B,3,7,25.7,340,2025-05-29,HOBT,R/W,19.81,19.49,19.27,5.21,4.5,Cut The Cord,3,26.0
"",B,3,2,26.2,340,2025-05-06,HOBT,R/W,19.81,19.55,19.5,5.16,3.75,Wellington Roses,3,7.5
2. BOUMBA RICO,B,3,9,26.5,340,2025-07-10,HOBT,5,19.7,19.46,19.3,,3.5,Vintage Duchess,3,91.0
"",B,8,5,27.1,278,2025-07-01,LCTN,5,16.83,15.95,15.91,5.28,12.5,Kisses For Ruby,28,101.0
"",B,8,5,26.4,278,2025-06-09,LCTN,M,17.03,16.5,16.03,5.28,7.5,Eilish Girl,8,8.0
"",B,5,1,26.9,278,2025-05-13,LCTN,5,16.63,16.15,15.96,5.08,6.75,Tory's Day,5,51.0
"",B,8,6,26.9,340,2025-05-06,HOBT,5,20.35,19.5,19.5,5.3,12.25,Pocket Talk,8,91.0
3. Zali Keeping,B,3,3,30.1,340,2025-07-10,HOBT,5,19.6,19.4,19.3,,2.75,Ain't Waiting,3,2.45
"",B,3,4,30.4,340,2025-07-03,HOBT,5,19.73,19.57,19.52,5.23,2.25,Why Sparky,3,3.2
"",B,2,5,30.6,340,2025-06-26,HOBT,5,19.73,19.73,19.25,5.2,0.031,SHOW PRINCESS,2,3.1
"",B,3,2,30.8,515,2025-03-03,LCTN,INV,30.62,29.99,29.86,5.17,9.0,Buckle Up Majel,3,5.0
"",B,7,7,30.8,515,2025-02-24,LCTN,INV,30.68,29.81,29.38,5.24,12.25,Vintage Class,7,4.6
4. Rogue Danger,D,3,3,32.1,340,2025-07-08,HOBT,5,19.74,19.6,19.39,5.36,2.0,Why Sparky,23,7.0
"",D,2,4,31.6,340,2025-07-03,HOBT,5,19.74,19.7,19.52,5.25,0.75,ASTON WESTERN,2,21.0
"",D,1,2,32.1,278,2025-07-01,LCTN,5,16.09,16.09,15.91,5.16,5.25,Highgate Stephan,1,3.7
"",D,3,3,32.1,340,2025-06-24,HOBT,R/W,19.95,19.84,19.3,5.37,1.5,Mr. Cortez,3,9.0
"",D,4,6,31.6,278,2025-06-16,LCTN,M,16.95,16.32,16.22,5.33,9.0,Nitro Ninja,34,6.5
5. Fishy Business,B,6,4,27.1,340,2025-06-03,HOBT,6,20.01,19.72,19.54,5.11,4.25,Wanaka,36,2.25
"",B,1,8,26.9,278,2025-05-26,LCTN,J/M,16.17,16.17,16.08,5.06,1.75,Nitro Ninja,1,1.6
"",B,1,4,26.9,340,2025-05-22,HOBT,6,19.58,19.58,19.16,5.12,0.75,Wynburn Polly,1,3.0
"",B,4,7,26.7,278,2025-05-19,LCTN,6,16.6,16.19,15.97,5.1,5.75,Anndar Shelly,4,1.75
"",B,2,7,26.9,340,2025-05-15,HOBT,6,19.69,19.45,19.22,5.12,3.5,Timeless Miss,2,4.8
6. Cruiser Danger,D,8,7,30.9,340,2025-07-03,HOBT,4,20.24,19.66,19.52,5.29,8.25,Aston Donna,8,13.0
"",D,1,4,31.7,340,2025-06-24,HOBT,R/W,19.58,19.58,19.3,5.21,0.75,STRIKE A MATCH,1,2.8
"",D,7,7,31.5,278,2025-06-16,LCTN,5,16.69,16.22,16.22,5.38,6.5,Wynburn Sweetie,7,6.5
"",D,7,3,31.5,278,2025-06-09,LCTN,5,16.73,16.23,16.03,5.21,7.0,Miss Tripitaka,7,8.0
"",D,7,7,31.6,340,2025-06-03,HOBT,4,19.98,19.54,19.54,5.31,6.25,Surveillance,7,15.0
7. Fisherman's Wish,B,6,6,27.8,515,2025-06-02,LCTN,INV,30.27,29.65,29.65,5.28,8.75,Seattle,226,4.6
"",B,2,5,27.9,515,2025-05-27,LCTN,4,30.13,29.99,29.43,5.11,2.0,Pollinator Ken,2,1.85
"",B,1,4,27.5,278,2025-05-20,LCTN,4,16.03,16.03,15.9,5.02,1.75,GINGER RUSH,1,2.2
"",B,4,5,28.1,515,2025-05-05,LCTN,SE,30.12,29.84,29.84,5.15,4.0,Stella Shadows,4,3.5
"",B,3,7,27.7,515,2025-04-28,LCTN,SE,30.19,29.89,29.86,5.15,4.25,Fuel On Four,33,2.6
8. Elko,D,2,3,33.7,340,2025-06-26,HOBT,TJ,20.1,20.05,19.25,5.54,0.75,Ticking Over,2,2.2
"",D,8,2,33.7,461,2025-06-19,HOBT,SE,26.47,25.76,25.76,5.2,10.0,Whaled It,8,41.0
"",D,2,1,33.8,461,2025-06-12,HOBT,SE,26.76,26.13,25.62,5.26,9.0,Crystal,2,6.5
"",D,4,3,34.0,461,2025-05-29,HOBT,6,26.85,25.63,25.63,5.24,17.25,Wynburn Tommy,24,14.0
"",D,1,7,33.6,278,2025-05-26,LCTN,6,16.24,16.24,16.08,5.1,1.0,Timeless Gracie,1,2.3
9. Black Jewfish,D,7,8,34.9,340,2025-07-10,HOBT,R/W,20.23,19.48,19.3,,10.5,Takes Time,27,15.0
"",D,2,8,35.4,340,2025-06-24,HOBT,R/W,19.89,19.84,19.3,5.32,0.75,Mr. Cortez,2,8.0
"",D,6,7,35.5,278,2025-06-16,LCTN,R/W,17.06,16.66,16.22,5.34,5.75,Frosty Lad,6,18.0
"",D,2,1,35.3,278,2025-06-10,LCTN,5,16.4,16.39,15.91,5.16,0.125,Pressing Matters,2,8.5
"",D,1,4,35.9,340,2025-06-05,HOBT,M,19.82,19.82,19.51,5.33,3.0,Over Is Over,1,9.0
10. WIZIN WOODHOUSE,D,1,4,33.5,460,2025-06-03,GEE,Mixed 6/7,26.256,26.256,25.925,,3.5,HOW AMAZING,1,6.0
"",D,5,6,33.4,400,2025-05-27,GEE,Mixed 6/7,23.644,22.984,22.655,8.751,10.0,THERMAL SPARK,5,6.5
"",D,2,8,33.0,400,2025-05-20,GEE,Grade 6,23.004,22.643,22.643,,5.5,NEVERMIND,2,5.5
"",D,5,1,33.5,425,2025-05-09,BEN,Grade 6,24.637,24.324,23.814,,4.75,PAW HAZELDON,5,8.0
"",D,5,2,33.9,410,2025-05-02,HOR,Grade 6,23.967,23.52,23.04,10.73175,6.75,ZIPPING DIEGO,5,16.0
