Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. VISTA YANK,B,1,4,30.3,461,2025-08-12,HOBT,6,26.03,26.03,25.37,5.15,2.0,Morikawa,1,1.7
"",B,2,5,30.1,515,2025-08-05,LCTN,6,30.26,29.69,29.58,,8.25,Wynburn Tommy,32,3.6
"",B,1,7,30.1,340,2025-07-31,HOBT,J/M,19.45,19.45,19.29,5.23,5.0,Make Waves,1,1.4
"",B,4,1,30.2,450,2025-07-09,BAL,Mixed 6/7,25.679,25.536,25.536,,2.25,TOMMY SPARKLE,4,9.0
"",B,5,1,30.1,515,2025-07-03,SAN,Mixed 6/7 Final,30.407,29.775,29.334,5.09175,9.5,DAPPER CHAP,5,12.0
2. Wynburn Polly,B,2,2,27.6,515,2025-08-14,LCTN,6,30.33,29.9,29.81,,6.0,BLUE TROMBONE,32,1.4
"",B,3,1,27.9,515,2025-08-05,LCTN,6,30.33,29.69,29.58,,9.25,Wynburn Tommy,3,7.5
"",B,5,4,27.3,461,2025-07-24,HOBT,5,26.93,26.26,25.93,5.31,9.5,VERY SNEAKY,35,2.7
"",B,4,7,27.7,461,2025-06-19,HOBT,SE,26.1,25.76,25.76,5.31,4.75,Whaled It,4,31.0
"",B,1,4,27.8,461,2025-06-12,HOBT,SE,26.3,26.3,25.62,5.3,0.5,Just Regal,31,2.8
3. Trick,D,1,8,31.4,340,2025-07-31,HOBT,6,19.33,19.33,19.29,5.15,3.75,Breakn' A Sweat,1,3.3
"",D,2,5,31.2,340,2025-07-22,HOBT,6,19.68,19.67,19.33,5.3,0.125,Aunty Medio,2,4.8
"",D,2,1,31.0,340,2025-07-17,HOBT,6,19.63,19.33,19.23,5.2,4.25,Fay,2,3.9
4. Rock The Party,D,4,5,37.1,515,2025-08-14,LCTN,6,30.68,29.9,29.81,,11.0,BLUE TROMBONE,4,16.0
"",D,8,3,37.2,340,2025-08-04,HOBT,6,20.18,19.22,19.22,5.36,13.75,Ronny Rocket,8,21.0
"",D,4,6,37.2,278,2025-07-15,LCTN,J/M,16.53,16.16,16.07,5.16,5.25,Our Miss Maggie,4,14.0
6. OLLIE JACK,D,4,1,33.4,340,2025-08-11,HOBT,J/M,20.25,19.8,19.39,5.52,6.25,Where's Aunty,4,2.9
"",D,5,6,33.0,340,2025-08-04,HOBT,6,20.0,19.22,19.22,5.37,11.0,Ronny Rocket,5,7.5
"",D,5,5,32.9,340,2025-07-31,HOBT,6,20.28,19.33,19.29,5.37,13.5,Trick,35,5.5
"",D,1,2,33.3,400,2025-07-12,GEE,Restricted Win,22.794,22.794,22.201,8.615,0.5,MISS JO,1,10.0
"",D,7,7,33.2,400,2025-07-04,GEE,Mixed 6/7,23.117,22.747,22.491,8.7525,5.75,PAW CLARISSA,7,10.0
7. Aunty Medio,B,6,4,27.2,340,2025-07-31,HOBT,6,20.31,19.33,19.29,5.32,14.0,Trick,526,3.4
"",B,1,4,27.0,340,2025-07-22,HOBT,6,19.67,19.67,19.33,5.16,0.125,Trick,1,8.5
