Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. PAW KINSLEY,B,5,3,26.5,400,2025-08-18,MAIT,5,23.39,22.51,22.18,5.54,12.5,Hot Shot Ethics,55,61.0
"",B,8,4,27.0,431,2025-08-13,GUNN,5,25.69,25.0,24.84,12.01,9.75,Genuine Article,8888,14.0
"",B,2,2,27.3,527,2025-07-30,GUNN,5,31.17,30.56,30.34,3.74,8.75,Lily Bloom,5222,16.0
"",B,6,7,27.4,431,2025-07-23,GUNN,5,26.1,24.98,24.85,12.17,16.0,Motor City Hawk,7766,23.0
"",B,2,4,27.3,431,2025-07-21,GUNN,MX,25.16,24.75,24.75,11.56,5.75,Bandit Bugsy,2222,11.0
2. Lucid Rival,B,6,5,27.1,318,2025-08-18,DUBO,5,19.01,18.43,18.26,4.9,8.25,Tralee Luna,8866,26.0
"",B,8,7,27.1,300,2025-08-09,TARE,5,18.15,17.51,17.5,6.74,9.25,MISS BRONX,378,13.0
"",B,4,2,27.2,400,2025-07-28,DUBO,5,23.9,23.02,23.01,9.37,12.5,Arctic Image,5544,9.5
"",B,5,2,27.1,431,2025-07-23,GUNN,5,25.74,25.03,24.85,11.77,10.0,Snooping,2555,23.0
"",B,3,3,27.2,431,2025-07-19,MUSW,MX,25.64,25.61,25.61,,0.5,In The Queue,7333,7.0
3. Call True Blue,D,7,1,28.4,400,2025-08-01,GRDN,5,23.77,22.9,22.73,11.81,12.25,She's Blissful,787,34.0
"",D,6,1,28.3,515,2025-07-26,GRDN,5,30.64,29.57,29.57,5.22,15.25,My Bread Roll,4466,101.0
"",D,7,3,29.0,400,2025-07-18,GRDN,5,24.17,23.37,23.0,11.83,11.5,Stanley Rupert,787,41.0
"",D,4,2,28.7,400,2025-07-11,GRDN,5,24.0,23.15,22.74,11.92,12.25,Moonshine Magic,884,8.0
"",D,2,5,29.0,431,2025-06-14,MUSW,MX,25.32,25.13,25.13,,2.5,Shearwater Inn,1112,6.5
4. Suits And Boots,D,8,4,31.3,515,2025-08-09,GRDN,MX,31.39,29.8,29.76,5.3,22.5,Zipper On Time,7788,81.0
"",D,3,2,31.0,515,2025-07-26,GRDN,5,30.36,30.02,29.57,5.09,4.75,Fascinate Kath,2223,23.0
"",D,6,4,31.3,431,2025-07-19,MUSW,MX,26.15,25.61,25.61,,7.75,In The Queue,2666,5.5
"",D,1,6,31.5,336,2025-07-12,MUSW,M,19.38,19.38,19.38,,6.5,Krypto Rock,3111,8.0
"",D,5,4,31.3,515,2025-06-21,GRDN,M,30.81,29.85,29.49,5.2,13.75,Rhapsody Beast,5355,71.0
5. Shout Dodger,D,8,3,30.3,300,2025-08-13,TARE,M,18.75,17.54,17.51,6.86,17.25,Hot Ruby,668,101.0
"",D,7,3,31.0,300,2025-08-09,TARE,M,18.89,17.81,17.5,7.06,15.5,Tout Belle,767,51.0
"",D,6,7,31.1,300,2025-07-26,TARE,M,18.5,17.57,17.47,7.0,13.25,Witch Rolex,886,21.0
"",D,6,8,30.9,300,2025-07-23,TARE,M,18.15,17.57,17.31,6.81,8.25,Jet Fuel,886,71.0
"",D,4,5,31.4,336,2025-07-19,MUSW,M,20.28,19.73,19.33,,7.75,Sudden Surprise,3544,34.0
6. Rampager,D,4,7,36.5,600,2025-08-14,DAPT,MX,35.43,34.5,34.5,9.91,13.25,Hurricane Haley,5544,41.0
"",D,6,4,36.6,520,2025-08-07,DAPT,5,30.56,29.96,29.96,5.67,8.5,Fancy Lena,6666,51.6
"",D,5,2,36.8,600,2025-07-31,DAPT,5,35.46,34.66,34.66,10.07,11.5,Sneaky Tycoon,6555,26.0
"",D,1,3,36.6,520,2025-07-24,DAPT,M,30.37,30.37,29.93,5.71,0.125,Princess Ada,2211,19.0
"",D,4,1,36.4,520,2025-07-21,NOWR,M,30.29,29.92,29.92,4.53,5.25,Cool Disguise,5544,9.5
7. Rupertus,D,5,1,29.5,525,2025-08-17,BKHL,5,31.03,30.43,30.43,,8.5,STATE OF MADNESS,5,41.0
"",D,1,7,29.5,516,2025-08-09,DUBO,MX,30.49,30.49,30.1,4.71,0.031,Goanna Blue,722211,101.0
"",D,4,2,29.4,520,2025-08-04,NOWR,MX,30.52,29.98,29.63,4.63,7.75,Clock Winder,654,81.0
"",D,3,6,29.6,400,2025-08-01,WAGA,M,23.53,23.14,22.63,,5.5,AUNTY ALEX,3,13.0
"",D,5,3,29.8,516,2025-07-26,DUBO,MX,30.43,29.87,29.87,4.69,8.0,Arctic Image,755555,71.0
8. ISLE OF SKY,B,8,5,25.9,320,2025-04-13,RICH,5,19.33,18.45,17.96,2.16,12.5,Jet's Digger,6688,23.0
"",B,8,4,26.0,401,2025-01-05,RICH,5,24.9,23.15,22.6,7.12,25.0,Miss Clarence,1788,6.5
"",B,7,4,26.3,520,2024-10-03,DAPT,5,31.62,30.35,30.34,5.83,18.0,Zipping Elly May,7777,3.5
"",B,4,7,26.6,520,2024-08-23,GEE,Restricted Win,30.868,30.315,30.315,5.579,8.5,I'M HONEY,4,16.0
"",B,8,4,25.8,730,2024-07-31,MEA,Restricted Win,43.956,43.191,43.191,4.92,11.5,PAYBACK,8,16.0
