Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. NOW SHOWING,B,3,8,26.9,390,2025-08-25,WAR,Maiden,23.199,22.661,22.134,9.1195,8.25,WHIPSTICK JORDAN,3,10.0
"",B,4,6,26.9,400,2025-08-19,GEE,Maiden,23.708,23.247,22.619,,7.0,PAW BEATRIX,4,6.0
"",B,7,1,27.2,400,2025-08-05,GEE,Maiden,23.9,22.313,22.313,8.92675,23.75,ARCHIE ROLLS,7,10.0
"",B,7,7,27.3,400,2025-07-25,GEE,Maiden,23.684,23.018,22.317,8.92625,10.0,ASTON BARBIE,7,16.0
"",B,7,8,27.4,400,2025-07-12,GEE,Maiden,23.274,22.477,22.201,8.845,12.0,WEBLEC MAX,7,5.0
2. EBONY COMMANDO,D,5,1,35.0,390,2025-08-21,SHE,Maiden,23.394,22.932,22.391,8.9025,7.0,PRESENT GIFT,5,4.8
"",D,5,6,35.3,390,2025-08-14,SHE,Maiden,23.441,23.176,22.232,,4.0,THERMAL IGNITION,5,8.5
"",D,7,1,34.6,300,2025-06-25,HEA,Maiden,17.979,17.643,17.065,4.1865,5.25,IT'S A CHAPPLE,7,3.0
"",D,5,3,34.3,300,2025-05-30,HEA,Tier 3 - Maiden,17.7,17.213,16.953,4.1275,7.5,BE A SHADOW,5,8.0
"",D,8,7,33.5,390,2025-05-15,SHE,Tier 3 - Maiden,23.261,22.903,22.107,,5.5,GROVEDALE BUG,8,7.0
3. HAVING A LOOK,B,2,2,24.8,390,2025-08-21,SHE,Maiden,22.956,22.692,22.391,8.74,4.0,BELGIUM SLICE,2,3.5
"",B,4,7,25.0,390,2025-08-14,SHE,Maiden,23.326,23.176,22.232,,2.25,THERMAL IGNITION,4,6.5
"",B,3,1,25.4,390,2025-08-07,SHE,Tier 3 - Maiden,23.446,23.172,22.632,,4.25,SPARE A DIME,3,6.5
"",B,3,2,25.7,390,2025-07-31,SHE,Maiden,23.155,23.042,22.177,,1.75,WINTER RUNNINGS,3,5.0
"",B,3,7,25.1,425,2025-07-23,BEN,Maiden,24.965,24.79,24.158,,2.75,MISS LADY BUG,3,5.0
4. Twilight Digger,D,3,2,27.3,390,2025-08-21,SHE,Maiden,23.304,22.932,22.391,8.85,5.75,PRESENT GIFT,3,8.5
"",D,8,1,27.1,390,2025-07-31,SHE,Maiden,23.306,22.682,22.177,8.9365,9.5,ORIENTAL LUNA,8,21.0
"",D,5,5,27.2,450,2025-07-24,SHE,Tier 3 - Maiden,26.388,25.631,25.518,,11.5,TOMMY MARRA,5,26.0
"",D,6,2,27.1,390,2025-07-17,SHE,Maiden,23.405,22.765,22.297,,9.75,MARKET BILLY,6,12.0
