Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
2. Tralee Beauty,B,6,1,22.8,300,2025-06-25,TARE,M,18.54,17.79,17.26,6.84,10.5,Jilliby Dymar,356,61.0
"",B,4,2,23.1,300,2025-06-21,TARE,M,18.23,17.88,17.37,6.8,5.0,Fairway Fury,354,34.0
"",B,5,1,24.2,272,2025-05-17,GRDN,M,16.7,15.73,15.69,4.86,13.75,Kasey's Way,85,31.0
"",B,8,7,23.0,300,2025-04-09,TARE,M,18.59,17.67,17.33,6.84,13.25,Kiarni Bad Girl,888,51.0
"",B,5,6,23.0,300,2025-02-22,TARE,M,18.38,18.21,17.34,6.78,2.25,Kiarni Phoenix,445,31.0
5. Impress Bev,B,7,8,31.3,300,2025-06-21,TARE,M,19.15,17.76,17.37,6.83,19.75,Elle Nismo,347,8.0
6. Tulloch Road,D,5,3,34.1,300,2025-07-20,TARE,M,18.26,17.34,17.34,6.86,13.25,Very Savage,885,11.0
"",D,7,9,33.0,388,2025-06-03,GOSF,M,24.0,22.53,21.91,10.58,21.0,Iron Dome,57,7.5
"",D,5,5,33.3,300,2025-04-26,TARE,M,18.05,17.55,17.29,6.54,7.0,Pearl Shiraz,125,4.0
"",D,5,7,33.9,300,2025-04-19,TARE,M,18.13,17.6,17.38,6.57,7.5,She's Elaborate,225,3.4
"",D,3,8,34.0,300,2025-04-02,TARE,M,17.94,17.73,17.3,6.62,3.0,You Tell Her,423,5.5
7. Big Kahuna Kaos,D,4,1,30.4,300,2025-07-20,TARE,M,18.19,17.98,17.34,6.79,3.0,She's Vicious,554,3.0
"",D,8,8,30.5,300,2025-07-02,TARE,M,18.57,17.61,17.16,6.87,13.75,Almighty Wrath,888,12.0
"",D,3,2,31.0,300,2025-06-25,TARE,M,18.07,17.35,17.26,6.67,10.25,Bundy Blue,643,4.2
9. Buffalina,B,6,8,25.0,300,2025-07-05,TARE,M,18.61,18.02,17.52,6.69,8.25,Stratavon Bear,536,14.0
"",B,5,2,25.7,300,2025-06-21,TARE,M,18.35,17.78,17.37,6.91,8.25,Big Cool Kaos,665,9.5
"",B,8,7,25.5,300,2025-05-27,CASO,M,18.11,17.05,16.75,2.53,15.0,Integrity Bet,3888,17.0
10. Krypto Hudson,D,8,5,31.4,300,2025-06-21,TARE,M,19.15,17.76,17.37,6.87,19.75,Elle Nismo,668,10.0
"",D,8,5,31.9,340,2025-05-28,GUNN,M,21.08,19.92,19.42,6.84,16.5,Lumeah Taylor,8888,9.5
