Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Tango Anna,B,1,1,24.6,525,2025-07-18,WAGA,5,30.56,30.56,30.56,5.26,1.0,Rowan,1,3.7
"",B,2,7,24.7,320,2025-07-14,WAGA,4/5,18.83,18.3,18.08,,7.5,All Things Go,2,3.5
"",B,4,4,25.2,525,2025-06-27,WAGA,4/5,30.79,30.36,30.36,5.22,6.0,Ozzie Nick,4,26.0
"",B,6,2,25.5,525,2025-06-20,WAGA,NG,30.98,30.48,30.48,5.26,7.0,Zadie Bale,6,19.0
"",B,5,5,25.3,400,2025-06-13,WAGA,5,23.55,23.16,22.87,,5.5,Rowan,5,7.0
2. Got A Request,B,1,7,28.6,320,2025-07-11,WAGA,M,18.39,18.39,18.22,,0.75,PAW ULTRON,1,3.7
3. Racing Penny,B,2,6,27.7,320,2025-07-18,WAGA,5,18.82,18.5,18.36,,4.5,Bobby Boucher,2,6.5
"",B,6,4,28.1,320,2025-07-14,WAGA,5,18.74,18.08,18.08,,9.25,Tommy's Ava,6,12.0
"",B,2,1,27.2,320,2025-06-20,WAGA,5,18.67,18.55,18.4,,1.75,Angel's Emma,2,2.0
"",B,4,4,27.8,320,2025-05-30,WAGA,5,19.13,18.32,18.07,,11.5,Bobby Boucher,4,2.9
"",B,2,2,28.5,320,2025-05-23,WAGA,5,18.46,18.45,18.33,,0.125,Aston Clooney,2,6.0
4. Betty Bonkers,B,1,5,27.2,320,2025-07-18,WAGA,5,18.36,18.36,18.36,,4.25,HONEY BACK,1,9.5
"",B,3,7,27.1,320,2025-07-14,WAGA,5,18.73,18.65,18.08,,1.0,BIG REVEAL,3,3.4
"",B,8,7,27.3,320,2025-06-27,WAGA,5,19.31,18.66,18.14,,9.25,Tell Me Anything,8,4.4
"",B,3,1,27.7,330,2025-06-25,TEMA,5,19.65,19.36,18.92,,4.25,Sly Sticker,3,2.15
"",B,5,4,27.3,320,2025-06-20,WAGA,5,18.9,18.57,18.4,,4.75,EIGHT OLD MATES,5,34.0
6. Bobby Boucher,D,1,2,35.1,320,2025-07-18,WAGA,5,18.5,18.5,18.36,,4.5,Racing Penny,1,3.9
"",D,4,5,35.1,320,2025-07-11,WAGA,5,18.82,18.22,18.22,,8.5,Tommy's Ava,4,8.5
"",D,5,4,35.3,330,2025-06-11,TEMA,5,19.21,18.95,18.79,,3.75,My Irish Donn,5,3.7
"",D,6,3,35.5,330,2025-06-04,TEMA,5,19.53,18.98,18.78,,7.75,Oscar Titus,6,5.9
"",D,1,1,35.1,320,2025-05-30,WAGA,5,18.32,18.32,18.07,,0.75,Rowan,1,3.1
7. Silvertree Nacho,D,4,7,28.5,320,2025-07-18,WAGA,5,18.71,18.56,18.36,,2.0,Angel's Emma,4,7.0
"",D,5,2,28.7,320,2025-07-14,WAGA,5,18.68,18.08,18.08,,8.5,Tommy's Ava,5,21.0
"",D,2,7,28.8,400,2025-06-27,WAGA,5,23.38,23.3,22.8,,1.0,Trent Crimm,2,10.0
"",D,3,8,29.1,320,2025-06-20,WAGA,5,19.03,18.65,18.4,,5.25,Paw Perez,3,7.0
"",D,3,2,28.8,320,2025-06-16,WAGA,5,18.64,18.31,18.31,,4.75,King Of Asgard,3,16.0
8. Avoid Me,B,5,5,25.0,320,2025-07-18,WAGA,5,18.89,18.56,18.36,,4.75,Angel's Emma,5,7.5
"",B,2,4,24.2,320,2025-06-27,WAGA,5,18.78,18.38,18.14,,5.75,Tommy's Ava,2,23.0
"",B,4,1,24.3,320,2025-06-20,WAGA,5,19.08,18.65,18.4,,6.0,Paw Perez,4,7.0
"",B,2,7,24.1,320,2025-06-09,WAGA,5,18.83,18.54,18.22,,4.25,EIGHT OLD MATES,2,8.5
"",B,3,2,23.7,320,2025-05-30,WAGA,5,18.88,18.62,18.07,,3.75,Lagoon Ohiyesa,3,10.0
