Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MORAINE MINTY,D,2,5,31.3,390,2025-07-14,WAR,Maiden,22.578,22.507,22.094,8.91,1.25,BALDING SANDY,2,3.4
"",D,4,7,31.3,390,2025-07-07,WAR,Maiden,22.97,22.811,22.01,9.07,2.5,BELAIR LAUREL,4,4.0
"",D,2,7,31.4,390,2025-06-30,WAR,Maiden,22.656,22.512,22.299,,2.25,LEKTRA ROGER,2,4.0
"",D,2,8,30.9,390,2025-06-02,WAR,Maiden,22.736,22.237,22.237,,7.5,Lektra Bert,2,12.0
"",D,5,8,31.0,450,2025-05-26,WAR,Maiden,26.38,25.669,25.669,,10.75,HOW AMAZING,5,16.0
2. CRUISING TESSA,B,2,3,28.5,390,2025-07-16,BAL,Maiden,22.629,22.432,21.708,8.7925,3.0,PUNCH DRUNK LOVE,2,4.6
"",B,6,2,28.7,400,2025-07-12,GEE,Maiden,23.206,22.477,22.201,8.67,11.0,WEBLEC MAX,6,8.0
"",B,4,1,28.8,400,2025-07-08,GEE,Maiden,23.473,23.35,22.583,,2.0,VOLTS,4,5.0
3. MUSTANG ELEANOR,B,4,7,25.9,390,2025-07-14,WAR,Maiden,23.1,22.396,22.094,,10.75,STILTON SWIRL,4,8.0
"",B,6,7,26.0,390,2025-07-10,WAR,Maiden,23.319,22.58,22.008,9.2225,11.25,Lektra Bella,6,6.5
"",B,6,8,26.1,390,2025-06-30,WAR,Maiden,23.223,22.907,22.299,8.82,4.75,BUSH LASS,6,6.0
"",B,7,3,26.6,390,2025-06-23,WAR,Maiden,23.833,22.389,21.991,9.6525,21.75,WARLINE HENRY,7,3.2
"",B,5,3,26.6,390,2025-06-16,WAR,Maiden,23.007,22.499,22.192,,7.75,SHE REBEL,5,7.5
4. LAHI JAMES,D,7,4,31.5,515,2025-06-30,SAN,Maiden,30.953,30.18,29.444,,11.75,ASCEND KALMIA,7,7.0
"",D,5,8,31.1,400,2025-05-29,GEE,Maiden Heat,23.244,22.817,22.589,8.7575,6.5,WEBLEC BEAU,5,6.0
6. BOGGY PUB,D,4,6,30.3,390,2025-05-22,WAR,Maiden,23.385,22.901,21.937,,7.25,BELAIR BLUE,4,6.0
"",D,8,2,32.5,425,2025-01-31,BEN,Maiden,26.136,23.904,23.542,,33.5,HAVE A CRACK,8,8.0
"",D,4,3,32.2,425,2025-01-24,BEN,Maiden,24.908,23.95,23.701,,14.5,HEAVY HAULAGE,4,5.0
"",D,8,6,31.7,450,2024-12-30,WAR,S/E Heat,25.926,25.374,25.272,,8.25,NIZHONI,8,7.5
"",D,3,8,31.8,450,2024-12-18,BAL,Maiden,25.535,25.277,25.101,6.71875,4.0,SHIMA SEAL,3,8.0
7. BROTHER BUB,D,2,3,29.9,390,2025-07-10,WAR,Maiden,22.615,22.58,22.008,8.75,0.75,Lektra Bella,2,2.2
"",D,3,8,29.9,390,2025-07-03,WAR,Maiden,22.649,22.617,21.88,8.8025,0.5,CONCRETE KAOS,3,3.4
"",D,4,6,29.9,390,2025-06-26,WAR,Maiden,22.565,22.191,21.771,8.9675,5.75,UNCLE MIKEY,4,4.0
"",D,2,1,30.2,390,2025-06-19,WAR,Maiden,22.597,22.203,21.876,8.95,6.0,ANALYZATION,2,2.8
"",D,5,1,30.9,450,2025-04-10,WAR,Maiden,25.71,25.417,25.155,,4.5,DASHING DONNA,5,8.0
8. SOLAR KELLY,B,7,6,24.6,410,2025-07-15,HOR,Maiden,24.35,23.468,23.265,11.007,13.25,AIR SPEED,7,10.0
"",B,8,6,25.3,410,2025-06-24,HOR,Maiden,25.118,23.635,23.283,,22.25,PAW DROGO,8,21.0
"",B,6,1,25.3,390,2025-06-09,BAL,Tier 3 - Maiden,23.732,22.9,22.404,,12.5,MICK SWAGGER,6,12.0
"",B,4,3,24.7,410,2025-05-31,HOR,Maiden,24.223,23.957,23.168,,4.0,CRUISING NAT,4,5.0
"",B,4,6,24.8,390,2025-05-26,WAR,Maiden,23.085,22.754,22.182,9.17675,5.0,DIMORA STRIPEY,4,21.0
