Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. LITTLE TIC,B,6,8,28.9,390,2025-07-21,SHE,Mixed 6/7,22.839,22.185,21.711,8.8475,10.0,ROYAL RUPEE,6,21.0
"",B,7,2,28.2,425,2025-04-09,BEN,Tier 3 - Grade 7,24.885,24.396,24.205,,7.5,ROCK ETERNAL,7,16.0
"",B,2,3,29.0,425,2025-03-26,BEN,Grade 7,25.019,24.963,24.126,,1.0,MISSY HIGHLAND,2,16.0
"",B,4,6,29.2,390,2025-03-13,SHE,Grade 7,23.369,22.368,22.2,,15.0,SCOTT INFLUENCE,4,10.0
"",B,3,6,28.9,425,2025-03-05,BEN,Mixed 6/7,24.71,24.164,23.826,,8.25,IRON BLOOD,3,12.0
2. NO MORE BEER,D,6,3,33.6,450,2025-07-21,SHE,Mixed 6/7,25.794,25.334,24.844,6.6825,7.0,PLATINUM RELEASE,6,3.6
"",D,2,8,33.4,425,2025-07-11,BEN,Mixed 6/7 Final,24.104,23.998,23.858,,1.75,SONIA'S BEAUTY,2,6.5
"",D,3,7,33.1,425,2025-07-04,BEN,Mixed 6/7 Heat,24.311,24.189,23.619,,2.0,PAW DROGO,3,3.4
"",D,2,4,32.8,425,2025-06-13,BEN,Mixed 6/7,24.324,24.02,23.779,,4.75,MOYARRA KONGK,2,10.0
"",D,3,5,32.8,450,2025-06-09,SHE,Mixed 6/7,25.719,25.569,25.011,,2.25,IT'S LATE,3,6.5
4. ZIG ZAG KABOOM,D,4,4,32.6,350,2025-07-20,HEA,Mixed 6/7,19.803,19.224,18.959,,8.75,MATCHBOX BEAST,4,8.0
"",D,2,2,32.0,350,2025-07-06,HEA,Mixed 6/7,19.442,19.404,19.051,6.5825,0.75,Despicable Andy,2,5.5
"",D,3,4,32.7,390,2025-07-01,BAL,Mixed 6/7 Heat,22.566,22.08,22.08,8.64,7.5,CRACKERJACK KEV,3,2.4
"",D,6,4,32.5,390,2025-06-05,BAL,S/E Heat,22.969,22.47,21.704,,7.5,NOSEY PARKER,6,6.5
"",D,6,3,32.5,450,2025-05-25,BAL,Mixed 6/7 Heat,25.8,25.049,24.737,6.7325,11.25,MEPUNGA FLYER,6,2.8
5. KAIA GOT SQUARE,B,4,5,27.8,450,2025-07-21,BAL,Tier 3 - Grade 7,26.361,26.288,25.61,6.73,1.25,DAD'S PLUM SAUCE,4,21.0
"",B,5,4,27.2,390,2025-07-14,WAR,Grade 7,23.076,22.334,22.094,,11.25,BELAIR BLUE,5,16.0
"",B,1,1,27.6,400,2025-07-08,GEE,Maiden,23.68,23.68,22.583,9.1045,0.5,HOPE IN HARDSHIP,1,10.0
"",B,8,5,27.0,410,2025-06-17,HOR,Maiden Heat,24.81,23.83,23.306,,14.75,ALL MUCKED UP,8,4.8
7. POWDER DRY,D,4,5,33.7,390,2025-07-21,SHE,Mixed 6/7,22.497,22.185,21.711,8.795,4.75,ROYAL RUPEE,4,10.0
"",D,5,6,33.0,425,2025-07-04,BEN,Mixed 6/7 Heat,24.583,24.189,23.619,,6.0,PAW DROGO,5,9.0
"",D,1,6,33.0,390,2025-06-26,SHE,Maiden,22.322,22.322,22.316,,1.0,GREEN SHOOTS,1,2.8
"",D,2,1,33.0,450,2025-06-19,SHE,Maiden,25.926,25.763,25.592,,2.5,ARGYLE WHISKEY,2,3.2
"",D,2,4,33.1,500,2025-06-13,BEN,Maiden,28.648,28.619,28.377,,0.5,FAIL IN STYLE,2,14.0
8. STRUCK THE LOT,B,7,3,28.1,500,2025-07-18,BEN,Mixed 6/7,29.177,28.428,28.114,,11.25,MEASUREMENT,7,8.0
"",B,4,9,28.2,450,2025-07-10,SHE,Tier 3 - Grade 7,26.117,25.747,25.645,,5.75,SUNNY STRIDE,4,4.0
"",B,2,1,27.9,500,2025-06-25,BEN,Tier 3 - Restricted Win,28.912,28.892,28.474,6.7675,0.5,INNER VISION,2,2.2
"",B,3,4,27.8,425,2025-06-18,BEN,Tier 3 - Grade 7,24.505,24.139,24.139,,5.5,REV TREASURE,3,4.0
"",B,6,3,28.0,450,2025-06-12,SHE,Mixed 6/7,26.603,25.925,25.678,,10.25,HUSKY BAILEY,6,2.8
