Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Me Myself And,B,2,8,27.4,380,2025-08-15,TVLE,6,22.16,21.85,21.68,7.69,4.25,Popular Monster,2,3.7
"",B,2,6,27.3,395,2025-06-04,APWE,6,23.3,23.03,22.45,10.97,3.75,Blue Serenade,2,2.8
"",B,1,6,27.7,331,2025-05-29,APTH,M,19.21,19.21,18.89,7.24,5.5,Quarter Share,11,2.7
2. Explosive Balboa,D,7,5,31.7,380,2025-08-15,TVLE,6,23.62,21.85,21.68,7.81,25.25,Popular Monster,7,5.5
"",D,1,2,30.9,380,2025-08-08,TVLE,M,21.79,21.79,21.53,,2.0,Hara's Collar,1,2.2
"",D,2,6,30.7,380,2025-08-01,TVLE,M,22.4,22.24,21.55,,2.25,FUNGUS,2,5.0
"",D,3,7,31.1,380,2025-07-25,TVLE,M,22.21,22.13,21.79,,1.0,He Played One,3,3.8
"",D,2,8,31.3,380,2025-06-27,TVLE,M,22.15,21.9,21.65,,3.5,Gidgee Bug,2,8.5
3. Big Kelce,D,6,7,33.8,380,2025-08-15,TVLE,6,23.26,21.85,21.68,7.91,20.25,Popular Monster,6,9.0
"",D,3,4,34.0,498,2025-08-08,TVLE,6,29.41,29.38,29.38,12.72,0.5,Aston Bradley,3,6.5
"",D,2,1,33.8,380,2025-08-01,TVLE,6,22.05,21.88,21.55,,2.25,Barnsley,2,9.0
"",D,3,3,34.2,498,2025-07-25,TVLE,6,29.57,29.13,29.13,,6.25,Sheryl,3,23.0
"",D,8,3,34.2,380,2025-07-18,TVLE,6,22.78,21.59,21.59,,17.0,ISINBAYEVA,8,9.0
4. Hara's Esme,B,4,8,24.4,498,2025-08-08,TVLE,6,29.93,29.38,29.38,13.04,7.75,Aston Bradley,4,16.0
"",B,7,8,24.3,380,2025-07-18,TVLE,6,24.44,21.69,21.59,,39.25,Empty Sky,7,12.0
"",B,6,4,24.2,380,2025-06-27,TVLE,6,23.73,22.05,21.65,,24.0,Reckless Ruby,6,34.0
"",B,8,1,24.3,380,2025-06-20,TVLE,6,22.85,22.08,21.8,,11.0,Explosive Jem,8,4.6
"",B,1,8,24.0,380,2025-06-13,TVLE,M,22.39,22.39,21.68,,0.125,Electra Shadow,1,4.8
5. Rosdue Beach,B,5,5,27.3,380,2025-08-15,TVLE,6,22.46,21.95,21.68,7.79,7.25,LEMON SLICE,5,8.0
"",B,4,5,27.3,380,2025-08-08,TVLE,6,22.11,21.79,21.53,6.31,4.5,He Played One,4,3.7
"",B,3,7,27.5,380,2025-08-01,TVLE,6,22.24,21.69,21.55,,7.75,BUG ME MORE,3,13.0
"",B,5,7,26.7,380,2025-04-19,TVLE,6,23.03,22.4,22.23,,9.0,ARKA CHIEF,5,19.0
"",B,6,6,26.4,407,2025-03-16,ROCK,NOV,24.84,24.16,23.85,9.71,9.75,Lucky Red,6,21.0
6. Rambutan Beast,B,4,3,27.5,380,2025-08-15,TVLE,6,22.4,21.85,21.68,7.54,7.75,Popular Monster,4,41.0
"",B,8,2,27.8,380,2025-08-01,TVLE,6,22.84,21.69,21.55,,16.25,BUG ME MORE,8,21.0
"",B,6,3,28.1,380,2025-07-18,TVLE,6,22.66,22.21,21.59,,6.25,RING RING,6,14.0
"",B,7,7,27.9,380,2025-06-27,TVLE,6,23.29,21.81,21.65,,21.25,Hara's Lilly,7,26.0
"",B,7,5,27.8,380,2025-06-20,TVLE,6,23.33,22.45,21.8,,12.5,Swing On By,7,23.0
7. Avatar King,D,5,4,30.1,380,2025-08-08,TVLE,6,22.53,21.76,21.53,6.24,11.0,Gidgee Bug,5,26.0
"",D,6,6,30.3,380,2025-07-25,TVLE,6,23.2,22.29,21.79,,13.0,Affleck,6,10.0
"",D,7,8,29.4,380,2025-06-20,TVLE,6,22.74,22.08,21.8,,9.25,Explosive Jem,7,8.0
"",D,4,4,30.2,380,2025-06-06,TVLE,6,22.24,21.88,21.54,,5.25,Non Stop Whiskey,4,19.0
"",D,7,6,30.3,380,2025-05-30,TVLE,6,22.92,22.08,21.62,,12.0,Black Rifle,7,13.0
8. Panadom,D,7,2,29.8,380,2025-08-08,TVLE,6,23.14,21.79,21.53,6.54,19.25,He Played One,7,11.0
"",D,6,5,29.9,380,2025-08-01,TVLE,6,22.56,21.88,21.55,,9.75,Barnsley,6,23.0
"",D,2,1,30.1,380,2025-07-25,TVLE,6,22.39,22.29,21.79,,1.5,Affleck,2,9.0
"",D,3,1,29.9,380,2025-07-18,TVLE,6,22.28,21.69,21.59,,8.25,Empty Sky,3,31.0
"",D,4,2,29.9,380,2025-06-20,TVLE,6,22.69,22.45,21.8,,3.5,Swing On By,4,23.0
9. Freddy Dodge,D,8,4,29.8,380,2025-08-15,TVLE,6,23.71,21.85,21.68,7.84,26.5,Popular Monster,8,10.0
"",D,6,1,30.4,498,2025-08-08,TVLE,6,30.17,29.38,29.38,12.93,11.25,Aston Bradley,6,12.0
"",D,4,4,30.5,380,2025-07-25,TVLE,6,22.99,22.29,21.79,6.36,10.0,Affleck,4,5.0
"",D,3,2,30.5,380,2025-07-18,TVLE,6,22.38,21.59,21.59,,11.25,ISINBAYEVA,3,6.0
"",D,2,9,30.7,380,2025-06-27,TVLE,6,22.32,22.05,21.65,,3.75,Reckless Ruby,2,4.6
10. Harkle Road,B,8,3,27.0,380,2025-07-25,TVLE,6,23.5,22.29,21.79,,17.25,Affleck,8,3.2
"",B,5,8,27.3,380,2025-06-27,TVLE,6,22.67,22.05,21.65,,8.75,Reckless Ruby,5,8.0
"",B,5,1,27.4,380,2025-06-20,TVLE,6,22.71,22.45,21.8,,3.75,Swing On By,5,2.7
"",B,6,7,27.7,380,2025-06-06,TVLE,6,22.59,21.88,21.54,,10.0,Non Stop Whiskey,6,3.4
"",B,1,2,28.4,380,2025-05-30,TVLE,M,22.13,22.13,21.62,,0.75,Reckless Ruby,1,2.3
