Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SPARKLING GIRL,B,2,2,27.0,320,2025-06-20,WAGA,5,18.67,18.63,18.4,,0.75,Nugget Ned,2,1.7
"",B,3,4,27.3,320,2025-06-06,WAGA,5,18.72,18.48,18.28,,3.5,Got A Flyer,3,2.5
"",B,7,4,28.2,320,2025-05-16,WAGA,5,19.04,18.17,18.17,,12.25,Got A Depart,7,13.0
"",B,2,7,27.6,320,2025-05-02,WAGA,5,18.51,18.44,18.26,,1.0,ASTON LAMBADA,2,4.0
"",B,1,7,27.8,320,2025-04-28,WAGA,5,18.64,18.64,18.33,,0.75,Aston Clooney,1,4.2
2. Let's Go Narelle,B,1,2,28.5,320,2025-06-16,WAGA,5,18.72,18.72,18.31,,1.75,Angel's Emma,1,6.0
"",B,6,2,28.7,320,2025-06-09,WAGA,5,19.26,18.52,18.22,,10.5,All Things Go,6,10.0
"",B,5,6,28.7,320,2025-04-25,WAGA,5,18.98,18.66,18.21,,4.5,ELITE DARA,5,10.0
"",B,1,2,28.4,320,2025-04-14,WAGA,5,18.76,18.76,18.46,,6.5,Ella Can Browse,1,2.9
"",B,2,8,28.4,320,2025-04-11,WAGA,5,18.83,18.4,18.22,,6.0,EIGHT OLD MATES,2,21.0
3. Undiagnosed,B,4,3,22.0,320,2025-06-13,WAGA,5,18.97,18.46,18.42,,7.25,All Things Go,4,8.0
"",B,4,8,22.1,320,2025-05-30,WAGA,5,18.95,18.84,18.07,,1.5,Zipping Odessa,4,2.7
"",B,8,6,23.0,300,2025-04-16,TARE,4/5,18.62,17.45,17.22,6.65,16.75,Let's Go Luke,758,51.0
"",B,5,4,22.9,320,2024-12-20,WAGA,5,18.85,17.98,17.98,,12.25,Tiggerlong Bingo,5,34.0
"",B,2,8,23.3,320,2024-12-13,WAGA,5,18.53,18.39,18.1,,2.0,Got A Lesson,2,18.0
4. Avoid Me,B,4,1,24.3,320,2025-06-20,WAGA,5,19.08,18.65,18.4,,6.0,Paw Perez,4,7.0
"",B,2,7,24.1,320,2025-06-09,WAGA,5,18.83,18.54,18.22,,4.25,EIGHT OLD MATES,2,8.5
"",B,3,2,23.7,320,2025-05-30,WAGA,5,18.88,18.62,18.07,,3.75,Lagoon Ohiyesa,3,10.0
"",B,2,8,24.0,320,2025-05-16,WAGA,5,19.06,18.8,18.17,,3.75,Canya Penny,2,2.3
"",B,1,2,24.1,320,2025-05-09,WAGA,M,18.76,18.76,17.99,,0.75,Olympia Izmir,1,3.3
5. Tommy's Ava,B,1,5,24.0,320,2025-06-20,WAGA,M,18.4,18.4,18.4,,6.75,Lone Tornado,1,1.28
"",B,1,2,23.9,320,2025-06-16,WAGA,M,18.57,18.57,18.31,,3.0,Dana Buddy,1,2.0
6. Sha'carri,B,4,8,24.8,320,2025-06-20,WAGA,5,18.97,18.63,18.4,,4.75,Nugget Ned,4,18.0
"",B,5,4,25.0,320,2025-06-16,WAGA,5,19.59,18.72,18.31,,12.25,Let's Go Narelle,5,16.0
"",B,3,8,25.0,320,2025-05-23,WAGA,5,19.14,18.75,18.33,,5.5,Wrangler Fusion,3,11.0
"",B,6,7,24.8,320,2025-05-16,WAGA,5,19.24,18.8,18.17,,6.25,Canya Penny,6,18.0
"",B,3,1,25.9,320,2025-04-25,WAGA,5,18.92,18.33,18.21,,8.25,King Of Asgard,3,16.0
7. Angel's Emma,B,1,8,24.4,320,2025-06-20,WAGA,5,18.55,18.55,18.4,,1.75,Racing Penny,1,3.8
"",B,2,7,24.3,320,2025-06-16,WAGA,5,18.84,18.72,18.31,,1.75,Let's Go Narelle,2,3.1
"",B,2,4,23.9,320,2025-06-09,WAGA,5,19.13,18.87,18.22,,3.75,UPPER'S FLYER,2,2.25
"",B,2,8,24.1,320,2025-06-06,WAGA,5,18.64,18.48,18.28,,2.25,Got A Flyer,2,5.0
"",B,1,9,23.7,320,2025-05-02,WAGA,M,18.79,18.79,18.26,,0.75,Truffles Girl,1,4.8
8. Mavro,D,7,6,26.4,330,2025-05-28,TEMA,5,19.43,18.85,18.79,,8.25,Westside Storm,7,22.4
"",D,6,1,26.4,400,2025-05-24,DUBO,5,23.58,22.95,22.95,9.24,9.0,Red Rock Rose,5566,5.5
"",D,2,8,26.1,330,2025-05-21,TEMA,5,19.0,18.88,18.57,,1.75,Westside Storm,2,9.5
"",D,3,8,25.6,320,2025-05-16,WAGA,5,18.69,18.5,18.17,,2.5,Errol,3,3.7
"",D,4,4,25.3,320,2025-05-09,WAGA,5,18.84,18.51,17.99,,4.75,ASTON LAMBADA,4,8.5
