Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Bell Mac Magic,B,4,3,27.2,400,2025-07-26,DUBO,4/5,23.41,23.2,23.2,9.21,3.0,Red Rock Rose,6344,10.0
"",B,6,7,26.8,400,2025-07-19,DUBO,5,23.45,23.15,22.73,9.05,4.25,Go Forward Block,5366,12.0
"",B,6,3,27.0,400,2025-07-12,DUBO,4/5,23.74,22.74,22.74,9.41,14.25,Candice Keeping,3556,10.0
"",B,4,2,27.1,400,2025-07-05,DUBO,4/5,23.41,22.65,22.65,9.41,10.75,Better Light Up,4444,6.0
"",B,1,5,27.1,400,2025-06-28,DUBO,5,23.17,23.17,22.95,9.15,2.25,Candice Keeping,5111,11.0
2. She's Tip Top,B,3,3,25.6,352,2025-07-16,QOT,5,19.94,19.68,19.49,3.94,3.75,Daysea's Shelly,113,17.0
"",B,6,5,25.8,352,2025-07-09,QOT,5,20.17,19.67,19.45,4.12,7.0,Disco Ethics,746,4.6
"",B,2,1,25.7,352,2025-07-02,QOT,5,20.35,20.19,19.88,3.95,2.25,Cake Is Yummy,222,4.0
"",B,3,3,25.8,352,2025-06-25,QOT,5,20.44,20.28,19.59,4.0,2.25,Smooth Panther,343,2.8
"",B,1,5,25.8,352,2025-06-19,QOT,5,19.89,19.89,19.47,3.95,3.5,She's A Bullet,111,11.0
3. My Oh My,B,3,3,25.7,318,2025-07-26,DUBO,5,19.0,18.52,18.25,5.04,6.75,Triple Phantom,8433,11.0
"",B,5,4,25.5,318,2025-07-19,DUBO,5,19.06,18.57,18.45,4.94,7.0,Mahome Boy,7555,3.3
"",B,8,2,25.3,318,2025-07-05,DUBO,4/5,19.04,18.21,18.21,4.95,11.75,Armatree Violet,8788,9.0
"",B,6,4,25.2,318,2025-06-28,DUBO,4,18.71,18.07,18.07,4.9,9.25,Travelling Gem,6666,23.0
"",B,4,5,25.2,318,2025-06-22,DUBO,NG1-4,18.92,18.13,18.13,4.89,11.25,Ferrero Magic,5444,16.0
4. WALTZING BLAZE,D,3,4,31.5,318,2025-07-26,DUBO,5,18.92,18.81,18.25,4.88,1.5,Bogan Knows,5333,7.5
"",D,8,8,31.3,318,2025-07-12,DUBO,5,19.64,18.62,18.28,4.93,14.5,Explode Opal,8688,8.5
"",D,8,2,31.6,318,2025-07-05,DUBO,5,19.36,18.46,18.21,4.79,12.75,Triple Phantom,5788,34.0
"",D,8,6,31.4,318,2025-06-22,DUBO,5,19.19,18.38,18.13,4.88,11.5,Tralee Enzo,7888,17.0
"",D,5,3,31.2,320,2025-06-09,WAGA,4,19.09,18.77,18.22,,4.5,Mr. Kambosos,5,34.0
6. Test The Limit,D,7,7,30.1,350,2025-07-13,GRAF,5,20.75,20.05,20.05,4.17,10.0,Great Marlow,7767,81.0
"",D,3,7,30.0,350,2025-07-08,GRAF,5,20.86,20.31,19.98,4.17,7.75,Bundy Damage,1233,51.0
"",D,8,8,30.4,350,2025-06-17,GRAF,5,21.41,20.2,19.77,4.26,17.25,Lenny Large,5588,16.0
"",D,8,2,30.5,350,2025-06-06,GOUL,5,20.61,20.08,19.62,,7.5,Revved Up,4688,71.0
"",D,7,5,30.1,318,2025-05-31,DUBO,4/5,19.15,18.11,18.11,4.97,14.75,Nangar Archie,8877,23.0
7. Miss Macie Lyn,B,5,2,31.0,318,2025-07-26,DUBO,5,19.16,18.52,18.25,4.99,9.25,Triple Phantom,3555,6.0
"",B,4,1,30.8,400,2025-07-19,DUBO,5,23.38,23.12,22.73,9.37,3.75,Terry Keeping,2444,6.0
"",B,1,2,30.4,330,2025-07-16,TEMA,4/5,19.13,19.13,18.68,,0.125,My Name's Jackie,1,5.0
"",B,7,2,30.4,400,2025-07-12,DUBO,4/5,23.75,22.74,22.74,9.44,14.25,Candice Keeping,6767,13.0
"",B,3,8,30.7,400,2025-07-05,DUBO,5,23.47,23.22,22.65,9.33,3.5,Best Nan,6533,3.4
8. Michelle Keeping,B,6,9,27.9,318,2025-07-19,DUBO,5,19.19,18.57,18.45,4.81,8.75,Mahome Boy,3266,5.5
"",B,4,2,27.8,340,2025-06-11,GUNN,5,20.15,19.74,19.52,6.66,5.75,SNOWFEST,3344,10.0
"",B,8,4,27.8,318,2025-06-07,DUBO,4/5,19.18,18.38,18.23,4.72,11.5,Lucy Valentine,1288,19.0
"",B,4,8,27.6,318,2025-05-31,DUBO,4/5,18.86,18.11,18.11,4.76,10.5,Nangar Archie,3244,10.0
"",B,8,8,27.3,318,2025-05-17,DUBO,4/5,19.21,18.21,18.03,4.89,14.25,Blaine Keeping,8888,16.0
