Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Floyd's Dream,D,3,5,31.3,400,2025-07-19,GRDN,5,23.2,22.89,22.47,11.33,4.25,I'M Alright,633,4.8
"",D,5,6,31.3,400,2025-07-12,GRDN,5,23.54,23.06,22.91,11.49,6.75,Irinka Lindsay,445,6.0
"",D,4,3,31.4,400,2025-07-04,GRDN,5,23.44,23.18,22.39,11.51,3.75,Let's Trot Vixen,764,6.0
"",D,6,7,32.5,388,2025-05-31,GOSF,5,22.88,22.2,22.2,10.55,9.75,SCREECHING,5556,21.0
"",D,3,7,32.6,400,2025-05-17,GRDN,5,23.38,22.89,22.76,11.56,7.0,Messy And Untidy,753,3.3
2. Ritza Rocker,D,8,1,32.1,515,2024-11-23,GRDN,4/5,30.55,29.69,29.69,5.05,12.25,FASCINATE DEBRA,3448,11.0
"",D,5,2,32.1,400,2024-11-15,GRDN,5,23.66,22.57,22.57,11.91,15.5,George Judy,765,2.5
"",D,3,1,31.9,515,2024-10-05,GRDN,5,29.85,29.39,29.39,5.04,6.5,Siren Queen,4323,3.3
"",D,2,2,31.7,515,2024-09-21,GRDN,5,29.84,29.56,29.51,5.04,4.0,Drink Tins,43332,4.2
"",D,3,8,31.6,520,2024-09-14,W/PK,5,30.31,29.86,29.63,5.58,6.25,Saint Omagh,2233,9.5
3. Sparky Key,B,2,7,25.9,400,2025-07-19,GRDN,5,23.03,22.89,22.47,11.28,2.0,I'M Alright,122,4.6
"",B,3,4,26.1,400,2025-07-12,GRDN,5,23.31,23.06,22.91,11.46,3.5,Irinka Lindsay,133,9.0
"",B,4,1,26.2,515,2025-07-01,GOSF,5,30.22,29.58,29.08,4.63,9.25,Vito's Poolish,43444,23.0
"",B,5,8,25.9,525,2025-06-25,TARE,5,31.33,30.52,30.52,4.04,11.5,Just Savage,5465,4.6
"",B,4,5,26.7,515,2025-06-14,GRDN,5,30.12,29.78,29.78,5.03,4.75,Canya Not,1344,23.0
4. Armatree Freddo,D,3,4,34.1,400,2025-07-11,GRDN,5,23.45,23.15,22.74,11.75,4.25,Moonshine Magic,633,6.0
"",D,5,2,33.9,400,2025-07-05,GRDN,5,23.37,22.87,22.64,11.66,7.0,Slick Sand,865,10.0
"",D,5,5,33.8,388,2025-07-01,GOSF,5,22.83,22.46,22.24,10.5,5.25,Princess Mika,6355,9.0
"",D,4,4,33.1,400,2025-06-20,GRDN,5,23.46,23.12,22.4,11.66,4.75,Ring You Back,754,13.0
"",D,7,7,32.9,400,2025-06-16,MAIT,5,23.37,22.57,22.15,5.62,11.5,Futsal,8787,19.0
5. Starlight Duke,D,2,6,30.4,400,2025-07-18,GRDN,5,23.24,23.2,23.0,,0.75,Barsando,612,101.0
"",D,2,7,30.2,400,2025-07-11,GRDN,5,23.39,23.24,22.74,11.38,2.0,It's A Tease,622,26.0
"",D,8,2,30.3,400,2025-07-04,GRDN,5,24.07,23.12,22.39,11.69,13.5,Northern Tiger,578,16.0
"",D,8,5,29.8,400,2025-06-30,MAIT,5,24.01,22.89,22.34,5.76,16.0,Tarawi Pringle,1178,41.0
"",D,4,3,30.0,400,2025-06-27,GRDN,5,23.47,23.36,22.62,11.23,1.5,Fascinate Jess,114,10.0
6. Good Odds Keona,B,3,8,29.3,400,2025-07-18,GRDN,5,23.25,23.2,23.0,,0.75,Barsando,833,3.8
"",B,2,3,29.4,400,2025-07-12,GRDN,5,23.09,23.06,22.91,11.32,0.5,Irinka Lindsay,612,1.8
"",B,2,2,30.0,400,2025-07-04,GRDN,5,23.18,23.18,22.39,11.34,0.031,Let's Trot Vixen,532,2.0
"",B,2,7,29.3,400,2025-06-27,GRDN,5,23.02,23.02,22.62,11.27,0.031,Past Tense,712,3.0
"",B,2,3,29.7,324,2025-05-15,RICS,5,18.13,17.98,17.65,7.2,2.0,Express Pearl,4322,1.25
7. Minter Mulwee,D,2,4,31.4,400,2025-07-18,GRDN,5,23.38,23.37,23.0,11.16,0.125,Stanley Rupert,512,6.5
"",D,1,5,31.5,400,2025-06-28,GRDN,M,23.17,23.17,22.77,11.1,1.25,Irinka Alex,111,8.5
8. TUMBY BAY,D,1,4,32.2,297,2025-07-17,DAPT,5,17.46,17.46,17.02,,2.75,Freed Desire,611,7.5
"",D,6,4,32.2,320,2025-07-13,RICH,5,18.67,18.26,18.01,2.27,5.75,Electric Blue,6686,31.0
"",D,6,7,31.9,401,2025-07-09,RICH,5,23.8,22.72,22.5,7.23,15.5,Zipping Ali,7776,41.0
"",D,6,5,31.4,400,2025-07-05,GRDN,5,23.51,22.87,22.64,11.61,9.25,Slick Sand,756,13.0
"",D,4,1,31.4,401,2025-07-02,RICH,5,23.25,23.04,22.88,6.89,3.0,Zipping Marquez,4334,23.0
9. SUSPECT,D,6,5,32.2,400,2025-07-19,GRDN,5,24.0,23.13,22.47,11.56,12.25,How High Spike,166,14.0
"",D,7,4,32.2,400,2025-06-28,GRDN,5,23.56,23.38,22.77,11.33,2.5,Maeve Baby,117,61.0
"",D,4,10,32.3,400,2025-06-21,GRDN,5,23.89,23.24,22.82,11.83,9.25,All About Archie,454,21.0
"",D,4,3,32.3,400,2025-06-11,GRDN,5,23.41,22.8,22.69,11.24,8.75,Make Your Stand,124,81.0
"",D,7,3,32.3,400,2025-06-06,GRDN,5,23.58,22.84,22.82,11.39,10.5,Cranky Cruiser,247,61.0
10. Slingshot Layla,B,6,1,27.8,297,2025-07-17,DAPT,M2/M3,18.34,17.24,17.02,,15.75,Nordic Shiraz,266,23.0
"",B,6,6,27.2,401,2025-07-13,RICH,M1/M2/M3,23.65,22.74,22.67,6.92,13.0,Tell Me Again,5666,101.0
"",B,6,1,27.4,320,2025-07-09,RICH,5,19.0,18.31,17.98,2.16,9.75,Wick's Bullet,7556,61.0
"",B,7,3,27.2,297,2025-06-26,DAPT,5,18.14,17.3,16.98,5.47,12.0,Raining Bourbon,577,71.0
"",B,7,6,27.0,320,2025-06-20,RICH,5,19.04,18.28,18.25,2.15,10.75,Batgirl,2227,81.0
