Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Here We Go,D,1,4,29.2,350,2025-07-12,QST,5,19.07,19.07,18.83,3.92,1.5,Electric Man,111,2.9
"",D,8,6,28.4,520,2025-06-30,QTT,5,30.93,30.42,30.2,5.19,7.25,GO SEEK IZRA,4888,6.0
"",D,2,2,28.3,520,2025-06-23,QTT,4/5,29.94,29.9,29.74,,0.75,MISS HAZEL,3222,5.5
"",D,6,5,28.7,520,2025-06-16,QTT,5,30.55,29.92,29.76,5.26,9.0,Mean Girl,4666,4.0
"",D,5,9,28.6,390,2025-05-30,QOT,OPEN,22.39,22.15,21.7,6.29,3.5,Super Leon,765,16.0
2. Turbo Tully,B,7,10,29.2,457,2025-07-08,QOT,5,26.17,25.4,25.2,4.51,11.0,Canya Dominate,7667,41.0
"",B,7,3,28.8,366,2025-07-02,CAPA,5,20.91,20.65,20.22,,3.75,East Coast,467,23.0
"",B,4,1,29.0,366,2025-06-29,CAPA,5,20.17,19.89,19.53,,4.0,Mr. O'Malley,634,9.5
"",B,3,8,29.0,366,2025-06-25,CAPA,5,20.46,19.99,19.99,,6.5,Miss Sara Jane,733,11.0
"",B,3,1,28.8,366,2025-06-18,CAPA,5,20.13,19.98,19.74,,2.0,Hara's Elsie,443,14.0
3. Bella Luna,B,5,3,27.8,331,2025-06-05,APTH,5,19.92,19.37,18.95,7.3,7.75,Sirius Max,25,23.0
"",B,7,4,28.1,352,2025-05-15,QOT,5,20.62,19.42,19.42,3.96,17.25,Juniper Rose,137,41.0
"",B,7,4,27.8,331,2025-05-11,APSU,5,20.25,19.3,18.87,7.48,13.5,Take A Breath,57,31.0
"",B,7,1,27.7,352,2025-04-24,QOT,5,20.88,19.7,19.48,4.14,16.75,Bad And Bertha,667,26.0
"",B,1,1,27.6,352,2025-04-15,QOT,6,20.31,20.31,19.94,4.01,0.5,BLACKPOOL KOLA,111,3.9
4. Anytime Romeo,D,5,8,30.3,350,2025-07-12,QST,5,19.67,19.56,18.83,4.1,1.5,Sleek Karma,645,6.5
"",D,7,8,30.5,350,2025-07-03,QST,5,20.22,19.54,19.46,4.11,9.75,On Holidays,777,19.0
"",D,6,8,30.5,450,2025-06-15,GRAF,4/5,25.99,25.43,25.08,9.33,8.0,Calypso Rogue,5666,71.0
"",D,5,1,30.5,352,2025-06-12,QOT,5,20.36,19.79,19.63,3.96,8.25,Bella Outlaw,875,26.0
"",D,5,3,30.4,520,2025-06-02,QTT,5,31.01,30.02,29.76,5.19,14.0,Shamrock Hayze,4455,101.0
6. Squeaky Carroll,D,8,7,32.8,390,2025-07-11,QOT,4/5,22.6,21.93,21.72,6.25,9.5,Titanium Blue,888,7.5
"",D,4,4,33.5,457,2025-06-21,QOT,5,25.93,25.4,25.4,4.44,7.5,Blocker Tiger,6664,10.0
"",D,5,2,33.6,366,2025-06-18,CAPA,4/5,19.92,19.74,19.74,,2.5,Ricochet Ripple,445,18.0
"",D,1,3,33.5,457,2025-06-14,QOT,5,25.85,25.85,25.26,4.45,0.5,Spring Oliver,5221,4.0
"",D,7,2,33.7,366,2025-06-08,CAPA,5,20.34,19.93,19.63,,5.75,Mr. O'Malley,657,8.5
7. Ellie's Lad,D,2,1,34.9,390,2025-07-11,QOT,5,21.97,21.87,21.72,5.92,1.5,FUELED UP,332,2.6
"",D,4,5,34.5,352,2025-06-25,QOT,5,20.15,19.77,19.59,4.05,5.25,Black Horse,354,6.0
"",D,5,3,34.0,390,2025-06-06,QOT,5,22.57,21.98,21.75,6.08,8.25,Grace Talks,265,9.5
"",D,4,5,34.1,395,2025-05-21,APWE,5,23.85,22.6,22.6,11.14,17.75,Rousey Hayze,54,7.5
"",D,2,8,34.3,395,2025-05-14,APWE,5,23.01,23.0,22.51,10.8,0.125,Brunswick Jet,12,6.5
8. Mojo Bone,D,1,2,35.0,350,2025-07-10,QST,5,19.62,19.62,19.15,4.11,1.0,Sonny Crockett,551,2.3
"",D,2,5,34.6,350,2025-07-03,QST,5,19.64,19.63,19.46,4.06,0.125,Lucora,222,3.1
"",D,2,1,34.6,350,2025-06-26,QST,5,19.23,19.06,18.87,3.99,2.25,Doongalla Pedro,112,11.0
"",D,3,1,34.9,457,2025-06-14,QOT,5,26.02,25.62,25.26,,5.75,Goldstar Sandler,3,13.0
"",D,5,8,35.2,390,2025-05-09,QOT,OPEN,22.14,21.74,21.6,6.21,5.75,Sapphire King,545,61.0
