Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Kim's Chance,B,8,3,29.1,400,2025-08-15,WAGA,4/5,23.48,22.7,22.7,,11.0,ELITE DOM,8,15.0
"",B,2,1,29.0,400,2025-08-08,WAGA,5,23.64,23.43,22.8,,3.0,Dana Zena,2,3.1
"",B,8,4,28.3,320,2025-08-01,WAGA,5,19.71,18.28,18.28,,20.25,In The Klondike,8,6.0
"",B,5,2,28.1,320,2025-07-25,WAGA,4/5,18.78,18.52,18.24,,3.75,Lucy Valentine,5,9.0
"",B,4,6,28.1,320,2025-07-18,WAGA,5,19.01,18.55,18.36,,6.5,ASTON NETWORK,4,8.5
2. Sammy The Bull,D,5,2,36.5,525,2025-08-15,WAGA,5,30.98,30.38,30.38,5.42,8.5,Merry Merriwa,5,41.0
"",D,6,5,36.3,400,2025-08-08,WAGA,5,24.01,23.43,22.8,,8.25,Dana Zena,6,19.0
"",D,5,1,35.3,320,2025-07-25,WAGA,5,19.04,18.67,18.24,,5.25,He's Wanted,5,3.0
"",D,2,8,35.2,320,2025-07-18,WAGA,5,18.94,18.82,18.36,,1.75,Sycamore Darnell,2,6.0
"",D,5,7,34.8,320,2025-07-14,WAGA,5,19.14,18.51,18.08,,9.0,Cartier Ace,5,5.5
3. For Real Faith,D,3,1,30.6,525,2025-08-15,WAGA,5,30.63,30.38,30.38,5.41,3.5,Merry Merriwa,3,4.4
"",D,3,8,30.4,525,2025-08-08,WAGA,5,30.87,30.7,30.7,5.33,2.25,Summer Faith,3,7.0
"",D,3,8,30.6,320,2025-08-01,WAGA,M2/M3,18.58,18.49,18.28,,1.25,Ponzi,3,10.0
"",D,5,1,30.4,520,2025-07-26,W/PK,M2/M3,30.29,29.63,29.29,5.62,9.25,Kangaroo Jack,2455,51.0
"",D,5,2,30.4,520,2025-07-12,W/PK,M2/M3,30.71,30.32,29.56,5.75,5.5,Freydis,2665,9.0
4. JOLLY OLLIE,D,6,7,29.6,500,2025-08-08,BEN,Grade 5,29.165,28.301,28.301,,13.0,REUBEN HILL,6,7.5
"",D,6,2,30.4,450,2025-07-28,SHE,Mixed 4/5,25.902,25.168,25.168,6.71525,11.0,LANKY LARRY,6,6.0
"",D,1,6,30.0,457,2025-07-23,TEMA,4/5,25.82,25.82,25.75,,3.75,Lone Shark,1,6.0
"",D,5,2,30.0,425,2025-07-18,BEN,Mixed 3/4,24.424,23.807,23.807,,9.25,ZIPPING GRYLLIS,5,26.0
"",D,6,8,29.9,457,2025-07-09,TEMA,4/5,26.36,25.79,25.73,,8.25,Son Of Bianca,6,9.1
6. Cochise Warrior,D,8,6,32.4,525,2025-08-15,WAGA,5,31.43,30.38,30.38,5.39,15.0,Merry Merriwa,8,23.0
"",D,3,1,32.7,400,2025-08-04,WAGA,4,23.43,22.95,22.94,,6.75,ASTON LAMBADA,3,2.6
"",D,3,4,32.6,400,2025-08-01,WAGA,5,23.5,23.17,22.63,,4.75,Slick Ivan,3,6.0
"",D,2,2,32.7,525,2025-07-25,WAGA,5,31.07,30.59,30.43,5.39,6.75,Summer Faith,2,3.8
"",D,4,4,32.6,520,2025-07-13,RICH,5,30.36,29.73,29.56,4.48,9.0,Zipping Balboa,23344,31.0
7. Let's Go Legend,D,4,8,29.2,457,2025-07-30,TEMA,4/5,25.95,25.74,25.74,,3.0,Tin Roof Rusty,4,7.0
"",D,1,8,29.2,400,2025-07-25,WAGA,NG1-4,23.21,23.21,23.21,,1.5,Westside Bliss,1,5.0
"",D,3,4,29.2,457,2025-07-16,TEMA,4/5,26.08,25.79,25.79,,4.25,Son Of Bianca,3,4.0
"",D,4,1,29.4,457,2025-07-09,TEMA,4/5,26.12,25.79,25.73,,4.75,Son Of Bianca,4,4.3
"",D,2,6,29.8,525,2025-06-27,WAGA,4/5,30.4,30.36,30.36,5.25,0.75,Ozzie Nick,2,5.0
8. Magic Eclipse,B,5,5,29.0,320,2025-08-15,WAGA,5,18.53,18.18,18.04,,5.0,Nugget Ned,5,23.0
"",B,8,9,28.7,525,2025-07-18,WAGA,5,31.31,30.56,30.56,5.42,10.5,Tango Anna,8,23.0
"",B,5,7,28.6,400,2025-06-13,WAGA,5,23.34,22.87,22.87,,6.5,Aunty Meeka,5,26.0
"",B,4,6,28.4,320,2025-06-09,WAGA,NG1-4,18.75,18.22,18.22,,7.5,Tiggerlong Bingo,4,101.0
"",B,3,2,28.1,320,2025-06-06,WAGA,5,18.77,18.62,18.28,,2.0,EIGHT OLD MATES,3,26.0
