Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. COUSIN JOHNNY,D,5,7,33.0,500,2025-08-06,BEN,Mixed 6/7,29.66,28.942,28.682,,10.75,MAGIC BULLSEYE,5,4.8
"",D,6,8,33.0,500,2025-07-30,BEN,Tier 3 - Restricted Win,28.898,28.29,28.29,,9.25,MAGIC LOKI,6,6.5
"",D,2,1,33.2,500,2025-07-23,BEN,Grade 7,28.626,28.434,28.341,,3.0,ANGELANI,2,8.0
"",D,7,5,33.6,425,2025-06-25,BEN,Tier 3 - Restricted Win,24.763,24.085,24.085,6.95875,10.25,Vixen Force,7,5.0
"",D,6,1,33.6,425,2025-06-20,BEN,Grade 7,24.795,23.851,23.851,6.9175,14.25,EXAGGERATOR,6,26.0
2. COPPERHEAD DASH,D,7,8,32.1,425,2025-08-13,BEN,Tier 3 - Grade 7,24.971,24.249,23.973,,11.0,THAI TIGER,7,5.0
"",D,5,6,31.6,425,2025-08-06,BEN,Grade 7,25.14,24.435,24.279,,10.75,ETHANOL VISION,5,4.2
"",D,4,5,31.0,425,2025-07-23,BEN,Grade 7,24.735,24.456,24.158,,4.25,Birdwood Franky,4,4.8
"",D,3,7,30.7,390,2025-07-17,SHE,Grade 7,22.854,22.775,22.297,8.78575,1.25,FRANCESCA ROSE,3,2.6
"",D,7,2,30.8,450,2025-07-08,BAL,Mixed 6/7,26.645,25.78,25.78,,13.0,MORNING,7,10.0
3. JULEA RUSLIE,B,5,4,24.9,400,2025-08-19,GEE,Mixed 6/7,23.552,23.173,22.619,8.90425,5.75,PAW CASSIAN,5,3.6
"",B,3,8,24.9,425,2025-08-13,BEN,Tier 3 - Grade 7,24.734,24.603,23.973,,2.0,CHILL OUT ROY,3,5.0
"",B,3,6,24.7,400,2025-08-09,GEE,Grade 7,23.444,23.376,22.742,9.0325,1.25,DALE'S CORNER,3,6.0
"",B,5,1,24.7,450,2025-07-26,BAL,Grade 7,26.35,26.046,25.699,6.9175,4.75,VALLETTA PEARL,5,12.0
"",B,7,2,24.6,390,2025-07-07,WAR,Mixed 6/7,22.928,22.01,22.01,,13.75,MAJOR ALLEN,7,16.0
4. DARK MIRACLE,D,2,5,33.2,425,2025-08-16,BEN,Grade 7,24.524,24.059,24.017,,7.0,WEAPONRY,2,15.0
"",D,6,7,33.2,595,2025-07-21,SAN,Restricted Win,35.527,34.797,34.366,9.6175,11.0,ALONE,6,7.0
"",D,6,6,33.4,525,2025-07-16,MEA,Mixed 6/7 Heat,31.13,29.974,29.974,,17.5,ROSS THE BOSS,6,21.0
"",D,4,8,33.3,525,2025-07-09,MEA,Grade 7,31.244,30.367,30.145,5.3835,13.25,JONI BLACK,4,11.0
"",D,4,7,33.5,500,2025-06-25,BEN,Tier 3 - Restricted Win,29.036,28.892,28.474,7.0475,2.25,INNER VISION,4,6.0
5. BANGKOK BEAUTY,B,6,5,25.4,460,2025-08-21,WAR,Mixed 6/7,26.661,26.374,25.894,,4.5,MIGHTY HEIGHTY,6,9.0
"",B,4,8,25.7,500,2025-08-16,BEN,Mixed 6/7,29.308,29.107,28.508,,3.0,SERRATED EDGE,4,4.2
