Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Kyoto,B,6,8,27.6,366,2025-06-29,CAPA,OPEN,19.84,19.61,19.53,,3.25,Bad Boy Wilson,326,5.5
"",B,3,8,27.6,366,2025-06-22,CAPA,OPEN,19.85,19.65,19.49,,2.75,Bad Boy Wilson,223,3.4
"",B,7,3,27.9,350,2025-06-08,GRAF,NG,20.66,20.07,19.57,4.19,8.25,WHAT HOPE,6677,9.5
"",B,2,5,27.8,366,2025-05-25,CAPA,4/5,19.83,19.75,19.63,,1.0,Rumble Tempest,212,1.9
"",B,1,8,27.8,366,2025-05-21,CAPA,5,19.85,19.85,19.68,,4.25,Goodness Baby,551,1.12
2. Any Art,B,5,4,27.9,366,2025-07-06,CAPA,5,20.18,19.85,19.61,,4.75,Someone's Idea,665,6.5
"",B,4,5,27.6,520,2025-04-05,IPSA,4/5,31.05,30.64,30.42,5.43,5.75,Pretty Cindy,744,7.0
"",B,5,4,27.7,520,2025-03-30,IPSU,OPEN,31.32,30.65,30.08,5.58,9.5,Say When Glen,85,8.5
"",B,2,4,27.4,520,2025-03-22,IPSA,OPEN,31.07,30.46,30.19,5.42,8.75,Stowaway,622,6.0
"",B,8,2,27.5,520,2025-03-13,APTH,5,34.09,30.54,29.81,5.76,50.5,FINNIS BALE,788,1.9
3. Idea's Girl,B,2,1,28.3,366,2025-07-06,CAPA,5,19.9,19.89,19.61,,0.125,Raffa,412,4.0
"",B,3,1,28.0,366,2025-06-29,CAPA,5,20.02,19.75,19.53,,3.75,Secret Story,633,7.0
"",B,1,1,27.9,366,2025-06-22,CAPA,5,19.89,19.89,19.49,,0.5,Morrisette,331,4.4
"",B,8,4,28.1,366,2025-06-15,CAPA,5,20.23,19.79,19.76,,6.25,Miss Sara Jane,458,9.5
"",B,8,5,27.5,395,2025-06-11,APWE,5,24.95,22.9,22.54,12.62,29.25,Another Idea,8,4.2
4. Barefoot Elsa,B,1,6,27.6,457,2025-06-28,QOT,4/5,25.49,25.49,25.34,4.36,0.25,Super Scrub,4441,5.0
"",B,1,4,27.2,457,2025-06-24,QOT,4/5,25.39,25.39,25.37,4.37,0.125,Super Leon,4221,3.0
"",B,7,6,27.3,457,2025-06-14,QOT,4/5,25.94,25.26,25.26,4.4,9.75,Goldstar Murphy,2677,3.9
"",B,8,6,27.2,457,2025-06-05,QOT,OPEN,25.8,25.34,25.34,4.92,6.5,Validate,8788,6.0
"",B,6,6,27.5,550,2025-05-29,QOT,OPEN,31.03,30.69,30.22,9.24,4.75,Daysea's Kurt,7776,3.5
5. Dreamer,B,7,4,25.9,457,2025-07-10,QOT,5,25.81,25.56,25.2,4.09,3.5,Calico Bluff,1167,4.6
"",B,1,3,25.7,390,2025-07-04,QOT,3/4,21.75,21.75,21.73,6.1,3.75,Goldstar Pearl,221,1.65
"",B,2,5,25.8,390,2025-06-27,QOT,3/4,21.82,21.68,21.65,6.15,2.0,Hara's Buddy,332,8.0
"",B,2,2,26.3,366,2025-06-15,CAPA,5,19.94,19.79,19.76,,2.0,Miss Sara Jane,542,5.0
"",B,3,5,26.3,366,2025-06-11,CAPA,5,20.31,19.94,19.92,,5.25,Miss Sara Jane,743,4.0
6. Lost Dragon,B,4,4,28.5,350,2025-07-10,QST,5,19.7,19.54,19.15,3.93,2.25,Indian Rupee,224,5.5
"",B,6,1,28.5,366,2025-07-06,CAPA,5,20.12,19.61,19.61,,7.25,Secret Story,116,34.0
"",B,2,3,28.3,366,2025-06-29,CAPA,5,19.99,19.81,19.53,,2.5,Casino Special,112,21.0
"",B,2,8,28.3,352,2025-06-25,QOT,5,20.43,20.28,19.59,3.99,2.0,Smooth Panther,232,3.8
"",B,4,2,28.5,457,2025-06-21,QOT,5,26.2,26.05,25.4,4.36,2.0,Nana Marie,2114,12.0
7. Daysea's Shelly,B,5,8,29.3,457,2025-06-05,QOT,4/5,25.82,25.36,25.34,4.37,6.5,Inconspicuous,3585,9.0
"",B,6,3,29.3,550,2025-05-29,QOT,OPEN,30.93,30.22,30.22,9.01,10.0,Tim Zoo,2356,15.0
"",B,1,3,29.2,457,2025-05-24,QOT,5,25.5,25.5,25.26,4.29,3.25,Annie's Gift,1111,3.9
"",B,2,7,29.2,457,2025-05-17,QOT,5,25.76,25.73,25.29,4.36,0.5,Casino Special,1232,6.5
"",B,5,2,29.0,457,2025-05-03,QOT,5,25.79,25.64,25.4,4.38,2.0,Sweetest Of All,655,9.5
8. Hara's Indiana,B,6,8,29.2,457,2025-07-03,QOT,5,25.97,25.42,25.42,4.49,7.75,Fire Me Up,7676,7.5
"",B,4,9,29.2,366,2025-06-29,CAPA,OPEN,19.77,19.61,19.53,,2.25,Bad Boy Wilson,644,6.0
"",B,5,4,29.0,366,2025-06-22,CAPA,OPEN,19.81,19.49,19.49,,4.5,Calico Bluff,555,7.5
"",B,1,5,28.8,366,2025-06-18,CAPA,5,19.82,19.82,19.74,,2.0,Becky Dutton,551,2.7
"",B,7,2,28.6,457,2025-06-05,QOT,5,26.02,25.49,25.34,4.53,7.5,Rupee Rebel,7887,2.7
9. Eastly Bloom,B,7,6,26.2,457,2025-06-21,QOT,5,26.53,25.68,25.4,4.29,12.25,Miss Amari,7687,2.9
"",B,6,6,26.0,366,2025-06-15,CAPA,5,20.21,19.79,19.76,,6.0,Miss Sara Jane,326,19.0
"",B,2,8,25.6,366,2025-06-08,CAPA,5,20.12,19.93,19.63,,2.5,Miss Sara Jane,212,3.3
"",B,1,4,25.7,366,2025-06-04,CAPA,5,20.3,20.3,19.99,,1.0,She's A Showgirl,741,3.2
"",B,3,5,26.2,366,2025-05-28,CAPA,5,20.32,19.76,19.76,,8.0,Tahitian Girl,733,18.0
10. Turbo Tully,B,7,10,29.2,457,2025-07-08,QOT,5,26.17,25.4,25.2,4.51,11.0,Canya Dominate,7667,41.0
"",B,7,3,28.8,366,2025-07-02,CAPA,5,20.91,20.65,20.22,,3.75,East Coast,467,23.0
"",B,4,1,29.0,366,2025-06-29,CAPA,5,20.17,19.89,19.53,,4.0,Mr. O'Malley,634,9.5
"",B,3,8,29.0,366,2025-06-25,CAPA,5,20.46,19.99,19.99,,6.5,Miss Sara Jane,733,11.0
"",B,3,1,28.8,366,2025-06-18,CAPA,5,20.13,19.98,19.74,,2.0,Hara's Elsie,443,14.0
