Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Sydney Surcharge,B,1,4,27.6,312,2025-08-17,DARW,3,18.06,18.06,18.06,7.16,1.0,Queen's Gamble,1,4.8
"",B,5,4,27.3,312,2025-08-10,DARW,3,18.57,18.08,17.99,,7.0,Aston Mystic,5,8.4
"",B,3,4,27.5,312,2025-08-03,DARW,3/4,18.7,18.55,17.97,,2.0,HAPPY INTENTION,3,2.1
"",B,6,4,27.3,537,2025-07-27,DARW,FFA,32.29,31.38,31.03,,13.0,Bull's Chance,6,24.8
"",B,3,1,27.3,383,2025-06-15,DARW,3/4,22.63,22.35,22.33,,4.0,SO NAIVE,3,2.0
2. SO NAIVE,B,8,7,25.0,383,2025-08-17,DARW,3/4,22.9,22.2,22.2,,10.0,Little Cath,8,7.2
"",B,2,4,24.6,383,2025-07-27,DARW,3/4,22.3,22.2,22.2,,1.5,Pursuit,2,5.9
"",B,1,1,24.8,312,2025-07-13,DARW,3/4,18.21,18.21,17.77,7.22,0.75,War Admiral,1,2.1
"",B,4,8,24.9,383,2025-07-09,DARW,2/3/4,22.41,22.1,22.1,,4.25,Blue Art,4,8.5
"",B,4,1,25.0,383,2025-07-06,DARW,OPEN,22.42,22.17,22.17,,3.5,Bull's Chance,4,6.4
4. Slippery Witch,B,2,5,26.2,312,2025-08-17,DARW,1/2,18.34,18.17,18.06,,2.25,LUKA MAGIC,2,21.5
"",B,3,8,26.1,312,2025-08-10,DARW,1/2,18.27,17.99,17.99,,4.0,Flip Your Fifty,3,11.5
"",B,5,1,26.7,383,2025-08-03,DARW,3/4,22.59,22.22,22.22,,5.25,BLUE MARGUERITE,5,6.5
"",B,6,4,26.9,537,2025-07-27,DARW,FFA,32.19,31.39,31.03,,11.5,Ace's Chance,6,18.3
"",B,4,2,26.6,537,2025-07-06,DARW,4/5,32.6,31.29,31.16,,18.5,Little Lockett,4,8.6
5. Northern Express,B,5,7,30.7,383,2025-06-25,DARW,5,22.66,22.31,21.62,,5.0,TANAYA,5,17.9
"",B,4,2,30.8,383,2025-05-28,DARW,4/5,22.95,22.36,22.28,,8.25,Kelmar Soxy,4,8.4
"",B,3,6,30.9,312,2025-05-14,DARW,3/4,18.48,18.15,17.8,,4.75,Pollinate,3,11.2
"",B,8,1,31.5,383,2025-04-16,DARW,5/M,23.05,22.41,22.41,,9.25,Canya Molly,8,15.8
"",B,5,2,31.4,383,2025-04-02,DARW,5,23.26,22.75,22.22,,7.25,Paris Icon,5,8.1
7. Infamous,B,2,8,24.6,383,2025-08-17,DARW,4/5,22.48,22.46,22.2,,0.25,Dirty Dancing,2,6.6
"",B,4,8,24.5,312,2025-08-10,DARW,3,18.32,18.08,17.99,,3.5,Aston Mystic,4,14.4
"",B,1,4,24.1,312,2025-08-03,DARW,4/5,18.34,18.34,17.97,7.21,0.5,Cheers Mick,1,1.8
"",B,2,2,24.1,312,2025-07-27,DARW,4,18.39,18.21,18.21,,2.5,HERE COMES FOXY,2,4.9
"",B,4,6,24.6,383,2025-07-13,DARW,5,22.6,22.26,21.92,,4.75,Brave Ember,4,4.0
8. Mum Said Yes,B,1,1,25.5,312,2025-08-17,DARW,4,18.18,18.18,18.06,7.22,0.75,BIRMINGHAM,1,9.4
"",B,1,1,25.2,312,2025-08-10,DARW,5/M,18.17,18.17,17.99,7.22,0.125,Zombie Boss,1,2.5
"",B,2,2,24.8,312,2025-08-06,DARW,4/5,18.73,18.49,17.82,,3.5,HAPPY INTENTION,2,7.4
"",B,5,5,24.7,312,2025-08-03,DARW,4/5,18.55,18.34,17.97,,3.0,Infamous,5,18.7
"",B,3,4,24.6,312,2025-07-23,DARW,4/5,18.4,18.14,18.07,,3.75,Canya Molly,3,6.5
