Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Dig Deep Rupee,B,8,3,27.1,350,2025-08-15,GOUL,5,21.22,20.13,19.81,,15.5,Queen Charlm,8688,2.0
"",B,4,2,27.3,350,2025-08-08,GOUL,5,20.26,20.03,19.63,,3.25,Runaway Ricky,2244,2.7
"",B,7,4,27.2,365,2025-08-04,NOWR,4/5,21.64,20.73,20.4,8.96,13.0,Luna Zeal,47,41.0
"",B,2,3,27.3,350,2025-08-01,GOUL,4/5,20.04,19.97,19.63,6.46,1.0,Mellcat Jess,1122,7.5
"",B,2,3,27.3,350,2025-07-25,GOUL,4/5,20.09,20.0,19.55,6.54,1.25,Ziggy Girl,1122,6.0
2. Westside Thunder,D,5,8,29.9,350,2025-08-08,GOUL,4/5,20.2,19.99,19.63,,3.0,All Calm,5355,10.0
"",D,2,7,29.4,320,2025-08-04,WAGA,NG1-4,18.57,18.39,18.28,,2.5,Talakai,2,8.5
"",D,7,8,29.2,330,2025-07-30,TEMA,4/5,19.39,18.74,18.74,,9.25,Fully Equipped,7,2.9
"",D,6,8,28.8,330,2025-07-23,TEMA,NG1-4,19.17,18.61,18.61,,8.0,Miss Fahrenheit,6,7.0
"",D,1,2,29.4,330,2025-07-09,TEMA,5,18.95,18.95,18.69,,0.125,Maestro Ethics,1,4.2
3. Boaz Elijah,D,8,6,32.2,350,2025-08-15,GOUL,5,20.95,19.81,19.81,,16.25,Spring Goolagong,5688,61.0
"",D,4,2,32.1,350,2025-08-01,GOUL,4/5,20.42,19.97,19.63,,6.25,Mellcat Jess,6344,51.0
"",D,7,7,32.5,350,2025-07-25,GOUL,4/5,20.56,20.0,19.55,,8.0,Ziggy Girl,5477,21.0
"",D,5,5,32.5,350,2025-07-18,GOUL,4/5,20.22,19.94,19.51,,4.0,Spring Gold,4355,26.0
"",D,1,1,32.9,350,2025-07-11,GOUL,5,20.38,20.38,20.11,,1.25,Cumbria Rich,4211,8.5
4. Miss Tess,B,2,7,30.4,365,2025-08-18,NOWR,4/5,20.7,20.68,20.46,8.53,0.25,Skedaddle Maple,122,5.5
"",B,4,4,30.3,365,2025-08-11,NOWR,5,20.83,20.54,20.46,8.62,4.25,Aussie Blend,34,6.0
"",B,6,5,30.4,320,2025-08-08,RICH,5,18.66,18.07,18.05,2.18,8.25,Sunnybrook,6636,8.0
"",B,7,8,30.6,350,2025-07-25,GOUL,NG1-4,20.74,19.68,19.55,,15.0,Travelling Gem,2577,16.0
"",B,4,2,30.2,350,2025-07-18,GOUL,NG1-4,19.95,19.51,19.51,,6.25,Travelling Gem,1344,8.5
5. Fire Scream,D,4,6,29.7,350,2025-08-15,GOUL,5,20.53,20.13,19.81,,5.75,Queen Charlm,5444,4.4
"",D,5,1,29.1,350,2025-08-01,GOUL,4/5,20.92,19.97,19.63,,13.5,Mellcat Jess,5555,5.5
"",D,3,1,29.5,350,2025-07-25,GOUL,4/5,20.21,20.0,19.55,,3.0,Ziggy Girl,3233,3.5
"",D,1,2,29.3,350,2025-07-18,GOUL,5,20.06,20.06,19.51,6.5,3.0,PAN LICKED,1111,2.8
"",D,7,7,29.8,350,2025-07-11,GOUL,5,20.86,20.23,20.11,,9.0,Mellcat Jess,4677,9.0
