Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Dish For Dash,B,6,1,26.8,457,2025-08-23,QOT,5,25.87,25.52,25.29,4.35,5.0,Moet Magic,3546,7.5
"",B,4,8,26.8,457,2025-08-19,QOT,4/5,25.94,25.76,25.13,4.34,2.5,Canya Atomic,3224,17.0
"",B,2,2,26.6,350,2025-08-14,QST,5,19.2,19.18,18.74,3.99,0.25,Kalina Pearl,422,6.0
"",B,2,2,26.8,390,2025-08-08,QOT,4/5,21.97,21.68,21.68,6.05,4.25,Ordell,222,5.0
"",B,2,8,26.2,390,2025-08-01,QOT,5,21.95,21.87,21.49,6.06,1.0,Hold The Gavel,222,6.0
2. Kooringa Trish,B,5,3,25.2,457,2025-05-03,QOT,5,25.9,25.68,25.4,4.39,3.0,Clean Cut,525,6.5
"",B,6,6,25.4,457,2025-04-26,QOT,5,26.0,25.75,25.48,4.51,3.5,Glastonbury Man,646,5.5
"",B,7,5,25.4,484,2025-04-17,CASO,NG,28.38,27.23,27.23,2.88,16.25,Mckeon,876777,21.0
"",B,1,2,25.2,457,2025-04-08,QOT,5,25.58,25.58,25.45,4.37,1.75,Astro Lee,1,2.0
"",B,5,2,25.4,520,2025-04-03,APTH,5,30.56,30.06,29.78,5.59,7.0,Professor Starr,125,6.5
3. Bush Bouquet,B,4,8,28.3,457,2025-08-12,QOT,5,25.78,25.39,25.27,4.41,5.5,Dreamer,4234,1.9
"",B,3,3,28.5,457,2025-08-05,QOT,5,25.85,25.77,25.38,4.35,1.0,Bathtub Splasher,2223,3.6
"",B,1,3,28.7,350,2025-07-28,QST,5,19.14,19.14,19.08,3.89,2.25,Kisses For Me,1111,2.7
"",B,6,5,28.3,457,2025-07-01,QOT,R/W,27.69,25.81,25.6,4.39,26.75,From A Distance,4566,5.5
"",B,4,3,28.6,457,2025-06-24,QOT,R/W,25.91,25.73,25.37,4.37,2.5,From A Distance,2334,3.6
4. Surf Size Queen,B,6,7,27.7,366,2025-08-03,CAPA,5,20.7,20.07,20.03,,9.0,RECONSTRUCTION,126,5.5
"",B,5,1,27.8,350,2025-07-28,QST,5,19.45,19.08,19.08,4.14,5.25,Federal Emeran,7655,9.0
"",B,7,7,28.2,300,2025-07-24,QST,5,16.99,16.78,16.75,6.61,3.0,I'M Fully Aware,47,4.2
"",B,6,7,28.2,457,2025-07-08,QOT,5,26.45,25.79,25.2,4.49,9.25,Spring Oliver,4446,3.6
"",B,2,4,28.2,350,2025-07-03,QST,5,19.56,19.46,19.46,3.96,1.5,Tahitian Girl,2,26.0
5. Oxidisation,B,2,8,28.3,390,2025-08-22,QOT,5,21.99,21.64,21.64,5.98,5.0,Tripper Art,122,2.15
"",B,7,3,28.2,350,2025-08-14,QST,OPEN,19.17,18.74,18.74,3.88,6.0,Darcy Dakota,227,26.0
"",B,2,5,28.0,350,2025-08-07,QST,OPEN,19.09,18.71,18.71,3.67,5.25,Darcy Dakota,122,14.0
"",B,4,7,27.9,350,2025-07-31,QST,5,19.3,19.17,19.09,3.91,1.75,Canya Romance,334,9.0
"",B,1,6,27.9,350,2025-07-25,QST,5,18.87,18.87,18.79,3.85,3.0,MISS HAZEL,111,3.1
6. Shevchenko Hayze,B,3,6,27.6,350,2025-07-28,QST,5,19.4,19.19,19.08,4.01,3.0,Marquee Player,3333,17.0
"",B,5,8,27.2,457,2025-07-01,QOT,5,26.25,25.64,25.6,4.4,8.75,Scenic Sundari,3445,8.0
"",B,5,2,26.8,520,2025-06-16,QTT,5,30.5,29.92,29.76,,8.25,Howdy Elise,5,4.2
"",B,6,4,26.8,520,2025-06-09,QTT,5,31.31,30.26,29.43,,15.0,See No Evil,5336,2.9
"",B,4,7,26.7,520,2025-06-02,QTT,5,30.45,29.9,29.76,5.4,7.75,Whiskey Service,8654,4.4
7. She's A Ladette,B,4,5,26.1,350,2025-08-21,QST,5,19.15,18.91,18.72,3.97,3.5,Give Me Bucks,334,6.5
"",B,6,4,25.9,457,2025-07-29,QOT,5,26.13,25.57,25.57,4.29,8.0,Summer Mouse,2336,17.0
"",B,1,4,25.6,390,2025-07-22,QOT,3/4,21.96,21.96,21.59,5.78,2.75,Swift Lionel,111,5.5
"",B,3,2,25.4,390,2025-07-14,QOT,FFA,22.1,21.9,21.53,5.99,2.75,Perky Penny,223,41.0
"",B,5,8,25.4,390,2025-07-11,QOT,FFA,22.51,21.77,21.72,6.04,10.5,Milo Davis,235,19.0
8. Indian Rupee,B,6,1,25.2,352,2025-08-13,QOT,1/2,20.02,19.35,19.35,3.95,9.5,Hope's Zone,556,7.0
"",B,3,8,25.0,457,2025-08-05,QOT,5,25.88,25.42,25.38,4.29,6.5,Blocker Tiger,113,2.6
"",B,2,3,24.7,457,2025-07-29,QOT,5,25.78,25.57,25.57,4.26,3.0,Summer Mouse,1122,6.0
"",B,3,8,24.7,390,2025-07-22,QOT,FFA,21.81,21.75,21.59,5.97,0.75,Milo Davis,113,7.5
"",B,3,4,25.0,300,2025-07-17,QST,5,16.6,16.56,16.56,6.47,0.75,Federal Emeran,13,6.0
9. Queen's Wharf,B,7,2,26.2,390,2025-08-15,QOT,P5,23.02,22.16,21.71,6.3,12.25,Bribie Town,487,14.0
"",B,8,6,26.4,300,2025-07-12,QST,5,17.25,16.69,16.69,6.76,8.0,Cash Handy,88,81.0
"",B,7,4,26.8,366,2025-06-18,CAPA,P5,20.62,20.36,19.74,,3.75,East Coast,117,23.0
"",B,4,2,26.6,366,2025-06-11,CAPA,P5,20.83,20.53,19.92,,4.25,East Coast,464,9.5
"",B,5,4,26.5,366,2025-06-08,CAPA,5,20.56,20.05,19.63,,7.25,Idea's Girl,365,41.0
10. Blue Serenade,B,8,7,25.0,350,2025-08-21,QST,5,19.57,18.87,18.72,3.97,10.0,Ringbark Larry,788,101.0
"",B,8,6,24.5,457,2025-07-17,QOT,5,26.57,25.53,25.18,4.33,14.75,Cody's Star,8888,101.0
"",B,7,8,24.6,352,2025-07-09,QOT,5,20.92,19.77,19.45,5.06,16.25,Tarawi Sushi,847,14.0
"",B,8,6,24.9,457,2025-07-01,QOT,5,26.55,25.64,25.6,4.39,13.0,Scenic Sundari,4328,41.0
"",B,2,6,25.3,395,2025-06-18,APWE,5,22.93,22.89,22.82,10.54,0.75,Destini Krystal,22,8.0
