Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Missy's Girl,B,7,4,28.1,320,2025-07-13,RICH,5,18.96,18.45,18.01,2.28,7.25,She's Our Joy,8877,16.0
"",B,5,1,28.9,320,2025-04-04,RICH,5,18.73,18.11,18.11,2.21,8.75,Lucifer's Bullet,6645,61.0
"",B,3,6,28.5,401,2025-03-12,RICH,5,23.43,23.36,22.65,6.99,1.0,Dance Around,3223,17.0
"",B,3,2,28.5,320,2025-03-07,RICH,5,18.84,18.02,18.02,2.27,11.75,Wild Terry,7733,23.0
"",B,1,1,28.4,401,2025-03-02,RICH,5,23.11,23.11,22.59,6.76,0.5,All Up Pete,3111,5.5
2. CANYA RAPID FIRE,D,6,6,34.9,320,2025-07-13,RICH,5,18.77,18.45,18.01,2.23,4.5,She's Our Joy,6666,10.0
"",D,2,3,34.4,320,2025-07-09,RICH,5,18.66,18.38,17.98,2.29,4.0,Kid Power,7732,5.5
"",D,6,3,34.2,401,2025-07-04,RICH,5,23.59,22.86,22.7,6.92,10.25,Unleash Shirley,6646,18.0
"",D,5,4,34.2,320,2025-06-29,RICH,5,18.6,18.35,18.18,2.29,3.5,My Bread Roll,6655,12.0
"",D,5,8,34.0,401,2025-06-25,RICH,5,23.48,23.1,22.97,7.0,5.25,Electric Blue,8865,4.0
3. Front End Loader,D,3,7,35.0,401,2025-07-16,RICH,5,23.2,23.05,22.72,6.83,2.0,James Alarm,3233,5.5
"",D,2,4,35.1,401,2025-07-13,RICH,5,22.95,22.67,22.67,6.85,4.0,Zipping Ali,4432,19.0
"",D,8,6,35.2,401,2025-06-22,RICH,5,24.82,23.01,22.45,6.97,25.75,Calla Tilly,5338,5.0
"",D,1,4,35.3,401,2025-06-18,RICH,M,23.02,23.02,22.71,6.83,1.75,Zipping Cluedo,2211,12.0
"",D,1,7,35.3,401,2025-06-11,RICH,M,23.17,23.17,22.59,6.9,3.0,Club Dozer,3221,11.0
4. PAW LONDON,B,3,8,27.2,401,2025-07-11,RICH,5,23.2,22.81,22.67,7.03,5.5,Unleash Shirley,7763,7.5
"",B,4,3,27.0,388,2025-07-08,GOSF,5,22.75,22.5,22.04,10.52,3.5,SELL YOUR SOUL,3544,3.0
"",B,2,5,27.1,401,2025-07-04,RICH,5,23.21,22.86,22.7,6.82,5.0,Unleash Shirley,2332,9.5
"",B,2,5,27.2,320,2025-06-29,RICH,5,18.34,18.21,18.18,2.15,1.75,My Machine,1122,9.0
"",B,1,3,26.7,401,2025-05-14,RICH,5,23.14,23.14,22.73,6.72,0.5,Infamous Statham,1111,4.4
5. Valverde,D,6,4,26.0,520,2025-07-09,RICH,5,31.42,29.7,29.7,4.53,24.5,Brax Keeping,14666,81.0
"",D,6,7,25.9,520,2025-07-02,RICH,MX,30.88,30.17,29.84,4.53,10.0,Sapphire Rupee,55666,61.0
"",D,6,4,25.7,401,2025-06-25,RICH,5,23.6,23.1,22.97,6.93,7.0,Electric Blue,5576,41.0
"",D,3,9,25.5,401,2025-06-18,RICH,5,23.67,22.71,22.71,6.96,13.75,Supreme Lady,4663,71.0
"",D,5,2,25.6,401,2025-06-13,RICH,5,23.6,23.03,22.8,7.14,8.25,Wraps,5665,51.0
6. Rogue Agent,B,5,6,25.6,401,2025-07-06,RICH,5,23.48,23.22,22.89,7.01,3.75,Pearl Of Maui,5555,9.5
"",B,5,4,25.2,401,2025-06-27,RICH,5,23.44,22.96,22.68,6.81,6.75,Zipping Clavell,1255,81.0
"",B,3,5,24.9,401,2025-06-20,RICH,5,23.72,23.62,22.6,7.02,1.5,Wicked Raven,3563,3.4
"",B,4,7,24.6,401,2025-06-13,RICH,5,23.47,23.03,22.8,7.01,6.25,Wraps,3544,11.0
"",B,6,8,24.3,401,2025-06-06,RICH,5,23.62,22.92,22.85,7.06,10.0,Golden Status,5786,4.8
7. Libby Keeping,B,5,1,26.7,520,2025-07-10,W/PK,5,30.18,29.61,29.54,5.43,8.25,Magpie Hector,1125,16.0
"",B,6,4,26.7,520,2025-07-03,W/PK,5,30.39,29.7,29.54,5.63,9.75,This Is Why,6556,14.0
