Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. So Irrelevant,D,6,6,25.3,320,2025-08-03,RICH,5,19.01,18.28,18.11,2.21,10.25,Glow Stick,4566,31.0
"",D,5,7,25.8,320,2025-07-23,RICH,5,18.96,18.59,18.28,2.27,5.25,Wicked Raven,7775,9.5
"",D,7,4,25.6,401,2025-07-20,RICH,5,23.64,22.99,22.78,7.24,9.25,By The Book,5877,23.0
"",D,3,2,25.8,320,2025-07-13,RICH,5,18.6,18.45,18.01,2.17,2.0,She's Our Joy,3333,6.0
"",D,4,5,25.6,320,2025-07-09,RICH,5,18.74,18.38,17.98,2.21,5.25,Kid Power,3344,3.2
2. Tatiana,B,7,3,28.9,324,2025-07-31,RICS,5,18.49,18.03,17.59,7.27,6.5,Cambo's Ethics,1577,81.0
"",B,5,7,28.9,320,2025-07-27,RICH,5,18.82,18.3,17.8,2.14,7.5,Go Go Spirit,1165,15.0
"",B,1,8,29.5,320,2025-07-18,RICH,5,18.57,18.57,18.16,2.14,1.5,Stumpy Jones,1121,2.7
"",B,6,3,29.7,401,2025-07-11,RICH,5,23.38,22.81,22.67,6.87,8.25,Unleash Shirley,4546,31.0
"",B,5,2,29.3,320,2025-06-29,RICH,5,18.92,18.21,18.18,2.16,10.0,My Machine,4475,14.0
3. Salsa Ethics,B,4,8,26.0,400,2025-08-01,GRDN,5,23.74,23.07,22.73,11.7,9.5,Flying Damiro,754,7.5
"",B,8,7,26.0,340,2025-07-23,GUNN,5,21.48,19.76,19.64,6.93,24.5,Bear Man,1788,5.5
"",B,8,7,26.0,400,2025-07-18,GRDN,5,24.25,23.37,23.0,11.38,12.5,Stanley Rupert,348,8.5
"",B,2,6,25.6,400,2025-07-11,GRDN,5,23.15,22.8,22.74,11.24,5.0,Past Tense,122,21.0
"",B,5,1,25.8,388,2025-07-08,GOSF,5,22.99,22.5,22.04,10.51,7.0,SELL YOUR SOUL,1455,5.0
4. Before The Dawn,B,4,8,25.5,401,2025-08-06,RICH,5,23.44,23.02,22.63,7.09,6.0,Trunkey Shearer,7764,1.8
"",B,2,4,25.3,320,2025-07-30,RICH,M,18.37,18.17,18.06,2.16,2.75,Back Tomorrow,1132,4.4
"",B,1,7,25.2,320,2025-07-23,RICH,M,18.36,18.36,18.28,2.15,2.5,Fantastic Wilma,1121,4.4
5. Meg's Charm,B,6,3,27.8,320,2025-08-01,RICH,5,18.97,18.46,18.36,2.12,7.25,Lilly Maree,1126,34.0
"",B,7,3,27.8,320,2025-06-11,RICH,5,19.8,18.3,18.15,2.25,21.25,Miss Goldie,5557,8.5
"",B,8,7,28.2,320,2025-06-02,RICH,5,19.05,18.27,18.21,2.31,11.0,UNACCEPTABLE AXE,6648,4.8
"",B,8,2,28.3,320,2025-05-21,RICH,5,18.93,18.03,18.03,2.2,12.75,All Calm,4448,26.0
"",B,1,5,28.0,320,2025-05-16,RICH,M,18.62,18.62,18.18,2.18,2.0,Erina Charm,2111,8.0
6. TORRENTIAL,B,4,4,27.9,350,2025-08-01,GOUL,5,20.27,19.85,19.63,,6.0,Lumeah Linda,7444,7.5
"",B,4,6,27.8,340,2025-07-29,BUL,5,19.62,19.5,19.14,3.54,1.75,Lydia Wave,7754,8.5
"",B,4,5,28.2,340,2025-07-22,BUL,5,19.61,19.03,18.96,3.46,8.25,Desi's Dream,5544,21.0
"",B,3,5,27.7,400,2025-04-11,WAR,Grade 5,22.966,22.863,22.363,8.52,1.75,ATHENIAN GODDESS,3,7.5
"",B,5,1,27.2,400,2025-03-28,WAR,Grade 5 No Penalty,23.168,22.746,22.334,,6.5,TINKER DOT,5,8.0
7. Motor City Hawk,D,5,5,31.3,431,2025-07-30,GUNN,5,25.37,24.75,24.75,11.58,8.75,Bandit Bugsy,5555,7.0
"",D,1,2,31.2,431,2025-07-23,GUNN,5,24.98,24.98,24.85,11.32,0.75,Very Best Buddy,1111,2.6
"",D,6,2,30.9,350,2025-07-11,GOUL,5,20.67,20.16,20.11,,7.25,Spring Graf,3466,17.0
"",D,5,7,31.2,431,2025-07-02,GUNN,5,25.7,24.63,24.59,11.51,15.25,Molly Miss,5355,6.5
"",D,2,4,30.5,400,2025-06-22,DUBO,5,23.49,23.32,22.54,9.39,2.25,Slippery Bogan,6322,4.0
8. Belle's Charm,B,3,1,29.3,320,2025-08-03,RICH,5,18.54,18.28,18.11,2.16,3.75,Glow Stick,3423,4.8
"",B,3,8,28.9,320,2025-07-27,RICH,5,18.69,18.29,17.8,2.24,5.75,Princess Mika,6623,4.4
"",B,4,1,29.1,320,2025-07-20,RICH,5,18.68,18.52,18.18,2.17,2.25,Avoca Madness,4424,2.7
"",B,6,2,28.9,320,2025-07-13,RICH,5,18.69,18.01,18.01,2.22,9.75,Hey Bubba Louie,7736,4.8
"",B,2,6,28.9,320,2025-07-06,RICH,5,18.54,18.36,18.2,2.2,2.5,Kid Power,4422,10.0
9. Harper O'Brien,B,6,3,27.9,320,2025-07-20,RICH,5,19.09,18.52,18.18,2.28,8.25,Avoca Madness,8876,12.0
"",B,8,6,28.5,320,2025-07-16,RICH,5,19.13,18.38,18.13,2.18,10.5,Valley Cash,4468,11.0
"",B,8,2,28.4,320,2025-07-13,RICH,5,18.87,18.26,18.01,2.19,8.75,Electric Blue,4468,8.5
"",B,4,2,28.2,320,2025-07-09,RICH,5,18.65,18.31,17.98,2.12,4.75,Wick's Bullet,3234,11.0
"",B,4,2,27.9,401,2025-07-06,RICH,5,23.41,23.22,22.89,6.88,2.5,Pearl Of Maui,4224,16.0
