Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Jupiter,D,2,6,31.7,380,2025-07-22,TVLE,4,21.71,21.69,21.69,7.51,0.25,Southpaw Mcgraw,2,9.5
"",D,1,8,31.4,380,2025-06-27,TVLE,M5,21.92,21.92,21.65,,0.75,Lush Ice,1,2.9
"",D,3,8,31.5,498,2025-06-24,TVLE,OPEN,28.9,28.63,28.56,,3.75,Federal Remark,3,19.0
"",D,3,5,31.4,498,2025-06-17,TVLE,4/5,29.34,29.18,28.52,,2.25,Maxwell Rhodes,3,11.0
"",D,4,7,31.0,380,2025-06-06,TVLE,M5,21.99,21.54,21.54,,6.25,DUNDEE PIPER,4,8.5
2. Southpaw Mcgraw,D,1,4,32.1,380,2025-07-22,TVLE,4,21.69,21.69,21.69,,0.25,Jupiter,1,2.9
"",D,2,2,31.3,380,2025-06-24,TVLE,4,21.92,21.8,21.69,,1.75,Billy Buttons,2,1.75
"",D,2,7,31.6,498,2025-06-17,TVLE,3/4,29.04,29.04,28.52,,0.031,Bar One Smokers,2,4.4
"",D,6,3,31.3,498,2025-06-10,TVLE,OPEN,29.21,28.63,28.39,,8.25,Solomon Cain,6,4.8
"",D,1,5,31.3,498,2025-06-03,TVLE,5/6,28.65,28.65,28.45,,1.5,Maxwell Rhodes,1,2.2
3. GIGANTOR,D,1,5,31.5,380,2025-07-22,TVLE,4/5,21.9,21.9,21.69,,0.75,Souvlaki George,1,4.2
"",D,4,8,32.2,380,2025-06-24,TVLE,4,21.98,21.7,21.69,,4.0,Table Topper,4,9.5
"",D,4,3,31.0,643,2025-03-04,TVLE,4/5,38.22,37.62,37.62,,8.5,Hidden Fury,4,2.9
"",D,2,1,31.1,498,2025-02-25,TVLE,3/4,29.14,28.97,28.83,,2.25,Farmor Fired Up,2,5.0
"",D,7,8,30.7,380,2025-02-18,TVLE,4,22.12,21.8,21.8,,4.5,Dulciphobia,7,3.4
4. Swing Shift,D,5,7,37.1,380,2025-07-22,TVLE,3/4,22.08,21.8,21.69,,4.0,Cuban Eight,5,5.0
