Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BLACK LICORICE,D,5,4,34.7,425,2025-08-13,BEN,Grade 5 T3,24.689,23.973,23.973,,10.75,REVITALISE,5,6.0
"",D,6,2,34.3,425,2025-07-19,BEN,Mixed 4/5,24.84,24.187,24.132,,9.75,LEONARDO ZEAL,6,4.2
"",D,4,3,34.2,450,2025-07-14,WAR,Grade 5,26.043,25.489,25.489,,8.5,LEKTRA JANE,4,4.6
"",D,2,7,34.5,450,2025-07-08,BAL,Grade 5,26.138,25.991,25.78,6.69,2.25,BERN'S BANJO,2,8.0
"",D,1,2,34.3,450,2025-06-30,WAR,Grade 5,25.773,25.773,25.55,6.64,0.25,PALDRON BALE,1,3.4
2. Destini Lorenzo,D,8,5,32.0,450,2025-08-14,SHE,Grade 5,26.202,25.571,25.571,,9.5,MONTANA ICON,8,8.0
"",D,3,4,32.1,450,2025-08-07,SHE,Grade 5 T3,26.485,26.441,26.109,,0.75,Star's Hope,3,5.5
"",D,3,7,32.4,450,2025-08-02,SHE,Grade 5,25.803,25.473,25.473,,5.0,RAPIDFIRE JAYDA,3,6.0
"",D,3,5,32.5,450,2025-07-24,SHE,Grade 5 T3,25.882,25.751,25.518,,2.0,GOT A SCAN,3,6.5
"",D,7,4,32.4,450,2025-07-14,BAL,Tier 3 - Restricted Win,26.645,25.77,25.77,,13.25,OFF THE BEER,7,5.0
3. FRANK GRIMES,D,6,5,37.2,425,2025-08-13,BEN,Grade 5 T3,24.917,24.29,23.973,,9.5,MOTIVATE,6,4.2
"",D,2,4,37.1,390,2025-07-28,BAL,Grade 5 T3,22.703,22.624,22.431,8.7665,1.25,BUCK SHINES,2,3.4
"",D,3,1,37.0,390,2025-07-24,SHE,Grade 5 T3,22.739,22.615,22.343,,2.0,GOLDEN LADY,3,2.8
"",D,1,8,37.1,390,2025-07-17,SHE,Grade 5,22.51,22.51,22.297,8.67,5.5,My Compass,1,3.2
"",D,6,5,36.7,350,2025-07-09,HEA,Grade 5,19.895,19.646,19.646,6.73875,3.75,BULLSEYE BOB,6,7.5
4. MORE BOOST RICO,D,4,1,34.5,390,2025-08-14,SHE,Grade 5,22.766,22.446,22.232,,5.0,FOXY JAY,4,7.0
"",D,3,5,34.5,400,2025-08-12,GEE,Grade 5,23.329,23.217,22.613,8.85175,1.75,Lady Replicas,3,2.6
"",D,7,3,34.9,350,2025-07-27,HEA,Grade 5,20.024,19.355,18.9,,10.0,WALTZING BRUTE,7,7.0
"",D,2,8,34.9,400,2025-07-22,GEE,Grade 5,22.806,22.707,22.604,,1.5,MADDY GIBLET,2,4.4
"",D,2,1,34.9,350,2025-07-18,HEA,Grade 5 T3,19.746,19.726,19.466,,0.5,DONEGAL EXPRESS,2,8.0
5. JARMON,B,4,5,27.4,425,2025-08-13,BEN,Grade 5 T3,24.669,23.973,23.973,,10.5,REVITALISE,4,10.0
"",B,3,6,27.7,390,2025-08-07,SHE,Grade 5 T3,22.814,22.632,22.632,,2.75,MIDNIGHT IN SALE,3,8.0
"",B,7,7,27.6,425,2025-07-11,BEN,Grade 5,24.695,23.908,23.858,,11.75,COLLINDA EXPRESS,7,6.5
"",B,1,4,27.5,425,2025-06-25,BEN,Grade 5 T3,24.558,24.558,24.085,,1.75,OUR LAST HOPE,1,8.0
"",B,7,7,27.4,390,2025-06-16,BAL,Grade 5 T3,23.495,22.786,22.501,8.645,10.75,Magpie Harry,7,10.0
