Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Lucky Blue Book,B,7,4,28.1,440,2025-08-15,GOUL,4/5,25.3,24.85,24.85,,6.25,Balmoral Queen,46777,4.4
"",B,1,1,27.8,440,2025-08-08,GOUL,5,24.78,24.78,24.78,5.72,3.75,Big Ted,11111,1.55
"",B,1,7,27.8,440,2025-08-01,GOUL,5,24.71,24.71,24.53,5.68,1.75,Big Ted,11211,1.35
"",B,2,6,27.5,440,2025-07-25,GOUL,4/5,24.79,24.71,24.6,,1.0,Tin Roof Rusty,24222,7.0
"",B,2,5,27.7,440,2025-05-23,GOUL,5,25.05,24.88,24.69,,2.25,Orson Jimmy,12522,2.15
2. Taw Major,D,5,8,33.7,520,2025-08-16,W/PK,5,30.31,29.88,29.66,5.55,6.0,Son Of Bianca,5565,2.4
"",D,4,7,33.8,520,2025-08-09,W/PK,5,30.36,30.0,29.56,5.45,5.25,Zipping Balboa,3144,2.8
"",D,1,8,33.6,520,2025-07-31,W/PK,4/5,29.8,29.8,29.67,5.47,5.5,Coast Rig,2121,3.5
"",D,3,4,33.9,520,2025-07-19,W/PK,5,29.92,29.73,29.37,5.47,2.5,Forged Iron,2343,2.9
"",D,1,4,33.7,520,2025-07-10,W/PK,5,29.6,29.6,29.54,5.48,5.25,Zipping Cluedo,2111,1.95
3. Mia Magnifico,B,6,6,25.2,622,2025-08-15,RICH,4/5,36.56,35.56,35.56,10.04,14.25,Alakazam,6876,34.0
"",B,3,1,26.0,720,2025-08-02,W/PK,NG,42.53,42.1,42.1,16.5,6.0,I'M Sally,2223,7.0
"",B,3,8,26.2,630,2025-07-28,NOWR,NG,36.72,36.0,36.0,10.73,10.25,Skedaddle Indi,6633,4.4
"",B,5,5,26.1,720,2025-07-26,W/PK,NG,42.16,41.85,41.85,16.28,4.25,Firethorn,2545,7.5
"",B,3,8,26.0,720,2025-07-19,W/PK,5,42.28,41.97,41.97,16.35,4.25,Suribachi,2233,5.0
4. Cool Story,D,6,7,34.3,520,2025-08-16,W/PK,4/5,30.15,29.8,29.66,5.62,5.0,Trunkey Chief,3476,34.0
"",D,2,8,34.3,622,2025-08-08,RICH,5,36.0,35.88,35.88,9.66,1.75,False Witness,3122,5.0
"",D,1,7,34.4,565,2025-08-04,MAIT,5,31.49,31.49,31.49,13.6,4.75,Curyo Dancer,1111,1.9
"",D,3,7,34.5,520,2025-08-02,W/PK,5,30.14,29.66,29.56,5.66,6.75,Saint Omagh,4333,8.0
"",D,6,7,33.8,720,2025-07-26,W/PK,NG,42.47,41.85,41.85,16.2,8.75,Firethorn,4366,41.0
5. Black Tiara,B,3,3,25.4,520,2025-08-18,NOWR,5,30.11,29.98,29.63,4.51,1.75,Zipping Angelica,743,7.0
"",B,3,6,25.4,520,2025-08-14,DAPT,5,30.06,29.78,29.49,5.61,4.0,Square Up,7433,26.0
"",B,4,4,25.4,520,2025-08-07,DAPT,4/5,30.52,30.03,29.96,5.61,7.0,Fancy Bella,7744,34.0
"",B,1,3,25.6,520,2025-07-31,DAPT,5,30.14,30.14,29.7,5.49,2.25,Dynamic Archer,4311,10.0
"",B,4,8,25.7,520,2025-07-28,NOWR,5,30.03,29.78,29.49,4.39,3.5,Blue Linkin,554,34.0
6. Dynamic Drummer,D,1,2,31.9,520,2025-08-14,DAPT,4/5,29.49,29.49,29.49,5.39,7.75,Royal Panama,1111,2.0
"",D,2,6,31.3,520,2025-08-07,DAPT,4/5,30.19,30.03,29.96,5.55,2.25,Fancy Bella,4522,2.5
"",D,1,8,31.4,600,2025-07-24,DAPT,5,34.25,34.25,34.25,9.47,5.75,Queen Linda,1111,1.35
"",D,1,7,31.4,600,2025-07-10,DAPT,4/5,34.43,34.43,34.43,9.33,6.5,Trunkey Chief,1111,3.2
"",D,7,8,31.3,520,2025-06-28,W/PK,5,30.91,29.73,29.48,5.63,16.75,UNLEASH IN MIAMI,5677,17.0
7. Santino Kade,D,4,8,33.7,622,2025-08-15,RICH,4/5,36.3,35.56,35.56,9.93,10.5,Alakazam,5454,6.0
"",D,1,7,33.7,520,2025-08-09,W/PK,5,30.07,30.07,29.56,5.61,4.25,Destroying,2311,3.2
"",D,3,7,33.7,520,2025-08-02,W/PK,5,29.9,29.72,29.56,5.57,2.5,LEONI BALE,4453,4.2
"",D,4,1,33.8,520,2025-07-26,W/PK,5,30.04,29.66,29.29,5.68,5.25,Skedaddle Arlo,6654,2.25
"",D,4,7,33.5,520,2025-07-17,W/PK,NG1-4,30.55,30.02,29.63,5.61,7.5,Both Bowers Ace,2464,4.0
8. Elizabeth Fire,B,3,7,27.2,450,2025-08-03,GRAF,4/5,25.63,25.25,25.25,9.16,5.25,I'M WHAT'S NEXT,1453,6.0
"",B,5,5,26.8,525,2025-07-30,TARE,NG,30.6,30.2,30.2,3.97,5.75,Apache Tiger,2365,23.0
"",B,2,1,26.9,525,2025-07-23,TARE,NG,30.49,30.12,30.09,4.02,5.25,Spritely Sian,3442,4.8
"",B,5,2,26.8,550,2025-07-03,QOT,5,31.15,30.65,30.65,9.19,7.0,Plum Tuckered,5555,7.0
"",B,7,1,27.2,710,2025-06-26,QTT,OPEN,42.35,41.51,41.24,4.6,12.0,LADY WILSON,1137,13.0
