Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Fascinate Jess,B,7,3,26.6,515,2025-08-16,GRDN,5,30.45,29.96,29.72,5.12,7.0,Kunda,2567,16.5
"",B,4,3,26.5,515,2025-08-09,GRDN,5,30.34,29.93,29.76,5.18,5.75,She's Grooving,3444,34.0
"",B,3,7,26.0,400,2025-08-01,GRDN,5,23.44,23.15,22.73,11.45,4.25,Barsando,143,26.0
"",B,6,7,26.0,400,2025-07-26,GRDN,5,23.88,23.19,22.76,11.34,9.75,My Cupcake,646,34.0
"",B,3,5,26.4,388,2025-07-01,GOSF,5,22.99,22.9,22.24,,1.25,Nukkunya,4443,10.0
2. Hectic Blue,B,7,3,24.4,400,2025-08-15,GRDN,5,23.9,23.1,22.72,11.9,11.5,It's A Rage,277,26.0
"",B,4,6,24.8,340,2025-07-30,GUNN,5,20.26,19.69,19.55,6.71,8.25,Bold Jet,5444,51.0
"",B,3,4,24.7,340,2025-07-23,GUNN,5,20.43,19.71,19.64,6.84,10.25,Audition Day,4233,9.5
"",B,6,1,24.6,527,2025-07-09,GUNN,5,31.62,30.55,30.55,3.6,15.25,Another Julia,4366,34.0
"",B,7,8,24.2,515,2025-07-05,GRDN,5,31.1,30.02,29.61,5.11,15.5,Panda Unleashed,2277,21.0
3. She's Blissful,B,1,1,26.4,400,2025-08-15,GRDN,5,22.72,22.72,22.72,11.04,0.5,Wreck It Rex,111,1.5
"",B,4,3,26.4,400,2025-08-08,GRDN,5,23.48,23.19,22.61,11.67,4.25,Housie Bob,554,3.2
"",B,1,3,26.4,400,2025-08-01,GRDN,5,22.9,22.9,22.73,11.21,2.25,Occulent,511,3.9
"",B,4,2,26.3,400,2025-07-18,GRDN,5,23.61,23.37,23.0,11.48,3.5,Stanley Rupert,854,1.8
"",B,1,1,26.2,400,2025-07-11,GRDN,M,22.78,22.78,22.74,11.05,10.0,Fascinate Samuel,111,3.7
4. Breakaway Zipper,B,1,5,29.3,400,2025-08-15,GRDN,M,23.45,23.45,22.72,11.51,0.125,She's A Angel,61,2.0
"",B,3,2,29.2,400,2025-08-09,GRDN,M,23.28,22.71,22.71,11.42,8.25,Under Anesthetic,233,2.8
5. Blazing Blue Ice,D,1,1,29.2,400,2025-08-08,GRDN,5,23.28,23.28,22.61,11.35,1.5,Sattler Lane,631,2.9
