Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Aston Katy,B,2,4,24.9,512,2025-07-20,MT/G,6,30.59,30.47,30.02,4.61,1.75,Magic Nancy,2,4.4
"",B,6,8,24.6,400,2025-07-13,MT/G,6,24.1,23.54,23.17,11.47,8.0,BUSTING,6,7.0
"",B,3,1,25.0,390,2025-07-07,WAR,Grade 5,22.988,22.427,22.01,,8.5,AERO EXPRESS,3,8.0
"",B,7,2,24.8,390,2025-06-26,WAR,Restricted Win,22.835,22.278,21.771,,8.5,Lektra Bills,7,12.0
"",B,8,2,25.1,450,2025-06-14,BAL,Grade 5,26.393,25.769,25.721,6.9485,9.5,BLACK STATESMAN,8,8.0
2. Dash Express,D,5,6,33.0,485,2025-07-22,HOR,Mixed 4/5,27.789,27.523,27.523,6.83,4.0,HOLDEN BALE,5,12.0
"",D,3,1,32.8,525,2025-07-16,MEA,Grade 5,30.399,30.149,29.974,,3.75,IVORY NARWHAL,3,4.0
"",D,3,5,33.0,450,2025-07-07,SHE,Grade 5 Final,25.544,25.21,25.078,,5.0,Cookie Man,3,91.0
"",D,3,7,33.0,450,2025-06-30,SHE,Grade 5 Heat,25.439,25.168,25.168,6.7365,4.25,Solicit,3,26.0
"",D,6,2,33.1,485,2025-06-17,HOR,Mixed 3/4,27.841,27.4,27.4,,6.75,White Crest,6,7.5
3. Lala Rapid,D,5,5,43.5,485,2025-07-22,HOR,Grade 5,28.215,27.96,27.523,,4.0,HEAD FOR HOME,5,10.0
"",D,4,5,42.6,485,2025-07-15,HOR,Grade 5,27.806,27.329,27.166,,7.25,BABY GIRL PEARL,4,12.0
"",D,2,5,42.6,485,2025-07-07,HOR,Grade 5,27.64,27.498,27.221,8.0255,2.25,DELICIOUS,2,9.0
"",D,4,4,42.6,485,2025-06-17,HOR,Grade 5,27.855,27.758,27.4,,1.5,WEBLEC MARQUISE,4,12.0
"",D,3,2,43.1,450,2025-06-02,WAR,Grade 5,26.254,25.55,25.55,6.9575,10.75,Bismuth,3,4.8
4. HYPERSPACE,B,2,8,29.5,485,2025-07-22,HOR,Grade 5,28.075,27.831,27.523,6.83175,3.75,SPICY LA VIDA,2,10.0
"",B,3,1,29.4,485,2025-07-15,HOR,Restricted Win Final,27.725,27.166,27.166,,8.5,SETTLE FOR LESS,3,8.0
"",B,4,8,29.7,485,2025-07-07,HOR,Restricted Win Heat,27.634,27.341,27.221,,4.5,Capybara,4,8.0
"",B,7,2,29.6,500,2025-06-27,BEN,Grade 5,28.685,28.216,28.107,,7.0,JILL'S JULIETTE,7,12.0
"",B,5,4,29.5,485,2025-06-10,HOR,Restricted Win Final,28.026,27.771,27.689,,4.0,PAW QUEBEC,5,4.6
5. FALLON BALE,D,2,4,29.2,450,2025-07-24,WAR,Grade 5,25.966,25.603,25.12,,5.5,SAINT MICK,2,4.6
"",D,1,1,29.3,450,2025-07-21,WAR,Grade 5,25.532,25.532,25.532,6.74,2.75,KING BRUNO,1,3.6
"",D,2,3,29.6,450,2025-07-14,WAR,Grade 5,25.756,25.567,25.489,,3.0,PAW MADDOX,2,4.2
"",D,8,9,29.8,450,2025-07-08,BAL,Grade 5,26.354,25.824,25.78,6.9275,8.0,THAT'S A BOODIE,8,21.0
"",D,6,4,29.7,410,2025-06-24,HOR,Grade 5,24.008,23.418,23.283,,9.0,PAW ILLABO,6,21.0
6. All Gold,D,1,2,33.3,410,2025-07-22,HOR,Mixed 6/7,23.762,23.762,23.314,10.9295,1.5,RESTRICTING,1,12.0
"",D,5,5,33.1,500,2025-07-18,BEN,Mixed 6/7,29.001,28.428,28.114,,8.75,MEASUREMENT,5,12.0
"",D,3,8,32.8,410,2025-07-15,HOR,Grade 6,23.753,23.641,23.265,10.73,1.75,Lektra Bert,3,10.0
"",D,2,1,33.4,410,2025-07-07,HOR,Mixed 6/7,23.525,23.5,23.001,,0.5,RUSTIC DUNDEE,2,3.6
"",D,7,3,33.5,500,2025-07-02,BEN,Mixed 6/7,29.485,29.102,28.498,,5.75,ANOTHER FIFTY,7,4.2
7. Top Cadillac,D,1,1,33.1,512,2025-07-24,MT/G,TG5+W,30.36,30.36,30.36,4.56,2.25,Compton Rocky,1,1.6
"",D,4,3,33.0,600,2025-07-20,MT/G,OPEN,36.06,35.25,35.25,9.28,11.5,Time To Fire,4,21.0
"",D,2,2,33.0,512,2025-07-13,MT/G,3/4/5,30.34,30.33,30.07,4.63,0.125,Moscow Chick,2,6.0
"",D,2,2,32.7,512,2025-07-03,MT/G,TG5+W,30.47,30.29,29.89,4.56,2.5,Cadillac Patch,33422,4.0
"",D,6,1,32.9,512,2025-06-22,MT/G,2/3/4,30.76,29.56,29.56,4.57,17.25,High Cube,6,8.0
8. SAINT TAY,D,4,8,28.3,485,2025-07-22,HOR,Grade 5,28.165,27.96,27.523,,3.25,HEAD FOR HOME,4,21.0
"",D,4,2,28.8,450,2025-07-17,WAR,Grade 5,25.967,25.506,25.151,,7.0,DELICIOUS,4,16.0
"",D,7,6,28.3,450,2025-07-10,WAR,Grade 5,26.18,25.844,25.354,,5.25,AMRON BOBBY,7,10.0
"",D,3,4,28.7,485,2025-07-07,HOR,Grade 5,27.704,27.498,27.221,8.015,3.25,DELICIOUS,3,4.6
"",D,1,2,28.7,450,2025-07-01,BAL,Grade 5,25.79,25.79,25.647,6.73875,0.25,NICKY BOO BOO,1,8.0
