Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. IMPALA BALE,D,4,8,32.6,297,2025-08-04,NOR,5,17.84,17.53,16.87,,4.25,Bro Brann,654,11.0
"",D,1,3,32.4,297,2025-07-28,NOR,LS6,17.46,17.46,17.03,,2.75,Power Forward,311,2.5
"",D,2,7,32.4,297,2025-07-21,NOR,LS6,17.73,17.49,16.97,,3.5,Flying Goldwing,422,1.9
"",D,3,8,32.5,297,2025-07-14,NOR,6,17.85,17.51,17.14,,4.75,Aussie Trickster,333,3.2
"",D,2,6,32.4,297,2025-07-07,NOR,6,17.56,17.4,17.06,,2.25,Happy Heels,442,3.4
2. Rocking Roma,B,5,1,29.7,297,2025-07-28,NOR,5,17.91,17.46,17.03,,6.25,Dolly Dotty,355,2.75
"",B,2,4,29.6,297,2025-07-21,NOR,5,17.5,17.42,16.97,,1.0,Beer Thanks,222,3.7
"",B,3,8,29.5,297,2025-07-14,NOR,5,17.52,17.33,17.14,,2.5,Trunkey Rebel,123,5.5
"",B,2,8,29.2,297,2025-06-30,NOR,5,17.57,17.47,16.99,,1.5,Silvertree Meg,222,3.1
"",B,5,6,29.0,297,2025-06-23,NOR,5,17.74,17.27,17.21,,6.5,Cupid's Dream,455,3.0
3. Comanche Tom,D,2,2,31.8,297,2025-08-04,NOR,5,17.61,17.53,16.87,,1.0,Bro Brann,212,4.4
"",D,1,7,32.1,297,2025-07-28,NOR,6,17.52,17.52,17.03,,2.75,Pumbaa Smith,211,1.45
"",D,2,5,31.8,297,2025-07-21,NOR,6,17.47,17.34,16.97,,1.75,Charos Noble,222,1.55
"",D,4,2,32.4,297,2025-07-14,NOR,5,18.0,17.44,17.14,,8.0,Glow Girl,344,2.8
"",D,2,5,32.4,297,2025-06-30,NOR,5,17.42,16.99,16.99,,6.0,Boiler Maker,222,5.0
4. Grandad Kevin,D,1,6,31.0,297,2025-08-04,NOR,NOV,17.67,17.67,16.87,,0.031,Shinboner Fiesty,321,5.5
"",D,6,3,31.5,297,2025-07-21,NOR,NOV,18.1,18.0,16.97,,1.5,Weno George,676,7.0
"",D,5,6,31.6,297,2025-07-07,NOR,NOV,18.2,17.88,17.06,,4.5,Shinboner Axel,765,6.5
"",D,7,2,31.5,297,2025-06-23,NOR,NOV,18.08,17.39,17.21,,9.75,Ita Keeping,577,9.5
"",D,7,3,31.7,400,2025-06-19,MAND,NOV,23.65,22.93,22.54,6.57,10.25,Little Abba,467,23.0
5. Warrego Rose,B,6,8,27.2,275,2025-08-06,CANN,5,16.7,16.09,16.09,5.78,8.75,Frankies Girl,646,7.0
"",B,8,7,27.1,300,2025-07-08,MAND,4/5,17.62,17.21,17.21,6.79,5.75,Send It Tyler,58,9.0
"",B,2,2,27.0,300,2025-07-01,MAND,5/6,17.5,17.22,17.2,6.73,4.0,Chasing The Ace,22,1.8
"",B,1,6,26.9,300,2025-06-24,MAND,5/6,17.52,17.52,17.27,6.78,0.125,Chasing The Ace,41,2.5
"",B,4,6,27.0,300,2025-06-17,MAND,5/6,17.67,17.41,17.07,6.81,3.75,Ginny Riggs,34,3.5
6. Arctic Crop,B,1,3,25.9,297,2025-08-04,NOR,6,17.54,17.54,16.87,,4.25,Good As Hell,111,2.15
"",B,8,6,24.9,400,2025-07-25,MAND,5,23.27,22.69,22.19,6.56,8.25,Paterson Road,888,101.0
"",B,2,2,25.8,509,2025-07-07,NOR,4/5/6,30.07,29.96,28.93,5.89,1.5,Cyclonic Ashley,11112,11.0
"",B,6,6,25.8,381,2025-06-28,CANN,5,22.24,21.87,21.87,6.69,5.25,Dancing Dennis,4456,34.0
"",B,4,2,26.0,381,2025-06-21,CANN,5,22.32,22.04,22.04,6.69,4.0,ASTON MADDOX,5734,23.0
7. Chord Rhythm,D,5,3,33.1,275,2025-08-06,CANN,5,16.68,16.09,16.09,5.82,8.25,Frankies Girl,765,15.0
"",D,2,2,33.0,275,2025-07-30,CANN,5,16.56,16.18,16.04,5.74,5.25,Predator Gundi,742,10.0
"",D,1,3,33.1,300,2025-07-08,MAND,NOV,17.39,17.39,17.21,6.79,0.75,Golden Handcuffs,21,1.9
"",D,2,5,33.1,300,2025-07-01,MAND,NOV,17.36,17.2,17.2,6.75,2.25,Paradise Flyer,22,5.5
"",D,2,1,33.1,300,2025-06-24,MAND,NOV,17.37,17.27,17.27,6.74,1.5,Pride And Power,32,7.0
8. Kingsbrae Extra,B,3,4,27.3,297,2025-08-04,NOR,5,17.78,17.53,16.87,,3.5,Bro Brann,133,10.0
"",B,2,5,27.2,297,2025-07-28,NOR,5,17.69,17.46,17.03,,3.25,Dolly Dotty,222,18.0
"",B,3,7,27.4,297,2025-07-21,NOR,5,17.6,17.42,16.97,,2.5,Beer Thanks,333,41.0
"",B,3,3,27.5,297,2025-07-14,NOR,5,17.82,17.44,17.14,,5.25,Glow Girl,633,20.0
"",B,5,3,27.0,297,2025-07-07,NOR,5,17.67,17.27,17.06,,5.75,Ita Keeping,655,11.0
9. Flying Goldwing,B,8,6,26.7,275,2025-08-06,CANN,5,16.91,16.09,16.09,5.68,11.75,Frankies Girl,388,18.0
"",B,8,7,26.5,275,2025-07-30,CANN,5,16.73,16.18,16.04,5.69,7.75,Predator Gundi,688,26.0
"",B,1,4,26.6,297,2025-07-21,NOR,LS6,17.49,17.49,16.97,,3.5,IMPALA BALE,111,2.65
"",B,4,8,26.8,297,2025-07-14,NOR,6,17.94,17.66,17.14,,4.0,Forever Seven,554,12.0
"",B,6,4,27.0,297,2025-07-07,NOR,6,18.15,17.39,17.06,,10.75,Sivo Keeping,776,8.5
