Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. UPPER'S FLYER,D,5,2,32.2,330,2025-06-25,TEMA,5,19.69,19.01,18.92,,9.75,Dark Law,5,9.0
"",D,4,4,31.4,320,2025-06-20,WAGA,5,18.85,18.55,18.4,,4.25,Potent Cartier,4,11.0
"",D,4,3,32.2,320,2025-06-16,WAGA,4,18.95,18.64,18.31,,4.25,Dana Pauline,4,7.0
"",D,1,7,32.4,320,2025-06-09,WAGA,5,18.87,18.87,18.22,,3.75,Angel's Emma,1,2.6
"",D,6,7,31.5,375,2025-04-20,BKHL,4/5,22.8,22.26,21.79,,7.75,Little Miss Ella,6,7.5
2. Magpie Kennedy,D,6,6,33.4,440,2025-05-30,GOUL,5,25.64,25.28,24.55,,5.25,Wild Angela,44666,14.0
"",D,7,5,33.4,440,2025-05-23,GOUL,5,25.65,24.81,24.69,,12.0,Clattered,77687,8.0
"",D,1,2,32.9,440,2025-05-16,GOUL,5,25.14,25.14,24.47,5.69,0.25,Killer Forge,31111,2.9
"",D,6,8,32.4,440,2025-05-02,GOUL,4/5,25.31,24.17,24.17,,16.25,Nangar Lady,36666,61.0
"",D,5,4,32.6,440,2025-04-25,GOUL,4/5,24.84,24.65,24.62,,2.5,Combatant,66555,51.0
3. Harry Confetti,D,7,7,32.1,330,2025-06-25,TEMA,4/5,19.77,19.0,18.92,,11.0,Trixie's Chance,7,71.0
"",D,6,2,32.0,320,2025-06-20,WAGA,4/5,18.92,18.41,18.4,,7.25,Tiny Bianca,6,81.0
"",D,3,2,32.0,320,2025-06-16,WAGA,5,18.91,18.76,18.31,,2.0,Kiando Brooklyn,3,3.2
"",D,5,5,32.2,320,2025-06-09,WAGA,5,19.21,18.52,18.22,,9.75,All Things Go,5,23.0
"",D,7,1,32.1,320,2025-05-30,WAGA,4/5,18.9,18.41,18.07,,7.0,Ponzi,7,34.0
4. Jomon,B,4,1,25.3,400,2025-06-27,WAGA,4/5,23.59,22.8,22.8,,11.25,Rowan,4,9.0
"",B,3,3,25.4,400,2025-06-20,WAGA,4/5,23.26,22.82,22.82,,6.25,Rowan,3,23.0
"",B,3,2,25.5,400,2025-06-13,WAGA,5,23.49,23.16,22.87,,4.75,Rowan,3,26.0
"",B,6,1,25.4,297,2025-05-29,DAPT,5,17.74,17.2,17.0,5.46,7.75,Black Bear,366,6.5
"",B,6,5,25.4,525,2025-05-16,WAGA,5,31.17,30.41,30.27,5.3,10.75,ELITE DOM,6,41.0
5. Sasha Keeping,B,5,8,23.3,330,2025-06-25,TEMA,4/5,19.38,19.0,18.92,,5.25,Trixie's Chance,5,5.5
"",B,7,6,23.4,320,2025-06-20,WAGA,5,19.26,18.55,18.4,,10.0,Potent Cartier,7,3.1
"",B,1,2,23.2,330,2025-06-18,TEMA,5,19.0,19.0,18.72,,2.5,CAPALA,1,6.0
"",B,4,5,22.8,320,2025-06-06,WAGA,5,19.01,18.93,18.28,,1.0,Impress Rousey,4,4.2
"",B,8,4,23.3,330,2025-05-28,TEMA,5,19.87,19.2,18.79,,9.5,Yori Bale,8,11.8
6. Magical Ethics,B,1,1,25.5,300,2025-06-28,TARE,5,17.79,17.79,17.33,6.56,0.125,Kingston Violet,111,4.2
"",B,3,8,25.0,300,2025-06-21,TARE,5,18.13,17.8,17.37,6.65,4.75,Red Jenny,333,3.4
"",B,7,8,26.7,340,2024-09-03,BUL,4/5,21.03,19.12,19.12,3.48,27.25,Lady Luella,7777,11.0
"",B,8,3,26.0,340,2024-08-13,BUL,5,21.2,19.29,18.8,3.36,27.25,Cheeky Charli,5588,3.3
"",B,3,2,26.2,400,2024-08-06,BUL,5,22.75,22.66,22.46,6.59,1.25,Brilliant Light,1223,19.0
7. Stagger Out Elly,B,2,8,28.5,330,2024-07-21,TEMA,5,19.66,19.44,18.73,,3.0,Reefton Bluebell,2,2.6
"",B,5,6,28.6,320,2024-07-15,WAGA,3/4,19.0,18.5,18.17,,7.0,Rogue Izmir,5,11.0
"",B,6,2,28.5,320,2024-07-08,WAGA,M1/M2/M3,19.02,18.58,18.45,,6.25,Lightning Fiamma,6,16.0
"",B,7,4,28.6,400,2024-05-10,WAGA,4/5,23.85,23.29,22.91,,8.0,Olive Bale,7,19.0
"",B,8,3,28.6,400,2024-05-03,WAGA,5,24.0,22.85,22.69,,16.25,Let's Go Legend,8,16.0
8. Fully Equipped,D,5,7,32.3,330,2025-06-18,TEMA,5,19.2,19.06,18.72,,2.0,Dana Billy,5,4.4
