Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Hartley Bale,D,3,8,31.1,530,2025-06-26,AP/K,I,31.05,30.77,30.01,5.39,4.0,Royal Nangar,33333,16.0
"",D,4,7,31.1,530,2025-06-19,AP/K,I,31.19,30.76,30.18,5.4,6.0,Okay Boomer,55444,19.0
"",D,2,1,31.1,530,2025-06-12,AP/K,I,30.99,30.95,30.21,5.38,0.75,Okay Boomer,2,6.0
"",D,3,1,31.2,530,2025-06-05,AP/K,I,31.08,30.98,30.55,5.31,1.5,Royal Nangar,23323,6.0
"",D,6,1,31.1,455,2025-06-01,MBR,4/5,26.13,25.49,25.49,8.27,9.25,DAINTREE SHADY,66666,23.0
2. Weblec Flame,D,7,4,32.5,530,2025-06-26,AP/K,I,31.72,30.77,30.01,5.4,13.5,Royal Nangar,66777,31.0
"",D,5,2,32.8,530,2025-06-19,AP/K,I,31.4,30.76,30.18,5.39,9.25,Okay Boomer,44555,101.0
"",D,4,2,32.8,530,2025-06-09,AP/K,I,31.52,30.79,30.69,5.45,10.25,Royal Nangar,4,26.0
"",D,4,8,32.6,530,2025-06-02,AP/K,I,31.46,31.14,30.83,5.41,4.5,Immense,54444,8.5
"",D,6,8,32.5,530,2025-05-22,AP/K,I,31.66,30.86,30.2,5.53,11.5,Okay Boomer,77666,41.0
4. That'Ll Do Neo,D,5,1,32.3,530,2025-06-26,AP/K,I,31.47,30.77,30.01,5.39,10.0,Royal Nangar,44555,51.0
"",D,6,3,32.3,530,2025-06-19,AP/K,I,31.49,30.76,30.18,5.4,10.25,Okay Boomer,66666,101.0
"",D,7,6,32.6,395,2025-06-13,MBR,5,23.03,22.12,22.12,5.23,13.0,Buzz The Hustler,7,101.0
"",D,6,7,32.4,530,2025-06-09,AP/K,I,31.71,30.79,30.69,5.55,13.25,Royal Nangar,6,101.0
"",D,5,2,32.4,530,2025-06-02,AP/K,I,31.55,31.14,30.83,5.42,5.75,Immense,45555,8.5
5. Aussie Brad,D,3,5,32.1,400,2025-06-29,GAWL,I,22.9,22.8,22.8,8.76,1.5,Victa Marli,3233,3.6
"",D,1,5,32.2,400,2025-06-22,GAWL,I,22.81,22.81,22.81,8.76,2.0,Victa Monty,3111,3.1
"",D,2,8,32.0,530,2025-06-19,AP/K,I,30.97,30.76,30.18,5.36,3.0,Okay Boomer,22222,4.6
"",D,5,4,32.0,530,2025-06-12,AP/K,I,31.22,30.95,30.21,5.3,3.75,Okay Boomer,5,2.4
"",D,1,1,32.0,530,2025-05-29,AP/K,I,31.1,31.1,30.52,5.36,0.25,Royal Nangar,22221,2.8
7. Prime Of Life,D,3,1,29.0,342,2025-06-30,AP/K,I,19.86,19.78,19.66,4.76,1.0,Way Too Soft,5333,3.9
"",D,6,2,29.3,350,2025-06-24,MBS,3/4/5,19.6,18.97,18.97,7.24,9.0,Beast Cut Loose,6666,101.0
"",D,5,9,28.8,342,2025-06-19,AP/K,5,19.97,19.34,19.34,4.88,9.0,Grand Chief,8775,51.0
"",D,6,2,28.7,342,2025-06-16,AP/K,I,20.07,19.69,19.27,4.79,5.25,Glisten,6,4.8
"",D,4,1,28.7,400,2025-05-14,GAWL,OPEN,23.13,22.85,22.65,,4.0,Prime Voltage,4,7.0
8. Multi Matt,D,4,3,34.4,530,2025-06-26,AP/K,I,31.24,30.77,30.01,5.65,6.5,Royal Nangar,75444,8.0
"",D,3,6,34.5,530,2025-06-19,AP/K,I,31.0,30.76,30.18,5.39,3.5,Okay Boomer,33333,15.0
"",D,4,8,34.2,530,2025-06-12,AP/K,I,31.15,30.95,30.21,5.39,2.75,Okay Boomer,4,7.5
"",D,2,8,33.3,530,2025-06-05,AP/K,I,31.08,30.98,30.55,5.36,1.5,Royal Nangar,32232,6.5
"",D,1,1,33.2,531,2025-05-09,GAWL,5,31.09,31.09,31.09,3.3,0.25,KEELEY ROSE,43321,8.5
