Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Get That Barb,B,4,5,26.8,300,2025-07-31,CASO,5,17.36,17.05,16.86,2.5,4.25,Butcher,344,13.0
"",B,1,5,26.5,300,2025-07-24,CASO,5,17.15,17.15,16.82,2.46,1.5,Miss Bear,111,71.0
"",B,2,3,26.4,300,2025-07-22,CASO,5,17.32,17.1,17.0,2.49,3.0,Little Dulcie,1122,8.5
"",B,7,3,26.5,300,2025-07-17,CASO,5,17.82,17.06,16.82,2.47,10.75,Loco Pirata,477,34.0
"",B,8,8,27.1,300,2025-07-03,CASO,5,17.91,17.02,16.91,2.49,12.75,Noah's Boy,3888,23.0
2. Hurricane Freya,B,6,7,24.0,350,2025-07-29,GRAF,5,20.95,20.19,20.13,4.08,10.75,Robell Polly,1136,71.0
"",B,3,2,23.9,300,2025-07-22,CASO,5,17.53,17.1,17.0,2.41,6.0,Little Dulcie,2233,6.0
"",B,1,4,23.7,300,2025-07-15,CASO,M,17.4,17.4,17.01,2.42,0.031,Jilliby Mercedes,111,13.0
"",B,3,3,23.3,300,2025-07-03,CASO,M,17.63,17.28,16.91,2.45,5.0,Tiny Dream,1333,13.0
"",B,6,4,23.2,300,2025-06-03,CASO,M,17.88,17.19,16.74,2.49,9.75,Florella,1766,14.0
3. Majestic Jojo,B,1,6,26.8,300,2025-08-06,TARE,5,17.39,17.39,17.18,6.38,0.75,Stanley Rupert,111,2.2
"",B,2,8,26.6,300,2025-07-30,TARE,5,17.58,17.57,17.28,6.53,0.125,Kiarni Bolt,432,2.25
"",B,2,1,26.1,350,2025-07-27,GRAF,5,20.38,20.33,20.11,4.08,0.75,Nan's Me Barber,1112,2.9
"",B,1,4,25.8,300,2025-07-20,TARE,5,17.39,17.39,17.34,6.45,2.5,Tommie's Bride,111,3.9
"",B,4,5,26.1,350,2025-07-13,GRAF,5,20.4,20.2,20.05,4.11,2.75,Majestic Tyson,1144,19.0
4. Two Tone Tommy,D,8,2,33.4,457,2025-07-29,QOT,5,26.67,25.77,25.57,4.49,12.75,Mojo Bone,5678,18.0
"",D,3,3,33.3,457,2025-07-01,QOT,5,26.19,25.96,25.6,4.38,3.25,White Mack,2233,34.0
"",D,3,6,33.6,525,2025-06-25,TARE,5,31.27,30.52,30.52,4.0,10.5,Just Savage,4233,12.0
"",D,8,2,34.1,450,2025-05-25,GRAF,5,25.95,25.69,25.53,9.18,3.75,Firebird,7878,101.0
"",D,4,4,34.0,450,2025-05-18,GRAF,5,26.14,25.36,25.33,9.26,11.0,Apache Tiger,7644,61.0
5. Iommi,D,5,6,31.4,450,2025-08-03,GRAF,5,26.4,25.63,25.25,9.32,11.0,Lady Jacqueline,6435,6.5
"",D,2,3,31.4,350,2025-07-29,GRAF,5,20.62,20.19,20.13,4.2,6.0,Robell Polly,4322,5.0
"",D,6,3,31.5,411,2025-07-15,CASO,5,24.1,23.48,23.04,9.01,8.75,Tarawi Favorite,766,9.5
"",D,3,7,30.9,350,2025-07-08,GRAF,5,20.38,20.13,19.98,,3.5,Chad's A Star,3,7.5
"",D,6,5,30.5,350,2025-06-29,GRAF,5,20.93,20.12,19.73,4.27,11.5,Full Twist,4876,10.0
6. Reel 'em Zena,B,7,4,24.2,350,2025-08-05,GRAF,5,20.72,19.92,19.75,,11.5,Eader,7,19.0
"",B,8,4,24.9,300,2025-07-24,CASO,5,17.77,16.89,16.82,2.51,12.5,STILTON MILEY,388,21.0
"",B,8,5,24.4,352,2025-06-19,QOT,5,20.83,19.77,19.47,4.15,15.0,Doongalla Pedro,778,31.0
"",B,3,3,24.4,300,2025-05-08,CASO,5,17.46,17.2,16.69,2.49,3.75,Fascinate Bailey,4633,10.0
"",B,4,8,24.5,350,2025-05-04,GRAF,5,20.6,20.08,19.95,4.11,7.5,Annihilating,1124,4.2
7. Magic Deuce,D,1,2,36.7,350,2025-08-03,GRAF,M,20.57,20.57,20.05,4.29,1.25,Wolfgang,1,2.7
"",D,2,1,36.7,350,2025-07-27,GRAF,M,20.57,20.47,20.11,4.15,1.5,Holly's Bear,1212,4.0
"",D,3,1,36.8,350,2025-07-13,GRAF,M,20.43,20.05,20.05,4.28,5.25,Mr. Einstein,8733,5.5
"",D,6,2,36.7,450,2025-07-06,GRAF,M,26.56,25.55,25.06,9.66,14.25,Good Boy Koby,8766,26.0
8. Brindle Bonus,D,2,8,29.0,350,2025-08-05,GRAF,5,20.07,19.92,19.75,4.08,2.0,Eader,2,3.2
"",D,2,7,29.3,300,2025-07-22,CASO,5,17.41,17.05,17.0,2.53,5.25,Noah's Boy,522,5.0
"",D,6,5,29.3,350,2025-07-13,GRAF,5,20.52,20.1,20.05,4.13,6.0,Miss Me,4366,7.0
"",D,5,2,29.3,350,2025-07-08,GRAF,5,20.71,20.04,19.98,4.15,9.5,Kingsbrae Emma,3365,5.5
"",D,5,1,29.3,350,2025-06-29,GRAF,5,20.5,20.14,19.73,4.16,5.25,Premier Bonus,1255,2.2
9. All On Al,D,1,5,31.1,350,2025-07-29,GRAF,M,20.13,20.13,20.13,4.18,1.25,Speed Holes,6411,8.5
"",D,6,5,31.0,300,2025-07-01,CASO,M,17.69,16.9,16.87,2.67,11.25,Kingsbrae Zeus,6666,4.8
"",D,6,1,30.5,320,2025-05-09,RICH,M,18.99,18.72,18.12,2.22,3.75,Ferocious Tito,4336,1.75
