Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. WE ARE ONE,B,3,3,25.6,400,2025-08-15,GEE,Grade 5,22.671,22.611,22.404,8.617,1.0,LIGHTNING RANGE,3,4.2
"",B,7,1,25.7,460,2025-08-08,GEE,Mixed 4/5,26.368,25.643,25.643,6.6975,11.0,KURNAI BOLT,7,10.0
"",B,1,7,25.4,425,2025-08-01,BEN,Grade 5,23.887,23.887,23.53,,2.0,KING MATTEO,1,16.0
"",B,3,2,25.8,300,2025-07-27,HEA,Restricted Win Final,16.693,16.613,16.566,4.0165,1.25,PAPA EASY,3,4.0
"",B,1,1,25.8,300,2025-07-20,HEA,Restricted Win Heat,16.774,16.774,16.553,3.88,1.25,Cliff The Boss,1,5.5
2. GO MICKY,D,7,5,29.5,450,2025-08-14,WAR,Mixed 4/5,25.659,24.72,24.72,,14.25,WYONG DALLAS,7,6.5
"",D,1,1,29.0,450,2025-08-07,WAR,Mixed 4/5,25.33,25.33,25.25,,4.25,SPRINGER'S BOY,1,21.0
"",D,8,5,29.0,350,2025-08-03,HEA,Grade 5,19.864,18.947,18.947,6.67625,13.75,Tarawi Therese,8,41.0
"",D,8,5,29.3,600,2025-05-10,MEA,Mixed 4/5,35.12,34.479,34.329,9.38925,9.75,He's Magic,8,34.0
"",D,5,4,29.2,600,2025-04-30,MEA,Restricted Win Heat,34.882,34.478,34.478,,6.25,NANCY DEVERE,5,9.0
3. PAW MADDOX,B,7,5,26.2,410,2025-08-12,HOR,Grade 5,24.157,23.174,23.012,,14.75,Tarawi Therese,7,10.0
"",B,2,6,26.5,400,2025-08-01,GEE,Grade 5,22.869,22.8,22.15,8.705,1.25,TINKER JACK,2,3.5
"",B,4,8,26.5,390,2025-07-24,WAR,Grade 5,22.657,22.283,21.94,,5.75,MATTY BOY,4,10.0
"",B,3,5,26.0,500,2025-07-18,BEN,Grade 5,28.771,28.543,28.114,,3.5,IT'S BUBBLE TIME,3,7.0
"",B,1,6,26.6,450,2025-07-14,WAR,Grade 5,25.567,25.567,25.489,,3.0,FALLON BALE,1,4.0
4. CITY LIMIT,D,5,6,32.8,600,2025-07-05,MEA,Grade 5,35.278,34.935,34.733,9.4295,5.25,MISS JAZZ,5,3.8
"",D,5,1,32.9,500,2025-06-29,BEN,Grade 5,28.641,28.524,28.243,7.015,1.75,MY NAME'S EVELYN,5,6.5
"",D,4,3,32.7,525,2025-06-21,MEA,Grade 5,30.538,30.332,30.014,5.435,3.25,CERULEAN POPPY,4,3.2
"",D,2,3,32.7,500,2025-06-13,BEN,Mixed 4/5,28.479,28.377,28.377,,1.75,Is He Lucky,2,8.0
"",D,4,3,33.2,450,2025-06-05,SHE,S/E Heat,25.622,24.875,24.875,6.86,11.25,EXPLICIT,4,46.0
5. HAPPY AND NUMB,D,6,5,36.5,350,2025-08-10,HEA,Free For All,19.421,19.222,18.944,,3.0,CHAVERO,6,6.5
"",D,3,5,35.9,450,2025-08-04,SHE,Grade 5 Heat,25.517,25.253,24.783,6.775,4.0,SO YOU ASSUME,3,3.6
"",D,3,1,36.7,450,2025-07-17,WAR,Mixed 4/5,25.461,25.151,25.151,6.705,4.75,MEPUNGA ROCKY,3,3.0
"",D,1,8,37.1,350,2025-07-06,HEA,Grade 5,19.267,19.267,19.051,,4.25,Bubba Ray Banner,1,3.6
"",D,6,3,37.1,450,2025-06-30,SHE,Grade 5 Heat,25.789,25.197,25.168,6.77075,9.0,Cookie Man,6,2.8
6. PAW EDEN,B,4,2,28.5,525,2025-08-14,MEA,Grade 5,30.422,29.98,29.675,5.17,6.75,PAW MANNY,4,11.0
"",B,3,7,28.6,450,2025-08-07,WAR,Grade 5,25.562,25.294,25.25,6.87375,4.0,SPEEDY EASY,3,6.5
"",B,4,6,28.4,510,2025-08-03,SAL,Grade 5,29.302,29.187,28.605,,1.75,SALLY CAN WAIT,4,3.6
"",B,3,8,28.5,525,2025-07-30,MEA,Grade 5,30.41,30.304,30.091,5.267,1.75,VOLTAGE STRIKE,3,3.6
"",B,1,7,28.4,460,2025-07-25,WAR,Mixed 4/5,26.14,26.14,25.843,,2.5,BAGGIO,1,6.5
7. KNURLING,D,6,6,34.7,525,2025-07-26,MEA,Grade 5,31.312,30.767,29.702,5.282,8.25,MY NAME'S EVELYN,6,11.0
"",D,6,7,34.9,500,2025-07-18,BEN,Mixed 4/5,28.385,28.114,28.114,,4.25,VILMA BALE,6,7.5
"",D,4,8,34.7,460,2025-07-11,GEE,Mixed 4/5,25.933,25.882,25.588,6.6075,1.0,PRISON BREAK,4,8.0
"",D,4,4,34.5,525,2025-06-28,MEA,Grade 5,30.808,30.39,29.843,5.2805,6.25,MACKINAW PEACH,4,6.5
"",D,4,7,34.5,525,2025-06-21,MEA,Mixed 4/5,30.523,30.133,30.014,5.181,6.0,XENI BALE,4,8.5
8. LAYLA NOVA,B,4,3,27.2,485,2025-08-12,HOR,Mixed 4/5,27.591,26.904,26.904,,10.5,Delicate,4,16.0
"",B,5,6,27.0,485,2025-08-05,HOR,Grade 5,27.592,27.464,27.415,6.6925,2.0,Wraps,5,21.0
"",B,2,6,27.0,460,2025-08-01,GEE,Grade 5,25.948,25.866,25.636,6.645,1.25,WINNING RATIO,2,10.0
"",B,2,5,26.9,450,2025-07-28,SHE,Grade 5,25.664,25.648,25.168,,0.25,DON'T TELL SHELL,2,12.0
"",B,5,6,27.0,485,2025-07-22,HOR,Grade 5,28.32,27.769,27.523,6.822,8.25,BRIELLE,5,4.2
