Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. He's Something,D,3,6,32.2,457,2025-08-02,QOT,5,25.71,25.68,25.15,4.34,0.5,From A Distance,3333,6.0
"",D,1,1,32.5,366,2025-07-30,CAPA,4/5,19.72,19.72,19.72,,1.75,Cash Handy,211,4.6
"",D,8,9,31.9,457,2025-07-17,QOT,5,26.23,25.19,25.18,4.42,14.75,Teresita,2588,34.0
"",D,5,3,32.2,366,2025-07-13,CAPA,OPEN,19.87,19.63,19.39,,3.5,Rio Will Rock,255,31.0
"",D,2,4,32.0,457,2025-07-10,QOT,5,25.6,25.4,25.2,4.28,2.75,Ruin Art,1112,8.5
2. Ruin Art,D,5,2,32.3,520,2025-07-31,QTT,5,30.39,29.75,29.35,5.25,9.25,Bluey Is Boujee,6665,3.0
"",D,4,3,32.2,457,2025-07-24,QOT,5,25.83,25.15,25.0,4.41,9.75,Cumbria Jack,5554,13.0
"",D,4,4,32.1,457,2025-07-17,QOT,5,25.83,25.19,25.18,4.56,9.25,Teresita,8864,8.0
"",D,1,5,31.9,457,2025-07-10,QOT,5,25.4,25.4,25.2,4.43,2.75,He's Something,5521,2.8
"",D,4,5,31.9,457,2025-07-03,QOT,5,25.81,25.68,25.42,4.5,1.75,Tough Enough,7564,6.5
3. Squeaky Carroll,D,2,9,32.6,457,2025-08-05,QOT,5,25.79,25.38,25.38,4.39,5.75,Gramercy Garry,3222,34.0
"",D,7,2,33.0,366,2025-07-30,CAPA,4/5,20.22,19.72,19.72,,7.0,He's Something,667,21.0
"",D,4,2,33.0,550,2025-07-24,QOT,5,31.09,30.82,30.52,9.04,3.75,Zipping Clampett,3314,23.0
"",D,5,6,33.2,350,2025-07-18,QST,5,19.32,18.98,18.98,4.13,4.75,Ellie's Lad,765,7.0
"",D,8,7,32.8,390,2025-07-11,QOT,4/5,22.6,21.93,21.72,6.25,9.5,Titanium Blue,888,7.5
4. Eriza Sparkles,B,1,4,26.8,457,2025-07-24,QOT,5,25.33,25.33,25.0,4.3,3.75,Pop's Maestro,2111,2.1
"",B,7,7,26.8,520,2025-07-05,W/PK,NG,30.4,29.78,29.45,5.49,8.75,Coast Rig,3357,3.8
"",B,1,5,26.6,520,2025-06-28,W/PK,NG,29.48,29.48,29.48,5.37,2.25,Canya Sapphire,1111,5.0
"",B,1,5,26.4,520,2025-06-21,W/PK,5,29.71,29.71,29.41,5.48,0.25,This Is Why,2111,3.6
"",B,2,1,26.6,400,2025-06-17,BUL,5,22.58,22.54,22.45,6.57,0.75,She's Rapturous,2432,1.9
5. Dark Distance,D,7,8,30.9,457,2025-08-02,QOT,5,26.17,25.59,25.15,4.32,8.25,Trendy Art,8777,81.0
"",D,1,8,31.0,366,2025-07-30,CAPA,5,20.21,20.21,19.72,,0.75,Huckleberry Hugo,111,12.0
"",D,6,1,30.3,457,2025-07-26,QOT,5,26.64,26.0,25.6,4.54,9.25,Tahitian Girl,7766,81.0
"",D,4,8,30.0,457,2025-07-03,QOT,5,26.18,26.08,25.42,4.48,1.5,Nunu Deuce,5334,31.0
"",D,6,3,29.8,390,2025-06-27,QOT,5,22.47,22.2,21.65,6.24,3.75,Whiskey Cartel,546,6.0
6. Goldstar Max,D,1,8,31.2,457,2025-08-05,QOT,6,25.93,25.93,25.38,4.47,1.25,All Dressed Up,5541,8.5
"",D,3,7,31.3,457,2025-07-26,QOT,6,26.16,25.84,25.6,4.44,4.5,Tripper Art,6453,11.0
"",D,5,1,31.2,457,2025-07-15,QOT,6,26.05,25.69,25.34,4.47,5.25,Blue Ridge,5455,6.5
"",D,5,6,31.5,457,2025-07-01,QOT,6,26.43,26.03,25.6,4.32,5.75,Pretty Posh,6555,12.0
"",D,4,4,32.2,457,2025-05-13,QOT,6,25.98,25.63,25.18,4.5,5.0,High Five Lad,5644,9.5
7. I'M WHAT'S NEXT,D,1,4,31.6,450,2025-08-03,GRAF,4/5,25.25,25.25,25.25,8.97,4.5,My Warrior,3111,1.55
"",D,2,6,30.9,450,2025-07-27,GRAF,4/5,25.25,25.23,25.23,8.99,0.25,Fire Me Up,2222,2.6
"",D,1,7,31.1,450,2025-07-16,GRAF,5,25.5,25.5,24.98,9.02,0.5,My Warrior,1111,2.6
"",D,1,8,31.2,450,2025-07-08,GRAF,5,25.34,25.34,25.34,9.11,1.25,Orara Doug,1311,3.1
"",D,2,8,30.7,350,2025-06-29,GRAF,5,20.18,19.73,19.73,4.06,6.25,Fire Me Up,2,3.2
8. Born To Race,D,5,7,31.8,457,2025-08-05,QOT,5,26.18,25.91,25.38,4.48,3.75,Installer,7435,3.4
"",D,3,7,32.0,366,2025-07-30,CAPA,4/5,20.04,19.72,19.72,,4.5,He's Something,123,7.5
"",D,8,3,32.0,550,2025-07-24,QOT,5,31.56,30.82,30.52,8.99,10.5,Zipping Clampett,1128,12.0
"",D,5,7,32.3,366,2025-07-20,CAPA,3/4,19.88,19.47,19.43,,5.75,Casino Special,455,6.0
"",D,8,3,32.4,366,2025-07-13,CAPA,OPEN,20.2,19.39,19.39,,11.5,Daysea's Rory,578,34.0
