Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Doonside Lewis,D,4,3,32.3,400,2025-08-04,MAIT,NG1-4,22.82,22.03,22.03,5.31,11.25,Furious,1364,5.5
"",D,2,4,32.1,400,2025-07-28,MAIT,NG1-4,22.48,22.39,22.38,5.3,1.25,Furious,3332,19.0
"",D,3,1,32.0,400,2025-07-07,MAIT,NG1-4,23.21,22.88,22.4,5.28,4.75,Hey Mickey,1223,5.5
"",D,6,3,32.1,324,2025-07-03,RICS,NG1-4,17.97,17.62,17.62,7.11,5.0,Logie Magic,6666,8.0
"",D,1,7,32.5,324,2025-06-26,RICS,3/4,17.79,17.79,17.63,7.08,0.25,Tarawi Tank,3321,3.6
2. Hey Mickey,D,1,4,27.7,450,2025-08-04,MAIT,4/5,25.14,25.14,25.14,7.73,3.5,AUSSIE ZAC,1111,5.0
"",D,5,4,27.2,450,2025-07-21,MAIT,4/5,25.77,25.26,25.26,,7.25,Mustang Ethics,1115,6.5
"",D,2,2,27.1,450,2025-07-14,MAIT,NG1-4,25.54,25.5,25.1,7.87,0.75,Ruination,1112,8.0
"",D,1,8,27.2,400,2025-07-07,MAIT,NG1-4,22.88,22.88,22.4,5.3,2.25,Marlee Star,4331,6.5
"",D,4,3,27.3,400,2025-06-30,MAIT,3/4,22.6,22.36,22.34,5.52,3.5,Maura Figgis,2334,8.0
3. Rise Up Nismo,D,8,1,31.7,515,2025-07-29,GOSF,5,30.32,29.56,29.49,4.56,10.75,She Will Kick,54488,1.5
"",D,2,7,31.7,450,2025-07-21,MAIT,4/5,25.5,25.26,25.26,,3.5,Mustang Ethics,7332,2.8
"",D,5,7,31.6,520,2025-07-12,W/PK,5,30.23,29.82,29.56,5.61,5.75,Tiki Magic,7665,6.5
"",D,1,1,31.6,450,2025-06-30,MAIT,4/5,25.17,25.17,25.17,8.06,1.75,Mustang Ethics,4211,2.15
"",D,4,8,31.7,520,2025-06-19,W/PK,5,30.51,30.18,29.62,5.65,4.75,Zipping Kirk,8554,7.5
4. Furious,D,1,8,34.1,400,2025-08-04,MAIT,NG1-4,22.03,22.03,22.03,5.2,5.25,Dawn Raider,2111,3.4
"",D,1,1,33.9,400,2025-07-28,MAIT,NG1-4,22.39,22.39,22.38,5.23,1.25,Doonside Lewis,1111,3.0
"",D,1,4,33.6,400,2025-07-14,MAIT,NG1-4,22.38,22.38,22.24,5.25,2.0,YOGEN BALE,3111,7.0
"",D,3,4,33.6,400,2025-06-30,MAIT,3/4,22.51,22.36,22.34,5.58,2.0,Maura Figgis,4443,5.5
"",D,1,5,33.7,400,2025-06-23,MAIT,4/5,22.37,22.37,22.37,5.35,2.5,Diver's Daughter,4321,1.45
6. Unleash Jodi,B,5,5,31.0,515,2025-08-05,GOSF,4/5,30.18,29.76,29.55,4.48,6.0,Tarawi Licorice,32455,4.0
"",B,5,6,30.9,520,2025-08-01,RICH,5,30.24,29.92,29.78,4.36,4.5,Supermaxi,22445,14.0
"",B,1,2,31.0,520,2025-07-25,RICH,5,29.91,29.91,29.64,4.33,0.75,VISTA YTTRIUM,21111,5.5
"",B,6,6,31.6,401,2025-07-18,RICH,5,23.33,22.82,22.46,7.01,7.25,Unleash Shirley,3886,4.6
"",B,1,2,31.6,401,2025-07-11,RICH,5,22.72,22.72,22.67,6.65,2.75,Midnight Star,2111,1.55
7. Good Luck Buck,D,7,6,34.7,450,2025-07-21,MAIT,4/5,26.14,25.26,25.26,,12.5,Mustang Ethics,3777,101.0
"",D,6,4,34.4,400,2025-07-11,GRDN,5,23.64,22.8,22.74,11.55,12.0,Past Tense,786,18.0
"",D,6,3,34.3,520,2025-06-26,W/PK,5,31.14,30.14,29.75,5.78,14.25,We Can't Stop,6666,41.0
"",D,8,5,34.3,515,2025-06-10,GOSF,5,30.34,29.97,29.61,4.58,5.25,Tarawi Licorice,68,51.0
"",D,7,8,34.5,515,2025-06-06,GRDN,4/5,30.63,29.7,29.7,5.12,13.25,Barbie Zeal,5477,18.0
8. Ruination,D,2,8,33.5,324,2025-08-07,RICS,3/4,18.0,17.88,17.63,7.06,1.75,REIKO BATTY,1242,3.5
"",D,7,1,33.7,324,2025-07-31,RICS,NG1-4,18.06,17.59,17.59,7.12,6.5,Logie Magic,4677,11.0
"",D,5,5,34.0,520,2025-07-19,W/PK,5,30.2,29.78,29.37,5.51,6.0,Raging Saige,3225,21.0
"",D,1,8,33.9,450,2025-07-14,MAIT,NG1-4,25.5,25.5,25.1,7.89,0.75,Hey Mickey,4331,6.0
"",D,1,7,34.2,450,2025-07-07,MAIT,5,25.36,25.36,25.36,7.85,0.5,Not Clifford,1111,3.1
