Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. NICKY'S SECRET,B,1,8,27.5,500,2025-07-19,BEN,Grade 5,28.676,28.676,28.664,,1.25,ALFIE ABALONE,1,8.0
"",B,3,4,27.6,515,2025-07-14,SAN,Grade 5 No Penalty,30.215,29.862,29.457,,5.5,SCOUT ACE,3,12.0
"",B,7,2,27.9,525,2025-07-09,MEA,Grade 5 T3,31.166,30.808,30.145,5.361,5.5,Kid Luck,7,8.0
"",B,3,6,27.8,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,30.276,29.887,29.444,,6.0,PAW GREGSON,3,10.0
"",B,1,1,27.8,500,2025-06-25,BEN,Tier 3 - Restricted Win,28.748,28.748,28.474,6.755,1.0,KENNETH BALE,1,2.4
2. Black Spectre,D,7,9,30.7,515,2025-07-17,SAN,Grade 5,30.405,29.738,29.066,,10.0,FLYING DINAR,7,51.0
"",D,7,2,30.7,350,2025-07-13,HEA,Grade 5,19.779,19.379,18.958,6.68375,6.0,KILL YOUR SMILE,7,8.0
"",D,1,6,30.5,515,2025-07-07,SAN,Grade 5 Final,29.874,29.874,29.335,,1.25,GARRITTY,1,10.0
"",D,1,6,30.7,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,29.83,29.83,29.444,,5.25,STEELE JAKIT,1,4.0
"",D,2,7,30.4,525,2025-06-25,MEA,Grade 5 T3,30.771,30.592,30.209,5.2875,2.75,GARRITTY,2,8.5
4. JETSON LIGHTNING,B,7,8,26.0,515,2025-07-14,SAN,Grade 5,30.31,29.907,29.457,,6.25,DREAM ON ALLAN,7,7.5
"",B,3,8,26.0,515,2025-07-07,SAN,Grade 5,30.219,29.981,29.335,5.26375,3.75,Rumour Confirmed,3,6.0
"",B,5,7,26.4,450,2025-07-03,SHE,Grade 5 T3,25.891,25.269,25.269,6.63,9.5,AUNTY ETHEL,5,4.2
"",B,1,8,26.4,450,2025-06-23,BAL,Tier 3 - Restricted Win,25.826,25.826,25.826,6.845,6.5,DAINTREE BULLET,1,6.0
"",B,2,1,26.5,435,2025-06-18,SAL,Grade 6,24.908,24.822,24.481,5.337,1.5,Nellie Running,2,5.5
5. LIONESS EYES,B,3,7,26.8,500,2025-07-19,BEN,Grade 5,28.792,28.676,28.664,,1.75,NICKY'S SECRET,3,5.5
"",B,1,8,27.2,460,2025-07-15,GEE,Grade 5,26.204,26.204,25.925,6.63,3.75,Remember What,1,6.5
"",B,7,3,27.2,400,2025-07-10,WAR,Grade 5 T3,23.761,23.538,22.987,8.735,3.5,Inter Cyborg,7,2.4
"",B,8,8,27.2,500,2025-06-27,BEN,Grade 5,28.852,28.216,28.107,,9.5,JILL'S JULIETTE,8,18.0
"",B,6,2,27.3,390,2025-06-18,BAL,Grade 5,23.021,22.293,22.072,,11.0,FABIO GIBLET,6,12.0
7. SIR WHIP,D,8,10,33.3,525,2025-07-12,MEA,Grade 5,31.548,30.482,29.806,,16.0,PAW OLLIE,8,21.0
"",D,1,6,33.2,525,2025-06-25,MEA,Grade 5 T3,30.775,30.775,30.209,5.2,1.0,SEEK TO PLAN,1,4.0
"",D,4,7,33.3,525,2025-06-11,MEA,Grade 5 T3,30.604,30.37,30.153,,3.5,FOXY ROXY,4,5.0
"",D,2,6,32.9,450,2025-06-05,BAL,Grade 5 Non Penalty Heat,25.983,25.933,24.991,,0.75,DEMOLISH,2,10.0
"",D,6,7,32.6,515,2025-05-26,SAN,Grade 5,30.176,29.771,29.256,,6.25,PAW LARRY,6,21.0
8. GO GO JEFF,D,1,3,35.7,425,2025-06-29,BEN,Grade 5,24.383,24.383,23.624,6.697,1.25,THAT'S A BOODIE,1,4.0
"",D,3,3,36.0,425,2025-06-21,BEN,Grade 5,24.585,24.556,24.051,,0.5,CLONCURRY GOLD,3,3.2
"",D,5,1,35.5,500,2025-05-28,BEN,Grade 5 T3,28.834,28.647,28.39,,3.0,BAG OF SNAGS,5,3.6
"",D,3,1,35.4,500,2025-05-07,BEN,Grade 5 T3,28.973,28.737,28.737,,3.75,QUEEN SHAKA,3,2.25
"",D,1,3,35.1,500,2025-04-17,BEN,Grade 5 T3,28.65,28.65,28.536,,0.75,OUR LAST HOPE,1,3.2
