Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Blue Vendetta,D,7,7,33.5,515,2025-08-11,SAN,Grade 5,30.357,29.701,29.348,,10.0,HE SHINES,7,13.0
"",D,3,2,33.4,515,2025-08-04,SAN,Grade 5,29.875,29.533,29.214,,5.25,JEBRYNAH NITRO,3,6.0
"",D,8,1,33.4,515,2025-07-21,SAN,Mixed 3/4,30.757,30.045,29.362,,10.75,PARUMBA JAZZMAN,8,9.5
"",D,6,1,33.4,525,2025-07-16,MEA,Mixed 4/5,30.785,30.285,29.974,,7.5,ALL JAZZ,6,11.0
"",D,7,7,33.3,515,2025-07-10,SAN,Grade 5,30.647,29.636,29.335,5.22875,15.25,FABRICATION,7,4.8
2. GIACOMO,D,3,7,31.3,350,2025-08-10,HEA,S/E Heat,19.51,19.075,18.944,6.6595,6.5,CATCH SOME RAYS,3,3.6
"",D,1,5,31.1,460,2025-08-01,GEE,Mixed 4/5,25.805,25.805,25.636,6.6675,0.75,MICHALIS,1,3.2
"",D,6,5,30.3,520,2025-05-31,CANN,FFA,30.4,29.73,29.6,5.57,9.5,Sunset Hornet,66776,4.4
"",D,5,3,30.2,520,2025-05-24,CANN,OPEN,30.52,29.76,29.76,5.5,10.75,Mailata,44455,2.45
"",D,1,4,30.0,520,2025-05-17,CANN,OPEN,30.0,30.0,29.47,5.6,1.75,Incredible King,51111,1.26
4. COPPER RUSH,D,5,2,31.3,730,2025-08-14,MEA,Mixed 4/5,43.309,42.896,42.652,4.87,6.25,HENRY INTENTION,5,5.0
"",D,4,7,31.4,730,2025-08-09,MEA,S/E Heat,42.894,42.531,42.49,,5.5,WITHOUT A TRACE,4,26.0
"",D,6,5,31.2,715,2025-07-31,SAN,Grade 5,42.941,42.159,42.159,,11.75,SET TO SIZZLE,6,6.5
"",D,7,6,31.5,730,2025-07-26,MEA,S/E Group 3,43.814,43.001,43.001,4.9,12.25,ETHANOL WATER,7,26.0
"",D,2,1,31.1,730,2025-07-19,MEA,S/E Heat,43.135,42.738,42.738,,6.0,WITHOUT A TRACE,2,12.0
5. DEAR CARLA LOU,B,1,2,27.3,400,2025-08-15,WAR,Mixed 4/5,22.769,22.769,22.308,,0.25,DR. DYLAN,1,1.9
"",B,5,3,27.0,525,2025-08-09,MEA,Mixed 4/5,30.401,30.184,29.659,5.104,3.25,ASTON GUITAR,5,4.8
"",B,2,3,27.2,525,2025-07-19,MEA,S/E Heat,30.189,30.02,29.842,,2.75,UPSET SUNSET,2,5.0
"",B,1,9,27.2,525,2025-07-12,MEA,Grade 5 Final,30.129,30.129,29.806,,1.25,MANAGER,1,3.6
"",B,1,2,27.1,515,2025-07-07,SAN,Mixed 3/4,29.366,29.366,29.335,,3.75,DEROGATIVE,1,4.8
7. FABRICATION,D,1,2,34.8,450,2025-07-30,BAL,Grade 5,25.497,25.497,25.394,,1.5,PAW HARRY,1,2.8
"",D,2,1,34.9,525,2025-07-26,MEA,Grade 5,30.768,30.767,29.702,5.205,0.25,MY NAME'S EVELYN,2,3.4
"",D,1,2,34.4,515,2025-07-10,SAN,Grade 5,29.636,29.636,29.335,5.08,2.0,UPTIGHT,1,3.4
"",D,1,3,34.2,525,2025-06-21,MEA,Mixed 6/7 Final,30.471,30.471,30.014,5.2025,4.0,ASTON GOLEA,1,1.8
"",D,1,2,34.4,525,2025-06-11,MEA,Mixed 6/7 Heat,30.153,30.153,30.153,,5.0,IMPACTFUL,1,2.8
8. Awesome Avenger,D,2,7,35.4,425,2025-08-15,BEN,Mixed 3/4,23.996,23.958,23.714,,0.75,BOMBARDA MAXIMA,2,3.4
"",D,3,2,35.3,460,2025-08-08,GEE,Mixed 4/5,26.039,25.643,25.643,6.8095,6.0,KURNAI BOLT,3,5.5
"",D,1,1,35.3,425,2025-07-18,BEN,Mixed 4/5,24.17,24.17,23.807,,0.75,AMRON BOBBY,1,2.8
"",D,1,3,35.0,460,2025-06-20,GEE,Grade 5,25.862,25.862,25.57,,0.5,BALLAN BRUMBY,1,6.5
"",D,6,5,34.9,400,2025-06-13,GEE,Group Listed,23.048,22.221,22.221,8.7595,12.5,Funny Old Fellow,6,7.0
