Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Prickle Town,D,4,8,31.4,400,2025-06-29,MT/G,OPEN,23.38,23.17,23.17,10.87,3.0,Energy To Burn,4654,5.5
"",D,4,8,31.2,400,2025-06-22,MT/G,OPEN,23.78,23.01,23.01,10.94,11.0,Mister Cadillac,4,2.6
"",D,1,2,31.1,400,2025-06-15,MT/G,OPEN,23.19,23.19,23.19,10.81,1.75,Mister Cadillac,1,6.5
"",D,5,6,30.9,395,2025-05-23,MBR,6,22.76,22.35,22.27,5.23,5.75,Princess Tilley,5555,3.6
"",D,7,7,31.1,512,2025-04-27,MT/G,5,31.69,29.79,29.79,4.45,27.0,Wind Whiskers,33577,2.4
2. Bourne Sid,D,1,3,31.4,512,2025-06-29,MT/G,5,30.12,30.12,29.92,4.45,4.75,Magic Tom,11111,5.0
"",D,7,7,31.7,512,2025-05-18,MT/G,4/5,30.75,29.87,29.87,4.52,12.5,High Cube,44477,5.5
"",D,1,4,31.9,400,2025-05-11,MT/G,6,23.49,23.49,22.68,11.02,0.75,Senior Citizen,4221,2.4
"",D,3,5,32.3,350,2025-04-29,MBS,6,19.72,19.63,19.46,7.17,1.25,Oakvale Cowboy,6433,9.5
"",D,1,2,32.2,512,2025-04-24,MT/G,TG1-4W,29.92,29.92,29.92,4.41,2.5,Mr. Tangelo,11111,2.0
4. DIRTY DASH,D,1,8,31.9,512,2025-06-29,MT/G,4/5,29.92,29.92,29.92,4.59,3.25,Kiwi To Burn,43111,3.0
"",D,2,4,31.9,512,2025-06-22,MT/G,5,30.14,30.1,29.56,4.5,0.75,Magic Mack,23322,1.6
"",D,3,6,32.2,455,2025-06-13,MBR,4/5,25.68,25.39,25.39,8.17,4.25,Afire,3,34.0
"",D,4,2,31.9,512,2025-06-08,MT/G,3/4/5,30.41,30.34,30.16,,1.0,Lie To Me,4,5.0
"",D,2,4,32.1,512,2025-06-01,MT/G,5,29.88,29.83,29.83,,0.75,Bourne Sarah,22222,1.75
5. Kiwi To Burn,B,2,1,25.8,512,2025-06-29,MT/G,4/5,30.15,29.92,29.92,4.46,3.25,DIRTY DASH,11222,10.0
"",B,2,1,25.9,512,2025-06-26,MT/G,TG5+W,30.26,30.21,30.21,4.45,0.75,Cadillac Patch,12222,1.8
"",B,5,2,26.0,530,2025-06-19,AP/K,5,31.24,30.28,30.18,5.39,13.75,Woodside Johnny,65555,101.0
"",B,5,1,26.3,400,2025-06-15,MT/G,5,24.05,23.4,23.19,11.29,9.25,Cadillac Landau,5,2.0
"",B,5,2,26.4,400,2025-06-08,MT/G,5,23.62,23.14,23.14,,6.75,CRUISING BILLY,5,4.6
7. Flax Mill,D,7,7,31.1,485,2025-06-24,HOR,Grade 5,28.432,28.011,27.603,6.9275,6.5,LANKY LARRY,7,10.0
"",D,2,7,31.2,600,2025-06-15,MT/G,4/5/6,35.76,35.24,35.24,9.2,7.5,RINGER'S GIRL,2,41.0
"",D,4,8,30.8,600,2025-06-08,MT/G,4/5/6,36.03,35.65,35.65,,5.25,STARLIGHT JEWEL,4,34.0
"",D,6,2,31.3,512,2025-06-05,MT/G,TG5+W,30.93,30.17,30.14,4.55,10.75,OLLIE DEEDS,46666,10.0
"",D,1,6,31.1,512,2025-05-29,MT/G,TG1-4W,30.31,30.31,30.1,4.53,1.0,Yadillah Warrior,11111,8.5
8. Penny Pinto,B,2,6,25.3,410,2025-06-24,HOR,Grade 5,23.745,23.479,23.283,,4.0,PAW EDEN,2,26.0
"",B,2,6,25.6,512,2025-06-15,MT/G,2/3/4,30.1,29.84,29.84,4.4,3.75,High Cube,2,4.8
"",B,1,4,25.4,512,2025-06-08,MT/G,5,30.16,30.16,30.16,,5.75,Rough Boy Russ,1,3.9
"",B,2,4,25.7,512,2025-05-29,MT/G,TG5+W,30.26,30.1,30.1,4.51,2.25,Anna Rhode,22222,1.6
"",B,7,6,25.4,512,2025-05-25,MT/G,5,30.51,30.01,29.79,4.46,7.0,SUDOKU JAXON,33377,7.5
