Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Dark Moonshine,D,2,1,31.6,400,2025-08-15,GAWL,OPEN,22.95,22.6,22.6,8.76,5.0,Mad Maverick,2,2.0
"",D,2,1,32.0,300,2025-08-05,MBS,2/3/4,16.68,16.48,16.48,4.49,2.75,I'M It,2,4.4
"",D,1,7,31.8,342,2025-07-31,AP/K,5,19.75,19.75,19.49,4.66,3.25,Indie Or Jill,1,14.0
"",D,7,1,32.2,300,2025-07-22,MBS,OPEN,17.01,16.73,16.38,4.53,4.0,My Reason,7,7.0
"",D,3,1,31.7,342,2025-07-14,AP/K,2/3/4,19.55,19.25,19.25,4.51,4.25,SHORT AND STUMPY,3,12.0
3. Beast Best,B,2,5,28.4,342,2025-08-18,AP/K,5,19.76,19.5,19.38,4.57,3.75,Long Gully Shack,2,5.5
"",B,3,5,28.8,342,2025-08-11,AP/K,5,19.8,19.61,19.45,4.62,2.5,Binnaway Pearl,3,7.0
"",B,6,8,29.0,342,2025-08-04,AP/K,3/4,20.03,19.42,19.42,4.68,8.75,Grand Chief,6,34.0
"",B,5,7,28.7,342,2025-07-28,AP/K,4/5,20.11,19.55,19.3,4.72,8.0,TECTONIC,5,34.0
"",B,5,5,28.5,300,2025-07-20,MBR,6,17.16,16.96,16.96,4.45,2.75,Find The Sun,5,9.0
5. Jabuk,D,1,4,32.9,410,2025-06-03,HOR,Mixed 4/5,23.338,23.338,23.326,,2.5,PAW LEON,1,3.2
"",D,1,7,32.6,342,2025-05-26,AP/K,5,19.55,19.55,19.35,4.51,2.0,LALA BUFFY,1111,1.28
"",D,1,4,33.3,400,2025-05-18,MT/G,5,22.79,22.79,22.66,10.54,4.5,HARRY CHANA,1111,1.45
"",D,4,1,33.3,300,2025-04-15,MBS,OPEN,17.05,16.84,16.63,4.37,3.0,My Reason,2244,5.5
"",D,6,6,33.2,400,2025-03-30,MT/G,OPEN,23.39,23.02,22.7,11.05,5.25,Rocklea Earle,6766,2.8
7. Sketchy Show Man,D,1,1,28.8,300,2025-08-12,MBS,3/4/5,16.94,16.94,16.88,4.35,3.25,Street Beast,1,3.3
"",D,3,4,28.7,300,2025-08-05,MBS,2/3/4,16.7,16.48,16.48,4.45,3.0,I'M It,3,31.0
"",D,7,4,28.8,300,2025-07-29,MBS,OPEN,17.47,16.75,16.75,4.47,10.25,My Reason,7,41.0
"",D,3,5,28.7,342,2025-07-18,AP/K,5,20.23,19.67,19.3,4.58,8.0,BONA VISTA,3,4.0
"",D,3,2,29.1,300,2025-06-17,MBS,OPEN,17.0,16.66,16.53,4.45,4.75,My Reason,3,6.0
