Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Bullemor Banner,D,1,4,31.3,320,2025-08-15,RICH,5,18.43,18.43,18.13,2.2,6.0,Wicked Raven,1111,2.3
"",D,6,5,31.4,324,2025-07-31,RICS,4,18.31,17.81,17.59,7.15,7.0,Elite Chevy,2556,6.5
"",D,3,8,30.9,320,2025-07-27,RICH,5,18.82,18.53,17.8,2.21,4.25,All Calm,3313,6.5
"",D,3,6,32.2,320,2025-06-15,RICH,5,18.51,18.24,18.17,2.13,3.75,Still Around,4443,5.5
"",D,6,5,30.5,320,2025-04-16,RICH,5,19.02,18.25,18.07,2.15,11.0,Still Around,4446,5.0
2. Calla Rusty,D,7,3,31.2,324,2025-08-07,RICS,4/5,18.47,18.19,17.63,7.19,4.0,Straight Out,7347,101.0
"",D,5,1,31.2,520,2025-07-13,RICH,5,30.58,29.73,29.56,4.56,12.25,Zipping Balboa,55555,81.0
"",D,6,2,31.3,401,2025-07-09,RICH,4/5,23.47,22.83,22.5,7.11,9.25,Wow It's Me,6666,51.0
"",D,7,9,31.4,401,2025-07-02,RICH,5,23.63,23.04,22.88,7.06,8.25,Zipping Marquez,8887,51.0
"",D,6,9,31.2,401,2025-06-29,RICH,4/5,23.55,22.93,22.81,7.1,8.75,Emgrand Drive,7766,81.0
3. Nando Banner,D,6,1,30.7,324,2025-08-07,RICS,4/5,18.46,18.19,17.63,7.26,3.75,Straight Out,5676,11.0
"",D,5,9,30.9,324,2025-07-31,RICS,4/5,18.25,17.95,17.59,7.19,4.25,Red Ball Rocket,4455,11.0
"",D,8,3,30.3,324,2025-05-29,RICS,5,18.41,17.74,17.57,7.28,9.5,Tarawi Pringle,3678,12.0
"",D,5,8,29.8,324,2025-05-01,RICS,M2/M3,18.22,17.87,17.75,7.21,5.0,Silver Session,5445,2.8
"",D,4,4,30.9,324,2025-03-27,RICS,4,17.86,17.66,17.43,7.08,2.75,Stadiums,4454,9.5
4. Run Baby,D,5,4,30.8,324,2025-08-07,RICS,4/5,18.31,18.19,17.63,7.23,1.75,Straight Out,6455,8.5
"",D,2,1,30.4,324,2025-07-31,RICS,4/5,17.98,17.95,17.59,7.07,0.5,Red Ball Rocket,1212,11.0
"",D,1,10,30.3,324,2025-07-24,RICS,5,17.89,17.89,17.51,7.11,1.5,Nathaniel,1111,12.0
"",D,5,4,30.2,388,2025-06-07,GOSF,5,23.26,22.21,22.21,10.42,15.0,Silver Tiara,3355,3.7
"",D,7,4,30.0,324,2025-05-29,RICS,5,18.4,17.74,17.57,7.46,9.25,Tarawi Pringle,7887,34.0
5. Despicable Otto,D,1,1,32.7,324,2025-08-14,RICS,5,17.88,17.88,17.77,7.05,0.125,Despicable Pedro,4121,2.5
"",D,3,5,32.4,324,2025-07-24,RICS,5,17.7,17.67,17.51,6.98,0.5,Hear Me Roar,1253,4.2
"",D,2,6,31.9,324,2025-07-17,RICS,5,17.78,17.71,17.69,7.06,1.0,Hear Me Roar,2222,1.5
"",D,1,3,32.2,324,2025-07-10,RICS,5,17.59,17.59,17.38,6.95,0.75,Audrey's Magic,2111,1.7
"",D,1,1,32.9,324,2025-07-03,RICS,5,17.7,17.7,17.62,7.04,4.5,Audrey's Magic,5111,1.6
6. Silver Session,B,3,6,28.6,324,2025-08-14,RICS,4/5,18.2,17.85,17.77,7.29,5.0,Massaro,8653,9.5
"",B,1,6,28.4,324,2025-08-07,RICS,M2/M3,18.02,18.02,17.63,7.08,0.125,Send It Silver,6221,3.7
"",B,3,7,28.6,324,2025-07-31,RICS,5,17.91,17.78,17.59,7.09,1.75,Audrey's Magic,3443,10.0
"",B,7,8,28.2,324,2025-07-24,RICS,4/5,18.13,17.88,17.51,7.2,3.5,Pinch Point,6577,1.9
"",B,5,3,28.5,324,2025-07-17,RICS,M2/M3,18.22,18.12,17.69,7.31,1.5,War Hawk,8555,2.7
7. Express Pearl,B,1,4,30.4,324,2025-07-31,RICS,M3,18.11,18.11,17.59,7.26,0.75,Raider Donkey,6641,5.0
"",B,4,3,30.0,324,2025-07-24,RICS,4/5,18.08,17.88,17.51,7.23,2.75,Pinch Point,2654,12.0
