Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ASTON PRATT,D,2,6,33.3,595,2025-07-21,SAN,Mixed 4/5,34.738,34.501,34.366,,3.75,SPENCER,2,7.5
"",D,3,3,33.6,600,2025-07-05,MEA,Grade 5,34.954,34.935,34.733,9.1145,0.5,MISS JAZZ,3,8.0
"",D,1,4,33.9,545,2025-06-30,BAL,Tier 3 - Restricted Win,31.054,31.054,31.054,,2.25,KEY PHILOSOPHY,1,2.8
"",D,4,3,32.9,600,2025-06-14,MEA,Grade 5,35.105,34.72,34.609,,5.75,CHICKEN FISH,4,10.0
"",D,4,7,33.0,595,2025-06-09,SAN,Restricted Win Heat,34.901,34.244,34.244,9.34,10.0,CRUTCHING TOMMY,4,16.0
2. BOWIE SUNNY,B,6,3,25.5,595,2025-07-17,SAN,Grade 5,34.737,34.34,34.262,,6.0,Mepunga Smokey,6,10.0
"",B,4,2,25.5,595,2025-07-10,SAN,Grade 5,34.8,34.308,33.887,,7.5,PANAMA RHODE,4,14.0
"",B,7,7,25.5,595,2025-07-03,SAN,Mixed 4/5,34.977,34.358,34.16,,9.25,CANYA ALL CLASS,7,51.0
"",B,4,8,25.6,515,2025-06-26,SAN,Free For All,30.071,29.695,29.363,5.2975,5.75,BAGMAN,4,12.0
"",B,1,3,25.3,515,2025-06-19,SAN,Grade 5,29.467,29.467,29.269,,1.75,GALENTO,1,9.0
3. Zarude Bale,D,5,4,30.4,595,2025-07-21,SAN,Mixed 4/5,34.907,34.501,34.366,,6.25,SPENCER,5,17.0
"",D,3,2,30.8,525,2025-07-12,MEA,Grade 5,30.417,30.346,29.806,,1.25,LASSARD,3,26.0
"",D,5,2,31.1,525,2025-07-05,MEA,Grade 5,30.745,30.258,29.913,5.29,7.5,SPEEDY RICCARDO,5,26.0
"",D,1,3,30.8,515,2025-06-26,SAN,Grade 5,30.019,30.019,29.363,5.325,0.75,CERULEAN POPPY,1,9.0
"",D,7,4,30.5,515,2025-06-05,SAN,Grade 5,30.661,29.797,29.344,,13.0,ASTON WALKER,7,10.0
4. TO PERU,B,6,8,26.6,515,2025-07-24,SAN,Grade 5,30.186,29.671,29.088,5.27,7.75,Wynburn Solstice,6,4.8
"",B,6,8,26.8,595,2025-07-17,SAN,Grade 5,35.223,34.262,34.262,,14.5,Compton Gold,6,10.0
"",B,1,8,27.0,595,2025-06-23,SAN,Restricted Win,34.459,34.459,34.459,,5.5,ESTHER'S JAKIT,1,3.0
"",B,3,7,27.3,515,2025-06-16,SAN,Restricted Win,30.087,29.912,29.724,5.2095,2.75,UTTER MADNESS,3,3.0
"",B,1,5,27.6,515,2025-06-09,SAN,Grade 7,30.105,30.105,29.916,5.25775,3.5,EDINBURGH BALE,1,3.2
5. BE UNITED,D,4,4,32.1,500,2025-07-18,BEN,Mixed 4/5,28.224,28.114,28.114,,1.75,VILMA BALE,4,10.0
"",D,4,2,32.0,450,2025-07-14,SHE,Grade 5,25.744,25.449,25.077,6.842,4.5,REGAL HUXLEY,4,8.5
"",D,3,2,32.0,400,2025-07-08,WAR,Mixed 4/5,22.968,22.912,22.805,,1.0,I'M FABULOUS,3,5.0
"",D,1,7,32.0,460,2025-07-01,WAR,Grade 5,26.371,26.371,26.063,,2.5,PAW FARINA,1,4.2
"",D,3,8,32.4,485,2025-06-17,HOR,Grade 5,27.836,27.758,27.4,,1.25,WEBLEC MARQUISE,3,6.0
6. WINCKIE BALE,B,4,7,29.0,595,2025-07-21,SAN,Mixed 4/5,34.901,34.501,34.366,,6.0,SPENCER,4,18.0
"",B,6,6,29.0,515,2025-07-14,SAN,Grade 5,30.028,29.594,29.457,,6.5,SPICY LA VIDA,6,14.0
"",B,2,7,28.9,515,2025-07-07,SAN,Grade 5,30.002,29.898,29.335,5.255,1.75,LEWIS,2,8.5
"",B,4,4,29.0,515,2025-06-30,SAN,Mixed 4/5,30.102,29.477,29.444,,9.5,Where's Poppy,4,14.0
"",B,2,2,29.0,515,2025-06-23,SAN,Grade 5,29.94,29.89,29.45,,0.75,TWISTED FANTASY,2,4.8
7. PRETTY HOT,B,2,4,28.5,600,2025-07-23,MEA,Mixed 4/5,34.797,34.691,34.691,9.07,1.75,THIS BAD BOY,2,2.8
"",B,5,6,28.4,640,2025-07-20,SAL,Grade 5,37.273,36.738,36.738,,8.0,ENGELKE ROAD,5,3.4
"",B,3,6,28.8,600,2025-07-12,MEA,Grade 5,34.842,34.552,34.552,9.275,4.5,SET TO SIZZLE,3,6.0
"",B,7,6,28.8,515,2025-07-07,SAN,Mixed 3/4,29.95,29.366,29.335,,8.75,DEAR CARLA LOU,7,10.0
"",B,1,4,28.9,595,2025-07-03,SAN,Grade 5,34.357,34.357,34.16,9.28175,1.0,MY AMBER,1,12.0
8. MAIA,B,5,8,28.6,515,2025-07-24,SAN,Mixed 4/5,30.103,29.574,29.088,,8.0,DOONGALLA DON,5,12.0
"",B,5,4,28.5,515,2025-07-17,SAN,Grade 4,30.587,29.691,29.066,5.2185,13.5,MOTION SENSOR,5,21.0
"",B,6,6,28.7,525,2025-07-12,MEA,Free For All,30.458,29.806,29.806,,9.75,SLICK SPLITS,6,31.0
"",B,1,2,28.3,515,2025-06-12,SAN,Grade 5,29.687,29.687,29.432,,5.0,VILMA BALE,1,3.5
"",B,1,6,28.2,525,2025-06-07,MEA,Grade 5,30.17,30.17,29.914,,0.75,STORMY DAY,1,2.8
9. ESTHER'S JAKIT,B,7,1,25.2,595,2025-07-21,SAN,Mixed 4/5,35.284,34.501,34.366,,11.75,SPENCER,7,26.0
"",B,6,3,25.4,510,2025-07-16,SAL,Grade 5 T3,29.504,29.107,29.107,9.42875,6.0,ELLE GEM,6,46.9
"",B,7,2,25.6,460,2025-07-11,WAR,Grade 5,27.111,26.672,25.851,6.8675,6.75,SOMERTON KAREN,7,8.0
"",B,1,3,25.4,510,2025-07-02,SAL,Tier 3 - Restricted Win,29.802,29.802,29.521,9.305,0.25,GO FLASH GO,1,5.5
"",B,2,4,25.2,595,2025-06-23,SAN,Restricted Win,34.82,34.459,34.459,,5.5,TO PERU,2,8.5
