Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Scarlett Express,B,3,3,26.2,545,2025-07-14,BAL,Grade 5 T3,31.906,31.573,31.573,6.81,5.0,PERFECT TONIGHT,3,6.5
"",B,5,5,26.1,545,2025-07-08,BAL,Grade 5,32.067,31.598,31.598,6.8175,7.0,Maddie Odd Sock,5,8.0
"",B,7,8,26.3,545,2025-06-30,BAL,Grade 5 T3,31.903,31.395,31.054,,7.75,BAKIS BALE,7,6.0
"",B,5,3,26.3,450,2025-06-23,BAL,Grade 5 T3,26.588,26.211,25.826,,5.75,JUMBUK PUNKY,5,10.0
"",B,2,2,26.1,400,2025-06-17,GEE,Grade 5,23.41,22.732,22.526,8.8525,10.25,Gunai Jedi,2,5.0
2. White Shiraz,B,5,7,27.3,350,2025-07-18,HEA,Grade 5 T3,19.863,19.726,19.466,,2.25,DONEGAL EXPRESS,5,15.0
"",B,2,6,27.2,545,2025-07-14,BAL,Grade 5 T3,31.801,31.573,31.573,7.17925,3.5,PERFECT TONIGHT,2,21.0
"",B,6,7,27.0,545,2025-07-08,BAL,Grade 5,32.128,31.598,31.598,7.22,8.0,Maddie Odd Sock,6,12.0
"",B,5,2,27.0,545,2025-06-30,BAL,Grade 5 T3,31.647,31.395,31.054,,4.0,BAKIS BALE,5,8.0
"",B,6,7,26.8,500,2025-06-25,BEN,Grade 5 T3,28.993,28.495,28.474,,7.5,Argyle Maggie,6,6.5
3. BREAKDOWN,D,7,6,33.5,525,2025-07-12,MEA,Grade 5,30.884,30.431,29.806,5.1375,7.0,Totally Emgrand,7,10.0
"",D,3,6,33.0,515,2025-07-07,SAN,Grade 5,30.01,29.898,29.335,5.1675,1.75,LEWIS,3,10.0
"",D,4,4,32.9,500,2025-07-04,BEN,Grade 5,28.784,28.538,28.134,,3.75,PAW GREGSON,4,12.0
"",D,4,3,33.3,525,2025-06-11,MEA,Grade 5,30.678,30.467,30.153,,3.25,COME FIND ME,4,7.0
"",D,7,1,33.7,525,2025-06-07,MEA,Grade 4,30.681,30.214,29.914,5.12,7.0,VILMA BALE,7,21.0
4. PERFECT TONIGHT,D,1,2,30.5,545,2025-07-14,BAL,Grade 5 T3,31.573,31.573,31.573,7.02175,3.5,White Shiraz,1,4.6
"",D,2,1,30.9,545,2025-07-08,BAL,Grade 5,31.852,31.598,31.598,6.975,4.0,Maddie Odd Sock,2,3.4
"",D,5,4,30.6,450,2025-07-03,WAR,Grade 5,25.819,25.478,25.025,,5.25,DONITA BALE,5,21.0
"",D,2,4,30.5,450,2025-06-23,WAR,Grade 5,25.648,25.641,25.356,6.86,0.25,MORE WINE PLEASE,2,10.0
"",D,4,6,30.5,450,2025-06-16,WAR,Grade 5,26.295,25.897,25.611,,6.0,Bob Deeds,4,12.0
5. Penny Drop,B,8,5,27.9,450,2025-07-14,BAL,Grade 5 T3,26.728,25.81,25.77,6.8795,13.75,Aminah,8,6.0
"",B,8,5,27.5,450,2025-06-16,BAL,Grade 5 T3,26.868,25.996,25.539,6.945,13.25,Remember What,8,6.0
"",B,6,8,26.7,450,2025-05-05,BAL,Grade 5 T3,26.408,25.939,25.602,7.002,7.0,CONNOR'S FLYER,6,6.5
"",B,4,1,26.5,512,2025-04-13,MT/G,6,30.47,29.95,29.95,4.51,7.5,High Cube,24444,19.0
"",B,4,5,26.9,512,2025-04-06,MT/G,6,30.89,30.27,29.75,4.54,8.75,MIKAELA'S JOY,46444,61.0
6. Aston Monitor,D,1,2,33.1,460,2025-07-17,WAR,Grade 5,26.625,26.625,25.949,,1.0,HONEY BUNNY,1,12.0
"",D,6,7,33.4,460,2025-07-10,WAR,Grade 5 T3,27.261,26.506,26.291,6.9395,11.5,NEED YOU NOW,6,7.5
"",D,6,3,33.2,460,2025-07-01,GEE,Grade 5,27.063,26.384,26.16,,10.25,NORBIT,6,4.4
"",D,5,2,33.1,515,2025-06-23,SAN,Grade 5 No Penalty,30.494,30.095,29.45,5.349,6.0,UPTIGHT,5,15.0
"",D,6,6,33.1,515,2025-06-16,SAN,Grade 5 Heat,30.828,29.864,29.724,,14.5,HERE COMES JOJO,6,41.0
7. ASTON ALLURE,B,4,6,26.3,525,2025-07-16,MEA,Grade 5 T3,30.726,30.422,29.974,,4.75,ASTON HOOKED,4,6.5
"",B,4,8,26.2,545,2025-07-08,BAL,Grade 5,32.06,31.598,31.598,6.9225,7.0,Maddie Odd Sock,4,4.6
"",B,2,6,26.3,545,2025-06-30,BAL,Grade 5 T3,31.417,31.395,31.054,,0.5,BAKIS BALE,2,3.6
"",B,5,4,26.2,545,2025-06-25,BAL,Grade 5,32.282,31.598,31.598,,10.25,QUEEN KIMETTO,5,7.5
"",B,6,8,26.1,460,2025-06-17,GEE,Mixed 4/5,26.357,26.158,25.996,6.7275,3.0,GRAY ELLIOT,6,5.0
8. ON SONG ICE,D,3,7,31.3,450,2025-07-14,WAR,Grade 5,26.038,25.489,25.489,,8.25,LEKTRA JANE,3,9.0
"",D,4,5,30.8,525,2025-07-09,MEA,Grade 5 T3,30.988,30.808,30.145,5.27,2.75,Kid Luck,4,6.5
"",D,7,3,30.5,525,2025-07-02,MEA,Grade 5 Heat,31.154,30.416,30.144,5.2025,11.25,GO FOR GOLD,7,26.0
